,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Rod Frawley,F,6-4 7-6,Pat Cash,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
1,H2H 1-0,Jeff Borowiak,SF,4-6 7-6 7-6,Rod Frawley,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
2,H2H 2-0,Craig A. Miller,SF,6-3 6-3,Pat Cash,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
3,H2H 1-3,Hank Pfister,QF,6-4 6-4,Jeff Borowiak,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
4,H2H 1-4,Chris Lewis,QF,6-7 7-6 6-3,Rod Frawley,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
5,H2H 1-0,Mike Gandolfo,QF,4-6 6-1 7-6,Pat Cash,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
6,H2H 1-0,Brad Drewett,QF,6-3 7-6,Craig A. Miller,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
7,H2H 2-0,Richard Lewis,R16,6-7 6-2 6-2,Hank Pfister,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
8,H2H 1-0,Peter Doohan,R16,6-3 7-6,Jeff Borowiak,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
9,H2H 1-0,Mike Leach,R16,6-4 6-4,Chris Lewis,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
10,H2H 1-0,Tony Giammalva,R16,4-6 6-3 6-4,Rod Frawley,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
11,H2H 1-0,Chris Johnstone,R16,6-7 7-5 6-4,Mike Gandolfo,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
12,H2H 1-0,John Lloyd,R16,4-6 6-1 6-1,Pat Cash,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
13,H2H 1-0,Rand Evett,R16,4-6 7-6 6-0,Craig A. Miller,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
14,H2H 1-1,Cliff Letcher,R16,6-2 4-6 6-4,Brad Drewett,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
15,H2H 1-0,Ken Barton,R32,3-6 6-2 7-5,Hank Pfister,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
16,H2H 2-0,Jeff Simpson,R32,6-3 7-6,Richard Lewis,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
17,H2H 1-1,Dale Collings,R32,6-1 6-4,Peter Doohan,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
18,H2H 1-0,Jonathan Smith,R32,6-2 6-1,Jeff Borowiak,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
19,H2H 1-0,Eddie Edwards,R32,4-6 6-3 6-4,Chris Lewis,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
20,H2H 1-0,Bernie Mitton,R32,7-6 6-4,Mike Leach,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
21,H2H 1-0,Broderick Dyke,R32,6-4 7-5,Tony Giammalva,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
22,H2H 1-0,Wayne Hampson,R32,6-4 6-2,Rod Frawley,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
23,H2H 1-0,John Fitzgerald,R32,2-6 7-5 6-4,Mike Gandolfo,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
24,H2H 2-0,Scott McCain,R32,6-1 6-3,Chris Johnstone,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
25,H2H 1-1,Wally Masur,R32,6-3 6-3,John Lloyd,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
26,H2H 3-1,Mark Kratzmann,R32,6-2 6-2,Pat Cash,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
27,H2H 1-0,Greg Whitecross,R32,6-4 7-6,Craig A. Miller,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
28,H2H 1-0,Simon Youl,R32,3-6 6-0 7-6,Rand Evett,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
29,H2H 2-0,Charles Fancutt,R32,6-4 7-6,Cliff Letcher,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
30,H2H 3-1,J. Alexander,R32,6-3 6-2,Brad Drewett,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
31,,B Dyke / W Hampson,F,7-6 6-3,E Edwards / J Smith,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
32,,J Alexander / J Fitzgerald,SF,3-6 6-4 7-6,B Dyke / W Hampson,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
33,,S Ball / R Frawley,SF,6-3 6-7 7-6,E Edwards / J Smith,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
34,,P Johnston / J Mccurdy,QF,7-6 6-4,J Alexander / J Fitzgerald,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
35,,S McCain / B Mitton,QF,3-6 7-6 6-2,B Dyke / W Hampson,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
36,,C Letcher / C A. Miller,QF,7-5 5-7 6-4,S Ball / R Frawley,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
37,,J Borowiak / C Lewis,QF,6-2 6-2,E Edwards / J Smith,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
38,,S Brawley / D Siegler,R16,2-6 7-6 6-4,J Alexander / J Fitzgerald,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
39,,B Drewett / W Masur,R16,6-3 6-7 7-6,P Johnston / J Mccurdy,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
40,,J Lloyd / R Meyer,R16,7-5 7-6,S McCain / B Mitton,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
41,,D Graham / L Warder,R16,6-4 4-6 6-2,B Dyke / W Hampson,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
42,,R Grant / S Maloney,R16,6-4 7-6,C Letcher / C A. Miller,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
43,,P Cash / C Johnstone,R16,7-5 7-6,S Ball / R Frawley,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
44,,B Guan / W Maher,R16,7-6 4-6 7-6,E Edwards / J Smith,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
45,,W Maze / H Pfister,R16,6-4 6-7 6-0,J Borowiak / C Lewis,1983-12-26,https://matchstat.com/tennis/tournaments/m/Melbourne%20Outdoor/1983,Melbourne Outdoor
