,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 11-3,James Blake,F,6-4 3-6 7-5,Andy Roddick,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
1,H2H 1-1,Jan-Michael Gambill,SF,6-4 7-6(8),James Blake,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
2,H2H 10-1,Xavier Malisse,SF,6-7(5) 6-3 6-3,Andy Roddick,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
3,H2H 3-2,Tommy Haas,QF,6-3 6-1,James Blake,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
4,H2H 3-4,Rainer Schuettler,QF,6-3 4-6 7-6(2),Jan-Michael Gambill,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
5,H2H 1-3,Todd Martin,QF,7-6(5) 3-6 7-5,Xavier Malisse,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
6,H2H 2-1,Sargis Sargsian,QF,6-3 6-4,Andy Roddick,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
7,H2H 2-0,Justin Gimelstob,R16,7-6(7) 6-2,Tommy Haas,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
8,H2H 4-2,Taylor Dent,R16,2-6 6-4 6-3,James Blake,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
9,H2H 3-2,Paul Goldstein,R16,4-6 6-2 6-0,Jan-Michael Gambill,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
10,H2H 1-0,Jeff Morrison,R16,6-4 7-5,Rainer Schuettler,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
11,H2H 2-2,Davide Sanguinetti,R16,7-5 7-6(2),Todd Martin,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
12,H2H 1-0,Martin Damm,R16,6-2 6-4,Xavier Malisse,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
13,H2H 2-2,Jonas Bjorkman,R16,1-6 6-3 7-6(8),Sargis Sargsian,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
14,H2H 1-1,Andre Sa,R16,5-7 6-4 6-3,Andy Roddick,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
15,H2H 1-0,Jan Vacek,R32,6-3 5-7 6-4,Tommy Haas,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
16,H2H 1-1,Mardy Fish,R32,6-3 7-6(4),Justin Gimelstob,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
17,H2H 3-2,Robby Ginepri,R32,7-6(5) 6-4,Taylor Dent,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
18,H2H 2-1,Michael Chang,R32,6-4 6-4,James Blake,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
19,H2H 2-0,Nikolay Davydenko,R32,6-1 7-5,Jan-Michael Gambill,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
20,H2H 1-1,Wayne Arthurs,R32,6-7(4) 6-3 7-6(5),Paul Goldstein,2002-02-18,https://matchstat.com/tennis/tournaments/m/Memphis/2002,Memphis
