,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-1,Kevin Anderson,12.0,1.0,6404178.0,449567.0,,2.98,Kevin Anderson,51.0,3.0,1.0,61.0,18.0,50.0,37.0,28.0,13.0,5.0,10.0,,,,,2.0,111.0,,,2.98,1.47,F,6-4 6-4,Kei Nishikori,4.0,2.0,6404178.0,449566.0,,1.47,Kei Nishikori,60.0,4.0,3.0,50.0,17.0,61.0,31.0,25.0,30.0,18.0,10.0,,,,,1.0,111.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
1,H2H 5-4,Sam Querrey,27.0,9.0,6404176.0,449563.0,,3.65,Sam Querrey,125.0,6.0,2.0,129.0,42.0,119.0,71.0,58.0,48.0,25.0,18.0,,,,,2.0,248.0,,,3.65,1.35,SF,5-7 7-6(5) 7-6(5),Kei Nishikori,5.0,2.0,6404176.0,449562.0,,1.35,Kei Nishikori,123.0,5.0,1.0,119.0,36.0,129.0,72.0,54.0,57.0,33.0,18.0,,,,,1.0,248.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
2,H2H 6-5,Donald Young,2.0,5.0,6404177.0,449564.0,,3.35,Donald Young,84.0,5.0,1.0,87.0,24.0,95.0,45.0,30.0,50.0,30.0,14.0,,,,,1.0,182.0,,,3.35,1.40,SF,4-6 6-3 6-4,Kevin Anderson,13.0,1.0,6404177.0,449565.0,,1.4,Kevin Anderson,98.0,3.0,2.0,95.0,35.0,87.0,56.0,44.0,31.0,19.0,15.0,,,,,2.0,182.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
3,H2H 2-0,Austin Krajicek,11.0,4.0,6404172.0,449555.0,,13.0,Austin Krajicek,96.0,10.0,2.0,100.0,34.0,96.0,61.0,47.0,35.0,15.0,14.0,,,,,2.0,196.0,,,13.00,1.07,QF,4-6 6-3 6-4,Kei Nishikori,8.0,8.0,6404172.0,449554.0,,1.065,Kei Nishikori,100.0,9.0,3.0,96.0,34.0,100.0,59.0,45.0,41.0,21.0,15.0,,,,,1.0,196.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
4,H2H 4-2,John Isner,12.0,1.0,6404173.0,449556.0,,1.69,John Isner,71.0,1.0,0.0,76.0,18.0,69.0,51.0,41.0,18.0,12.0,12.0,,,,,1.0,145.0,,,1.69,2.36,QF,7-6(3) 7-6(2),Sam Querrey,13.0,5.0,6404173.0,449557.0,,2.36,Sam Querrey,74.0,0.0,0.0,69.0,16.0,76.0,42.0,35.0,34.0,23.0,12.0,,,,,2.0,145.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
5,H2H 2-0,Bernard Tomic,14.0,3.0,6404174.0,449559.0,,1.6,Bernard Tomic,115.0,8.0,3.0,101.0,30.0,133.0,90.0,66.0,43.0,19.0,17.0,,,,,2.0,234.0,,,1.60,2.56,QF,7-6(8) 4-6 7-5,Donald Young,13.0,7.0,6404174.0,449558.0,,2.56,Donald Young,119.0,11.0,3.0,133.0,48.0,101.0,50.0,43.0,51.0,28.0,17.0,,,,,1.0,234.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
6,H2H 4-2,Steve Johnson,6.0,3.0,6404175.0,449560.0,,2.98,Steve Johnson,48.0,3.0,0.0,51.0,9.0,58.0,34.0,28.0,24.0,11.0,10.0,,,,,1.0,109.0,,,2.98,1.47,QF,6-4 6-4,Kevin Anderson,16.0,0.0,6404175.0,449561.0,,1.47,Kevin Anderson,61.0,4.0,2.0,58.0,19.0,51.0,36.0,32.0,15.0,10.0,10.0,,,,,2.0,109.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
7,H2H 3-0,Ryan Harrison,7.0,3.0,6404164.0,449539.0,,9.7,Ryan Harrison,90.0,3.0,2.0,86.0,33.0,94.0,57.0,39.0,37.0,18.0,14.0,,,,,2.0,180.0,,,9.70,1.09,R16,3-6 6-3 6-4,Kei Nishikori,6.0,3.0,6404164.0,449538.0,,1.09,Kei Nishikori,90.0,11.0,3.0,94.0,37.0,86.0,45.0,34.0,41.0,19.0,14.0,,,,,1.0,180.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
8,H2H 1-0,Ivo Karlovic,32.0,9.0,6404165.0,449541.0,,1.25,Ivo Karlovic,93.0,3.0,1.0,99.0,26.0,93.0,56.0,48.0,37.0,19.0,16.0,,,,,2.0,192.0,,,1.25,4.55,R16,7-6(4) 4-6 6-4,Austin Krajicek,14.0,1.0,6404165.0,449540.0,,4.55,Austin Krajicek,99.0,6.0,1.0,93.0,26.0,99.0,75.0,60.0,24.0,13.0,16.0,,,,,1.0,192.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
9,H2H 2-1,Ivan Dodig,6.0,4.0,6404166.0,449543.0,,2.24,Ivan Dodig,66.0,1.0,0.0,69.0,16.0,67.0,48.0,40.0,19.0,10.0,11.0,,,,,2.0,136.0,,,2.24,1.75,R16,6-4 7-6(5),John Isner,22.0,1.0,6404166.0,449542.0,,1.75,John Isner,70.0,5.0,1.0,67.0,17.0,69.0,53.0,45.0,16.0,8.0,11.0,,,,,1.0,136.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Memphis/2015,Memphis
