,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Taylor Fritz,9.0,1.0,8356186.0,3518546.0,,5.5,Taylor Fritz,59.0,6.0,1.0,60.0,18.0,67.0,39.0,28.0,28.0,13.0,10.0,,,,,2.0,128.0,,,5.50,1.14,F,6-4 6-4,I Hard,Kei Nishikori,1.0,0.0,8356186.0,3518545.0,,1.14,Kei Nishikori,69.0,14.0,3.0,68.0,27.0,60.0,38.0,31.0,22.0,11.0,10.0,,,,,1.0,128.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
1,H2H 5-4,Sam Querrey,12.0,3.0,8355624.0,3518208.0,,5.2,Sam Querrey,79.0,6.0,1.0,77.0,22.0,85.0,58.0,43.0,27.0,14.0,14.0,,,,,2.0,165.0,,,5.20,1.16,SF,3-6 6-3 6-3,I Hard,Kei Nishikori,8.0,0.0,8355624.0,3518207.0,,1.16,Kei Nishikori,86.0,11.0,3.0,88.0,31.0,77.0,47.0,37.0,30.0,18.0,13.0,,,,,1.0,165.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
2,H2H 1-0,Ricardas Berankis,12.0,4.0,8355625.0,3518233.0,,2.2,Ricardas Berankis,90.0,9.0,5.0,99.0,45.0,71.0,50.0,38.0,21.0,7.0,13.0,,,,,1.0,174.0,,,2.20,1.66,SF,2-6 6-3 6-4,I Hard,Taylor Fritz,17.0,3.0,8355625.0,3518234.0,,1.66,Taylor Fritz,84.0,8.0,5.0,75.0,30.0,96.0,55.0,39.0,41.0,15.0,14.0,,,,,2.0,174.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
3,H2H 7-0,Mikhail Kukushkin,2.0,3.0,8354919.0,3517796.0,,10.0,Mikhail Kukushkin,58.0,5.0,0.0,66.0,22.0,62.0,38.0,26.0,24.0,10.0,9.0,,,,,2.0,131.0,,,10.00,1.05,QF,6-2 6-4,I Hard,Kei Nishikori,7.0,0.0,8354919.0,3517795.0,,1.05,Kei Nishikori,73.0,12.0,3.0,65.0,29.0,66.0,39.0,29.0,27.0,15.0,9.0,,,,,1.0,131.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
4,H2H 1-0,Yoshihito Nishioka,1.0,2.0,8354920.0,3517798.0,,2.8,Yoshihito Nishioka,54.0,2.0,0.0,67.0,21.0,48.0,32.0,22.0,16.0,11.0,9.0,,,,,2.0,117.0,,,2.80,1.43,QF,6-3 6-4,I Hard,Sam Querrey,11.0,2.0,8354920.0,3517797.0,,1.43,Sam Querrey,63.0,5.0,2.0,50.0,17.0,65.0,34.0,26.0,31.0,20.0,10.0,,,,,1.0,117.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
5,H2H 2-0,Donald Young,3.0,1.0,8355012.0,3517966.0,,1.67,Donald Young,55.0,3.0,1.0,66.0,20.0,59.0,36.0,27.0,23.0,8.0,9.0,,,,,2.0,126.0,,,1.67,2.20,QF,7-6(3) 6-1,I Hard,Ricardas Berankis,3.0,3.0,8355012.0,3517965.0,,2.2,Ricardas Berankis,71.0,5.0,3.0,60.0,25.0,63.0,34.0,26.0,29.0,20.0,10.0,,,,,1.0,126.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
6,H2H 1-0,Benjamin Becker,9.0,1.0,8355081.0,3517979.0,,2.37,Benjamin Becker,112.0,11.0,5.0,118.0,47.0,102.0,69.0,52.0,33.0,13.0,17.0,,,,,1.0,221.0,,,2.37,1.53,QF,6-4 5-7 7-6(5),I Hard,Taylor Fritz,13.0,4.0,8355081.0,3517980.0,,1.53,Taylor Fritz,109.0,7.0,5.0,103.0,38.0,114.0,68.0,50.0,46.0,21.0,17.0,,,,,2.0,221.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
7,H2H 3-0,Ryan Harrison,8.0,1.0,8353687.0,3517182.0,,13.5,Ryan Harrison,53.0,5.0,1.0,65.0,20.0,57.0,43.0,27.0,14.0,6.0,10.0,,,,,2.0,123.0,,,13.50,1.02,R16,6-2 7-5,I Hard,Kei Nishikori,1.0,2.0,8353687.0,3517181.0,,1.02,Kei Nishikori,70.0,7.0,4.0,58.0,25.0,63.0,37.0,30.0,26.0,15.0,10.0,,,,,1.0,123.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
8,H2H 2-0,Denis Kudla,8.0,3.0,8354673.0,3517170.0,,1.83,Denis Kudla,52.0,2.0,1.0,51.0,16.0,69.0,42.0,28.0,27.0,8.0,10.0,,,,,2.0,123.0,,,1.83,1.95,R16,6-1 7-5,I Hard,Mikhail Kukushkin,1.0,0.0,8354673.0,3517169.0,,1.95,Mikhail Kukushkin,71.0,10.0,5.0,72.0,36.0,51.0,23.0,18.0,28.0,17.0,9.0,,,,,1.0,123.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
9,H2H 1-0,Henri Laaksonen,3.0,3.0,8353688.0,3517450.0,,4.6,Henri Laaksonen,43.0,3.0,1.0,50.0,12.0,45.0,30.0,22.0,15.0,9.0,9.0,,,,,2.0,98.0,,,4.60,1.20,R16,6-3 6-4,I Hard,Sam Querrey,7.0,2.0,8353688.0,3517449.0,,1.2,Sam Querrey,55.0,7.0,3.0,48.0,17.0,48.0,29.0,24.0,19.0,14.0,10.0,,,,,1.0,98.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
10,H2H 2-0,Illya Marchenko,2.0,1.0,8354674.0,3517172.0,,1.59,Illya Marchenko,38.0,0.0,0.0,40.0,8.0,59.0,35.0,22.0,24.0,8.0,8.0,,,,,2.0,100.0,,,1.59,2.35,R16,6-1 6-3,I Hard,Yoshihito Nishioka,0.0,0.0,8354674.0,3517171.0,,2.35,Yoshihito Nishioka,62.0,11.0,4.0,60.0,30.0,40.0,21.0,18.0,19.0,14.0,8.0,,,,,1.0,100.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
11,H2H 2-1,Damir Dzumhur,2.0,2.0,8354838.0,3517497.0,,2.4,Damir Dzumhur,60.0,7.0,1.0,59.0,19.0,74.0,49.0,29.0,25.0,12.0,10.0,,,,,1.0,135.0,,,2.40,1.56,R16,6-3 6-4,I Hard,Ricardas Berankis,4.0,1.0,8354838.0,3517498.0,,1.56,Ricardas Berankis,75.0,11.0,4.0,76.0,35.0,58.0,35.0,26.0,23.0,14.0,9.0,,,,,2.0,135.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
12,H2H 1-0,Marcel Granollers,3.0,0.0,8353689.0,3517385.0,,2.2,Marcel Granollers,53.0,4.0,2.0,63.0,22.0,59.0,35.0,18.0,24.0,13.0,9.0,,,,,1.0,122.0,,,2.20,1.67,R16,6-1 7-6(2),I Hard,Donald Young,2.0,1.0,8353689.0,3517386.0,,1.67,Donald Young,69.0,11.0,4.0,59.0,28.0,62.0,41.0,28.0,21.0,13.0,10.0,,,,,2.0,122.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
13,H2H 1-1,John Millman,1.0,1.0,8354839.0,3517555.0,,1.5,John Millman,56.0,1.0,1.0,62.0,19.0,63.0,46.0,27.0,17.0,10.0,10.0,,,,,1.0,126.0,,,1.50,2.60,R16,6-2 7-6(6),I Hard,Benjamin Becker,5.0,1.0,8354839.0,3517556.0,,2.6,Benjamin Becker,70.0,7.0,3.0,64.0,27.0,61.0,47.0,34.0,14.0,9.0,10.0,,,,,2.0,126.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
14,H2H 1-0,Steve Johnson,12.0,1.0,8353690.0,3517504.0,,1.5,Steve Johnson,91.0,11.0,2.0,105.0,38.0,80.0,51.0,39.0,29.0,14.0,12.0,,,,,2.0,186.0,,,1.50,2.50,R16,7-6(5) 7-6(7),I Hard,Taylor Fritz,7.0,2.0,8353690.0,3517503.0,,2.5,Taylor Fritz,95.0,4.0,2.0,81.0,28.0,103.0,60.0,44.0,43.0,23.0,12.0,,,,,1.0,186.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
15,H2H 1-2,Frances Tiafoe,3.0,1.0,8353672.0,3516658.0,,2.0,Frances Tiafoe,114.0,7.0,3.0,111.0,41.0,108.0,67.0,46.0,41.0,27.0,17.0,,,,,2.0,220.0,,,2.00,1.80,R32,6-7(0) 7-6(8) 6-4,I Hard,Ryan Harrison,5.0,4.0,8353672.0,3516657.0,,1.8,Ryan Harrison,106.0,8.0,4.0,109.0,36.0,107.0,78.0,53.0,29.0,17.0,17.0,,,,,1.0,220.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
16,H2H 1-0,Luca Vanni,7.0,2.0,8353673.0,3516655.0,,2.35,Luca Vanni,61.0,3.0,0.0,65.0,16.0,61.0,36.0,29.0,25.0,16.0,11.0,,,,,1.0,128.0,,,2.35,1.56,R32,6-4 7-6(4),I Hard,Mikhail Kukushkin,1.0,0.0,8353673.0,3516656.0,,1.56,Mikhail Kukushkin,67.0,1.0,1.0,63.0,18.0,65.0,46.0,33.0,19.0,16.0,11.0,,,,,2.0,128.0,,,2016-02-08,https://matchstat.com/tennis/tournaments/m/Memphis/2016,Memphis
