,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-6,Andy Murray,3.0,2.0,5768562.0,121830.0,,1.493,Andy Murray,73.0,6.0,3.0,69.0,28.0,85.0,43.0,24.0,42.0,21.0,,,,,,2.0,154.0,,,1.49,2.83,F,0-6 6-2 6-3,Tommy Robredo,1.0,2.0,5768562.0,121829.0,,2.83,Tommy Robredo,81.0,8.0,4.0,85.0,40.0,69.0,47.0,32.0,22.0,9.0,,,,,,1.0,154.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
1,H2H 3-3,Nicolas Mahut,7.0,0.0,5768560.0,121522.0,,3.0,Nicolas Mahut,86.0,4.0,1.0,92.0,25.0,90.0,63.0,49.0,27.0,12.0,,,,,,2.0,182.0,,,3.00,1.46,SF,7-5 4-6 6-4,Tommy Robredo,13.0,2.0,5768560.0,121521.0,,1.455,Tommy Robredo,96.0,7.0,2.0,90.0,29.0,92.0,60.0,51.0,32.0,16.0,,,,,,1.0,182.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
2,H2H 1-0,Guillermo Canas,4.0,2.0,5768561.0,121524.0,,2.35,Guillermo Canas,66.0,2.0,1.0,64.0,17.0,84.0,49.0,34.0,35.0,15.0,,,,,,2.0,148.0,,,2.35,1.69,SF,7-6(2) 6-4,Andy Murray,6.0,3.0,5768561.0,121523.0,,1.69,Andy Murray,82.0,7.0,2.0,84.0,35.0,64.0,43.0,38.0,21.0,9.0,,,,,,1.0,148.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
3,H2H 6-2,Sebastien Grosjean,2.0,1.0,5768556.0,121514.0,,3.47,Sebastien Grosjean,48.0,4.0,2.0,53.0,16.0,57.0,27.0,17.0,30.0,15.0,,,,,,2.0,110.0,,,3.47,1.38,QF,6-4 6-4,Tommy Robredo,6.0,2.0,5768556.0,121513.0,,1.375,Tommy Robredo,62.0,9.0,4.0,57.0,25.0,53.0,26.0,21.0,27.0,16.0,,,,,,1.0,110.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
4,H2H 2-1,Igor Andreev,11.0,2.0,5768557.0,121516.0,,1.769,Igor Andreev,102.0,9.0,3.0,110.0,40.0,94.0,63.0,43.0,31.0,19.0,,,,,,2.0,204.0,,,1.77,2.20,QF,3-6 7-5 7-6(1),Nicolas Mahut,5.0,5.0,5768557.0,121515.0,,2.2,Nicolas Mahut,102.0,5.0,3.0,94.0,32.0,110.0,67.0,44.0,43.0,26.0,,,,,,1.0,204.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
5,H2H 12-3,Jo-Wilfried Tsonga,5.0,1.0,5768558.0,121517.0,,2.35,Jo-Wilfried Tsonga,48.0,1.0,1.0,45.0,12.0,69.0,50.0,25.0,19.0,11.0,,,,,,1.0,114.0,,,2.35,1.69,QF,6-3 6-3,Andy Murray,3.0,0.0,5768558.0,121518.0,,1.69,Andy Murray,66.0,14.0,4.0,69.0,33.0,45.0,26.0,20.0,19.0,13.0,,,,,,2.0,114.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
6,H2H 1-1,Evgeny Korolev,2.0,3.0,5768559.0,121519.0,,2.81,Evgeny Korolev,38.0,2.0,0.0,48.0,11.0,50.0,29.0,16.0,21.0,11.0,,,,,,1.0,98.0,,,2.81,1.51,QF,6-1 6-4,Guillermo Canas,5.0,2.0,5768559.0,121520.0,,1.51,Guillermo Canas,60.0,4.0,3.0,50.0,23.0,48.0,27.0,24.0,21.0,13.0,,,,,,2.0,98.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
7,H2H 7-4,Andreas Seppi,2.0,3.0,5768548.0,121498.0,,3.3,Andreas Seppi,46.0,2.0,0.0,55.0,15.0,56.0,27.0,18.0,29.0,13.0,,,,,,2.0,111.0,,,3.30,1.30,R16,6-4 6-2,Tommy Robredo,8.0,0.0,5768548.0,121497.0,,1.3,Tommy Robredo,65.0,6.0,3.0,56.0,25.0,55.0,34.0,25.0,21.0,15.0,,,,,,1.0,111.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
8,H2H 4-2,Stefan Koubek,3.0,2.0,5768549.0,121502.0,,2.15,Stefan Koubek,102.0,14.0,6.0,112.0,51.0,91.0,52.0,32.0,39.0,19.0,,,,,,2.0,203.0,,,2.15,1.80,R16,7-5 6-7(4) 2-4 Default,Sebastien Grosjean,3.0,2.0,5768549.0,121501.0,,1.8,Sebastien Grosjean,101.0,8.0,6.0,91.0,40.0,112.0,56.0,33.0,56.0,28.0,,,,,,1.0,203.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
9,H2H 5-2,Julien Benneteau,7.0,4.0,5768550.0,121503.0,,2.5,Julien Benneteau,78.0,4.0,2.0,80.0,25.0,87.0,57.0,40.0,30.0,13.0,,,,,,1.0,167.0,,,2.50,1.63,R16,6-3 3-6 6-3,Nicolas Mahut,9.0,1.0,5768550.0,121504.0,,1.625,Nicolas Mahut,89.0,10.0,3.0,87.0,34.0,80.0,55.0,41.0,25.0,14.0,,,,,,2.0,167.0,,,2007-10-01,https://matchstat.com/tennis/tournaments/m/Metz/2007,Metz
