,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Juan-Albert Viloca-Puig,F,6-4 7-6,Francisco Clavet,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
1,H2H 6-2,Nicolas Lapentti,SF,7-5 7-6,Francisco Clavet,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
2,H2H 2-1,Fernando Meligeni,SF,6-3 6-1,Juan-Albert Viloca-Puig,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
3,H2H 1-0,Andre Sa,QF,6-3 7-6,Francisco Clavet,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
4,H2H 3-2,Emilio Benfele-Alvarez,QF,6-2 4-6 7-5,Nicolas Lapentti,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
5,H2H 3-2,Lucas Arnold Ker,QF,2-6 7-6 6-0,Fernando Meligeni,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
6,H2H 6-1,Juan-Antonio Marin,QF,6-4 6-2,Juan-Albert Viloca-Puig,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
7,H2H 4-5,Jordi Burillo,R16,3-6 6-4 7-5,Francisco Clavet,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
8,H2H 2-0,Luis-Enrique Herrera,R16,2-6 6-3 6-4,Andre Sa,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
9,H2H 3-2,Galo Blanco,R16,6-3 6-0,Nicolas Lapentti,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
10,H2H 3-1,Marcello Craca,R16,6-3 6-3,Emilio Benfele-Alvarez,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
11,H2H 1-0,Gaston Etlis,R16,6-3 6-3,Lucas Arnold Ker,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
12,H2H 4-1,Ramon Delgado,R16,6-3 7-5,Fernando Meligeni,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
13,H2H 1-5,Carlos Costa,R16,6-4 6-3,Juan-Albert Viloca-Puig,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
14,H2H 2-0,Alejandro Hernandez,R16,6-3 4-6 6-4,Juan-Antonio Marin,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
15,H2H 4-5,Andrea Gaudenzi,R32,4-6 6-2 6-0,Francisco Clavet,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
16,H2H 2-0,Tomas Nydahl,R32,6-0 6-0,Jordi Burillo,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
17,H2H 1-1,Davide Sanguinetti,R32,0-6 7-6 6-2,Andre Sa,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
18,H2H 1-0,Karim Alami,R32,6-7 6-1 6-2,Luis-Enrique Herrera,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
19,H2H 1-1,Frederic Fontang,R32,6-3 6-4,Galo Blanco,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
20,H2H 1-0,Oleg Ogorodov,R32,6-2 6-2,Nicolas Lapentti,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
21,H2H 2-0,Fernando Vicente,R32,6-3 3-6 6-4,Emilio Benfele-Alvarez,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
22,H2H 1-2,Julian Alonso,R32,5-7 6-3 6-3,Marcello Craca,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
23,H2H 1-1,Hernan Gumy,R32,6-1 0-6 6-1,Lucas Arnold Ker,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
24,H2H 2-2,Franco Squillari,R32,6-4 6-4,Gaston Etlis,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
25,H2H 2-1,Oliver Gross,R32,6-0 6-1,Ramon Delgado,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
26,H2H 2-2,Marcelo Filippini,R32,4-6 7-6 6-1,Fernando Meligeni,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
27,H2H 2-0,Alberto Martin,R32,4-6 6-2 6-4,Carlos Costa,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
28,H2H 4-1,Radomir Vasek,R32,1-6 6-1 6-4,Juan-Albert Viloca-Puig,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
29,H2H 1-0,Marco Osorio,R32,6-1 6-1,Alejandro Hernandez,1997-10-20,https://matchstat.com/tennis/tournaments/m/Mexico%20City/1997,Mexico City
