,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-3,Raul Ramirez,F,6-0 6-3,Eddie Dibbs,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
1,H2H 8-10,Brian Gottfried,SF,7-6 5-7 6-4,Raul Ramirez,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
2,H2H 13-3,Harold Solomon,SF,7-5 6-2,Eddie Dibbs,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
3,H2H 1-0,Teimuraz Kakulia,QF,6-2 6-1,Raul Ramirez,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
4,H2H 3-0,Alex Metreveli,QF,6-2 3-6 6-2,Brian Gottfried,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
5,H2H 2-0,Elio Alvarez,QF,6-4 6-1,Harold Solomon,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
6,H2H 2-0,Cliff Letcher,QF,6-0 6-2,Eddie Dibbs,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
7,H2H 1-0,Steven Turner,R16,6-1 6-4,Raul Ramirez,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
8,H2H 1-0,Vladimir Zednik,R16,6-2 6-4,Teimuraz Kakulia,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
9,H2H 2-0,N. Spear,R16,6-1 6-0,Brian Gottfried,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
10,H2H 1-0,Alvaro Betancur,R16,3-6 6-1 6-2,Alex Metreveli,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
11,H2H 1-0,Butch Walts,R16,6-2 5-7 6-2,Elio Alvarez,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
12,H2H 1-0,Jiri Hrebec,R16,6-3 4-6 6-3,Harold Solomon,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
13,H2H 1-0,John Whitlinger,R16,7-5 6-1,Cliff Letcher,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
14,H2H 3-0,Van Winitsky,R16,6-0 6-0,Eddie Dibbs,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
15,H2H 1-0,Zan Guerry,R32,6-3 6-1,Raul Ramirez,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
16,H2H 1-0,Jurgen Fassbender,R32,6-7 7-6 6-2,Steven Turner,1977-02-07,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/1977,Miami Masters
