,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 26-23,Rafael Nadal,2.0,1.0,6313811.0,402613.0,,2.18,Rafael Nadal,40.0,1.0,0.0,49.0,11.0,52.0,37.0,22.0,15.0,7.0,,,,,,1.0,101.0,,,2.18,1.80,F,6-3 6-3,Novak Djokovic,5.0,0.0,6313811.0,402614.0,,1.8,Novak Djokovic,61.0,4.0,3.0,52.0,23.0,49.0,35.0,30.0,14.0,8.0,,,,,,2.0,101.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
1,H2H 19-4,Tomas Berdych,,,6313476.0,410250.0,,4.65,Tomas Berdych,,,,,,,,,,,,,,,,2.0,,,,4.65,1.25,SF,WO,Rafael Nadal,,,6313476.0,410249.0,,1.25,Rafael Nadal,,,,,,,,,,,,,,,,1.0,,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
2,H2H 9-2,Kei Nishikori,,,6313252.0,410245.0,,7.5,Kei Nishikori,,,,,,,,,,,,,,,,1.0,,,,7.50,1.13,SF,WO,Novak Djokovic,,,6313252.0,410246.0,,1.133,Novak Djokovic,,,,,,,,,,,,,,,,2.0,,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
3,H2H 6-1,Milos Raonic,8.0,5.0,6313300.0,402580.0,,6.7,Milos Raonic,86.0,3.0,1.0,84.0,25.0,103.0,57.0,43.0,46.0,18.0,,,,,,2.0,187.0,,,6.70,1.15,QF,4-6 6-2 6-4,Rafael Nadal,2.0,2.0,6313300.0,402579.0,,1.153,Rafael Nadal,101.0,9.0,3.0,103.0,42.0,84.0,63.0,47.0,21.0,12.0,,,,,,1.0,187.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
4,H2H 4-1,Alexandr Dolgopolov,9.0,3.0,6313601.0,402565.0,,3.0,Alexandr Dolgopolov,66.0,3.0,2.0,64.0,18.0,83.0,40.0,33.0,43.0,15.0,,,,,,1.0,147.0,,,3.00,1.46,QF,6-4 7-6(3),Tomas Berdych,11.0,2.0,6313601.0,402566.0,,1.457,Tomas Berdych,81.0,9.0,3.0,83.0,35.0,64.0,44.0,36.0,20.0,10.0,,,,,,2.0,147.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
5,H2H 2-4,Roger Federer,7.0,3.0,6313697.0,402551.0,,1.166,Roger Federer,97.0,9.0,4.0,108.0,44.0,88.0,47.0,33.0,41.0,20.0,,,,,,1.0,196.0,,,1.17,6.30,QF,3-6 7-5 6-4,Kei Nishikori,6.0,5.0,6313697.0,402552.0,,6.3,Kei Nishikori,99.0,12.0,5.0,88.0,35.0,108.0,71.0,46.0,37.0,18.0,,,,,,2.0,196.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
6,H2H 24-10,Andy Murray,1.0,5.0,6313358.0,402525.0,,4.05,Andy Murray,56.0,2.0,1.0,66.0,21.0,60.0,39.0,25.0,21.0,10.0,,,,,,1.0,126.0,,,4.05,1.30,QF,7-5 6-3,Novak Djokovic,7.0,3.0,6313358.0,402526.0,,1.3,Novak Djokovic,70.0,6.0,3.0,60.0,25.0,66.0,48.0,35.0,18.0,10.0,,,,,,2.0,126.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
7,H2H 7-3,Fabio Fognini,2.0,1.0,6313546.0,402502.0,,15.0,Fabio Fognini,29.0,0.0,0.0,35.0,3.0,48.0,27.0,17.0,21.0,9.0,,,,,,2.0,83.0,,,15.00,1.05,R16,6-2 6-2,Rafael Nadal,3.0,1.0,6313546.0,402501.0,,1.05,Rafael Nadal,54.0,8.0,4.0,48.0,22.0,35.0,23.0,22.0,12.0,10.0,,,,,,1.0,83.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
8,H2H 3-1,Benjamin Becker,0.0,3.0,6313309.0,402504.0,,8.3,Benjamin Becker,54.0,8.0,0.0,67.0,18.0,60.0,32.0,23.0,28.0,13.0,,,,,,2.0,127.0,,,8.30,1.11,R16,6-3 6-4,Milos Raonic,15.0,3.0,6313309.0,402503.0,,1.111,Milos Raonic,73.0,6.0,2.0,60.0,24.0,67.0,41.0,35.0,26.0,14.0,,,,,,1.0,127.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
9,H2H 2-1,Stan Wawrinka,4.0,7.0,6313308.0,402493.0,,1.4,Stan Wawrinka,75.0,4.0,2.0,68.0,21.0,94.0,43.0,28.0,51.0,26.0,,,,,,1.0,162.0,,,1.40,3.25,R16,6-4 3-6 6-1,Alexandr Dolgopolov,5.0,2.0,6313308.0,402494.0,,3.25,Alexandr Dolgopolov,87.0,6.0,4.0,94.0,40.0,68.0,30.0,24.0,38.0,23.0,,,,,,2.0,162.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
10,H2H 6-2,John Isner,9.0,1.0,6313307.0,402505.0,,3.1,John Isner,57.0,2.0,0.0,59.0,14.0,73.0,47.0,30.0,26.0,13.0,,,,,,1.0,132.0,,,3.10,1.44,R16,6-3 7-5,Tomas Berdych,7.0,3.0,6313307.0,402506.0,,1.435,Tomas Berdych,75.0,8.0,2.0,73.0,30.0,59.0,34.0,30.0,25.0,15.0,,,,,,2.0,132.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
11,H2H 15-2,Richard Gasquet,0.0,4.0,6313306.0,402496.0,,6.9,Richard Gasquet,28.0,1.0,0.0,37.0,8.0,43.0,26.0,14.0,17.0,6.0,,,,,,2.0,80.0,21.0,34.0,6.90,1.14,R16,6-1 6-2,Roger Federer,6.0,0.0,6313306.0,402495.0,,1.143,Roger Federer,52.0,6.0,5.0,43.0,23.0,37.0,25.0,22.0,12.0,7.0,,,,,,1.0,80.0,24.0,62.0,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
12,H2H 8-4,David Ferrer,2.0,5.0,6313305.0,784995.0,,1.417,David Ferrer,122.0,14.0,7.0,114.0,51.0,123.0,72.0,45.0,51.0,26.0,,,,,,2.0,237.0,,,1.42,3.19,R16,7-6(7) 2-6 7-6(9),Kei Nishikori,4.0,3.0,6313305.0,784994.0,,3.19,Kei Nishikori,115.0,13.0,5.0,123.0,52.0,114.0,64.0,43.0,50.0,20.0,,,,,,1.0,237.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
13,H2H 12-3,Jo-Wilfried Tsonga,3.0,3.0,6313304.0,402488.0,,3.35,Jo-Wilfried Tsonga,40.0,0.0,0.0,38.0,6.0,68.0,37.0,17.0,31.0,17.0,,,,,,2.0,106.0,,,3.35,1.39,R16,6-4 6-1,Andy Murray,2.0,1.0,6313304.0,402487.0,,1.39,Andy Murray,66.0,12.0,4.0,68.0,34.0,38.0,27.0,24.0,11.0,8.0,,,,,,1.0,106.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
14,H2H 7-2,Tommy Robredo,2.0,1.0,6313779.0,402485.0,,13.0,Tommy Robredo,51.0,1.0,0.0,60.0,14.0,58.0,44.0,31.0,14.0,6.0,,,,,,1.0,118.0,,,13.00,1.07,R16,6-3 7-5,Novak Djokovic,5.0,2.0,6313779.0,402486.0,,1.065,Novak Djokovic,67.0,2.0,2.0,58.0,21.0,60.0,39.0,32.0,21.0,14.0,,,,,,2.0,118.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
15,H2H 4-0,Denis Istomin,4.0,1.0,6313583.0,402480.0,,15.0,Denis Istomin,25.0,3.0,0.0,35.0,9.0,44.0,25.0,11.0,19.0,5.0,,,,,,2.0,79.0,,,15.00,1.05,R32,6-1 6-0,Rafael Nadal,3.0,0.0,6313583.0,402479.0,,1.05,Rafael Nadal,54.0,7.0,6.0,44.0,28.0,35.0,27.0,19.0,8.0,7.0,,,,,,1.0,79.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
16,H2H 5-2,Roberto Bautista Agut,3.0,2.0,6313259.0,784992.0,,1.7,Roberto Bautista Agut,82.0,4.0,2.0,82.0,28.0,92.0,65.0,39.0,27.0,15.0,,,,,,1.0,174.0,,,1.70,2.32,R32,4-6 6-3 6-3,Fabio Fognini,6.0,4.0,6313259.0,784993.0,,2.32,Fabio Fognini,92.0,7.0,4.0,92.0,38.0,82.0,45.0,35.0,37.0,19.0,,,,,,2.0,174.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
17,H2H 2-0,Guillermo Garcia-Lopez,0.0,1.0,6313561.0,402462.0,,4.7,Guillermo Garcia-Lopez,29.0,0.0,0.0,37.0,5.0,50.0,23.0,18.0,27.0,6.0,,,,,,2.0,87.0,,,4.70,1.24,R32,6-1 6-2,Milos Raonic,10.0,0.0,6313561.0,402461.0,,1.24,Milos Raonic,58.0,7.0,4.0,50.0,26.0,37.0,22.0,20.0,15.0,12.0,,,,,,1.0,87.0,,,2014-03-17,https://matchstat.com/tennis/tournaments/m/Miami%20Masters/2014,Miami Masters
