,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-2,Miloslav Mecir,F,6-4 6-3,Boris Becker,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
1,H2H 4-1,Slobodan Zivojinovic,SF,6-2 3-6 6-2,Boris Becker,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
2,H2H 7-3,Mats Wilander,SF,6-0 6-2,Miloslav Mecir,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
3,H2H 6-1,Jakob Hlasek,QF,6-4 6-2,Boris Becker,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
4,H2H 2-0,Paolo Cane,QF,6-1 6-1,Slobodan Zivojinovic,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
5,H2H 8-2,Emilio Sanchez,QF,6-3 6-1,Mats Wilander,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
6,H2H 4-0,Tomas Smid,QF,6-4 6-4,Miloslav Mecir,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
7,H2H 4-2,Sergio Casal,R16,6-2 6-4,Boris Becker,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
8,H2H 5-1,Michiel Schapers,R16,6-3 7-5,Jakob Hlasek,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
9,H2H 1-0,Broderick Dyke,R16,6-2 6-2,Paolo Cane,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
10,H2H 2-0,Brad Drewett,R16,7-6 6-3,Slobodan Zivojinovic,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
11,H2H 2-1,Claudio Panatta,R16,6-4 6-4,Emilio Sanchez,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
12,H2H 9-2,Jan Gunnarsson,R16,6-3 6-4,Mats Wilander,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
13,H2H 4-4,Anders Jarryd,R16,7-5 6-3,Tomas Smid,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
14,H2H 3-0,Eric Jelen,R16,6-1 6-4,Miloslav Mecir,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
15,H2H 1-0,Stanislav Birner,R32,6-1 6-3,Boris Becker,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
16,H2H 1-0,Shlomo Glickstein,R32,6-2 6-3,Sergio Casal,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
17,H2H 1-0,Simone Colombo,R32,6-2 6-3,Michiel Schapers,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
18,H2H 2-1,Marian Vajda,R32,6-3 7-6,Jakob Hlasek,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
19,H2H 2-0,Pat Cash,R32,6-3 7-6,Paolo Cane,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
20,H2H 1-0,Luca Bottazzi,R32,4-6 6-2 6-1,Broderick Dyke,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
21,H2H 3-0,Mark Kratzmann,R32,7-5 6-4,Brad Drewett,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
22,H2H 1-1,Jonas B. Svensson,R32,6-7 6-3 6-2,Slobodan Zivojinovic,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
23,H2H 1-0,Laurie Warder,R32,4-6 6-2 6-3,Emilio Sanchez,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
24,H2H 2-0,Ramesh Krishnan,R32,3-6 6-1 6-4,Claudio Panatta,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
25,H2H 1-0,Chip Hooper,R32,6-4 6-4,Jan Gunnarsson,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
26,H2H 3-1,Horst Skoff,R32,6-3 6-7 6-3,Mats Wilander,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
27,H2H 3-3,Wally Masur,R32,7-6 6-3,Anders Jarryd,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
28,H2H 1-2,Amos Mansdorf,R32,6-3 1-6 6-2,Tomas Smid,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
29,H2H 1-0,Carl Limberger,R32,7-6 6-1,Eric Jelen,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
30,H2H 1-0,Ugo Colombini,R32,6-2 6-3,Miloslav Mecir,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
31,,S Casal / E Sanchez,F,3-6 6-3 6-4,B Becker / S Zivojinovic,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
32,,M Mecir / T Smid,SF,6-2 6-4,B Becker / S Zivojinovic,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
33,,J Hlasek / C Hooper,SF,7-5 6-4,S Casal / E Sanchez,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
34,,P Cane / S Colombo,QF,7-6 6-4,B Becker / S Zivojinovic,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
35,,C Panatta / M Schapers,QF,6-3 2-6 7-6,M Mecir / T Smid,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
36,,J Gunnarsson / E Jelen,QF,2-6 6-2 7-6,J Hlasek / C Hooper,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
37,,S Birner / C Limberger,QF,6-3 6-1,S Casal / E Sanchez,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
38,,F Anda-Gomez / T Carbonell,R16,6-1 6-3,B Becker / S Zivojinovic,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
39,,U Colombini / H Skoff,R16,4-6 6-4 7-6,P Cane / S Colombo,1987-03-30,https://matchstat.com/tennis/tournaments/m/Milan/1987,Milan
