,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Dominik Hrbaty,F,6-4 7-6(3) 7-6(6),Cedric Pioline,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
1,H2H 4-1,Gaston Gaudio,SF,4-6 7-5 6-2,Dominik Hrbaty,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
2,H2H 2-0,Karim Alami,SF,6-3 6-1,Cedric Pioline,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
3,H2H 2-3,Alex Corretja,QF,3-6 6-3 6-4,Dominik Hrbaty,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
4,H2H 6-8,Juan Carlos Ferrero,QF,6-4 6-2,Gaston Gaudio,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
5,H2H 3-1,Albert Costa,QF,6-4 7-5,Karim Alami,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
6,H2H 6-3,Karol Kucera,QF,6-2 6-4,Cedric Pioline,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
7,H2H 3-1,Arnaud Clement,R16,6-4 7-5,Dominik Hrbaty,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
8,H2H 1-4,Juan Ignacio Chela,R16,6-3 6-3,Alex Corretja,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
9,H2H 5-0,Franco Squillari,R16,6-2 6-4,Juan Carlos Ferrero,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
10,H2H 2-0,Julien Boutter,R16,6-3 7-5,Gaston Gaudio,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
11,H2H 2-1,Richard Krajicek,R16,7-6(3) 6-3,Albert Costa,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
12,H2H 4-2,Christian Ruud,R16,2-6 6-1 7-6(2),Karim Alami,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
13,H2H 4-1,Slava Dosedel,R16,3-6 7-5 6-4,Cedric Pioline,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
14,H2H 4-3,Sjeng Schalken,R16,6-2 6-4,Karol Kucera,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
15,H2H 8-4,Yevgeny Kafelnikov,R32,6-3 5-7 6-4,Dominik Hrbaty,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
16,H2H 2-1,Mariano Zabaleta,R32,6-7(3) 6-0 7-5,Arnaud Clement,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
17,H2H 8-1,Fabrice Santoro,R32,6-0 6-4,Alex Corretja,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
18,H2H 5-4,Tim Henman,R32,6-2 4-6 6-3,Juan Ignacio Chela,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
19,H2H 4-2,Fernando Meligeni,R32,6-2 6-4,Franco Squillari,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
20,H2H 5-2,Hicham Arazi,R32,6-0 6-3,Juan Carlos Ferrero,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
21,H2H 2-1,Sargis Sargsian,R32,6-2 6-3,Julien Boutter,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
22,H2H 4-0,Felix Mantilla,R32,6-3 7-5,Gaston Gaudio,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
23,H2H 4-3,Thomas Enqvist,R32,7-5 6-1,Richard Krajicek,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
24,H2H 4-1,Jerome Golmard,R32,2-6 6-4 6-2,Albert Costa,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
25,H2H 1-0,Wayne Ferreira,R32,5-7 6-4 6-3,Christian Ruud,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
26,H2H 2-0,Magnus Norman,R32,6-3 3-6 6-1,Karim Alami,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
27,H2H 3-3,Jiri Novak,R32,6-4 6-3,Cedric Pioline,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
28,H2H 1-2,Nicolas Escude,R32,6-0 6-2,Slava Dosedel,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
29,H2H 3-7,Carlos Moya,R32,6-4 4-6 6-1,Sjeng Schalken,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
30,H2H 2-2,Andrei Medvedev,R32,7-6(1) 6-4,Karol Kucera,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
31,H2H 15-4,Daniel Vacek,R64,6-3 6-3,Yevgeny Kafelnikov,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
32,H2H 3-1,Arnaud Di Pasquale,R64,6-2 7-5,Dominik Hrbaty,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
33,H2H 4-2,Goran Ivanisevic,R64,6-0 6-7(6) 6-4,Arnaud Clement,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
34,H2H 3-0,Vince Spadea,R64,6-2 1-6 7-5,Mariano Zabaleta,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
35,H2H 9-4,Alberto Berasategui,R64,7-6(5) 6-1,Alex Corretja,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
36,H2H 2-0,Orlin Stanoytchev,R64,6-4 6-2,Fabrice Santoro,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
37,H2H 3-0,Alex Lopez-Moron,R64,7-5 1-6 7-6(5),Juan Ignacio Chela,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
38,H2H 3-2,Marc Rosset,R64,6-3 6-2,Tim Henman,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
39,H2H 4-2,Nicolas Lapentti,R64,6-2 7-6(5),Franco Squillari,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
40,H2H 4-1,Andrea Gaudenzi,R64,7-6(2) 6-4,Fernando Meligeni,2000-04-17,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2000,Monte Carlo Masters
