,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 23-26,Novak Djokovic,4.0,3.0,5865825.0,132834.0,,9.0,Novak Djokovic,79.0,11.0,5.0,87.0,38.0,87.0,54.0,30.0,33.0,11.0,,,,,,2.0,174.0,,,9.00,1.10,F,6-3 2-6 6-1,Rafael Nadal,2.0,1.0,5865825.0,132833.0,,1.1,Rafael Nadal,95.0,14.0,7.0,87.0,46.0,87.0,57.0,35.0,30.0,14.0,,,,,,1.0,174.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
1,H2H 17-7,Andy Murray,1.0,0.0,5865823.0,132796.0,,8.2,Andy Murray,62.0,4.0,2.0,65.0,24.0,74.0,37.0,24.0,37.0,14.0,,,,,,2.0,139.0,,,8.20,1.13,SF,6-2 7-6(4),Rafael Nadal,0.0,1.0,5865823.0,132795.0,,1.125,Rafael Nadal,77.0,9.0,4.0,74.0,36.0,65.0,40.0,27.0,25.0,14.0,,,,,,1.0,139.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
2,H2H 21-4,Stan Wawrinka,1.0,3.0,5865824.0,400968.0,,3.7,Stan Wawrinka,81.0,6.0,2.0,81.0,29.0,97.0,60.0,36.0,37.0,16.0,,,,,,2.0,178.0,,,3.70,1.33,SF,4-6 6-1 6-3,Novak Djokovic,1.0,4.0,5865824.0,400967.0,,1.333,Novak Djokovic,97.0,14.0,5.0,97.0,45.0,81.0,46.0,35.0,35.0,17.0,,,,,,1.0,178.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
3,H2H 7-2,Ivan Ljubicic,4.0,0.0,5865819.0,132790.0,,36.0,Ivan Ljubicic,41.0,1.0,1.0,52.0,16.0,43.0,22.0,17.0,21.0,8.0,,,,,,2.0,95.0,,,36.00,1.02,QF,6-3 6-3,Rafael Nadal,2.0,1.0,5865819.0,132789.0,,1.018,Rafael Nadal,54.0,6.0,4.0,43.0,18.0,52.0,37.0,29.0,15.0,7.0,,,,,,1.0,95.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
4,H2H 6-4,Nikolay Davydenko,0.0,1.0,5865820.0,132794.0,,2.48,Nikolay Davydenko,81.0,9.0,3.0,84.0,35.0,86.0,68.0,37.0,18.0,9.0,,,,,,2.0,170.0,,,2.48,1.63,QF,7-6(1) 6-4,Andy Murray,4.0,2.0,5865820.0,132793.0,,1.633,Andy Murray,89.0,9.0,4.0,86.0,40.0,84.0,43.0,29.0,41.0,20.0,,,,,,1.0,170.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
5,H2H 8-4,Fernando Verdasco,2.0,5.0,5865821.0,132791.0,,1.909,Fernando Verdasco,76.0,6.0,2.0,87.0,28.0,82.0,56.0,34.0,26.0,14.0,,,,,,1.0,169.0,,,1.91,2.00,QF,6-2 4-6 6-3,Novak Djokovic,4.0,5.0,5865821.0,132792.0,,2.0,Novak Djokovic,93.0,10.0,4.0,82.0,34.0,87.0,54.0,42.0,33.0,17.0,,,,,,2.0,169.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
6,H2H 2-0,Andreas Beck,2.0,3.0,5865822.0,400965.0,,4.4,Andreas Beck,51.0,4.0,1.0,51.0,15.0,70.0,39.0,26.0,31.0,10.0,,,,,,1.0,121.0,,,4.40,1.27,QF,6-2 6-4,Stan Wawrinka,6.0,4.0,5865822.0,400966.0,,1.27,Stan Wawrinka,70.0,11.0,4.0,70.0,34.0,51.0,33.0,27.0,18.0,9.0,,,,,,2.0,121.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
7,H2H 2-1,Nicolas Lapentti,1.0,2.0,5865811.0,132782.0,,41.0,Nicolas Lapentti,43.0,4.0,2.0,43.0,19.0,63.0,38.0,21.0,25.0,3.0,,,,,,2.0,106.0,,,41.00,1.02,R16,6-3 6-0,Rafael Nadal,1.0,1.0,5865811.0,132781.0,,1.017,Rafael Nadal,63.0,14.0,7.0,63.0,39.0,43.0,30.0,18.0,13.0,6.0,,,,,,1.0,106.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
8,H2H 1-0,Simone Bolelli,2.0,3.0,5865812.0,132783.0,,1.7,Simone Bolelli,76.0,6.0,1.0,85.0,28.0,73.0,47.0,33.0,26.0,15.0,,,,,,1.0,158.0,,,1.70,2.10,R16,7-5 7-6(2),Ivan Ljubicic,14.0,0.0,5865812.0,132784.0,,2.1,Ivan Ljubicic,82.0,6.0,2.0,73.0,25.0,85.0,47.0,37.0,38.0,20.0,,,,,,2.0,158.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
9,H2H 2-2,Fabio Fognini,1.0,4.0,5865813.0,132786.0,,7.6,Fabio Fognini,79.0,9.0,3.0,83.0,33.0,85.0,56.0,31.0,29.0,15.0,,,,,,2.0,168.0,,,7.60,1.14,R16,7-6(11) 6-4,Andy Murray,3.0,1.0,5865813.0,132785.0,,1.137,Andy Murray,89.0,12.0,4.0,85.0,39.0,83.0,58.0,36.0,25.0,14.0,,,,,,1.0,168.0,,,2009-04-13,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2009,Monte Carlo Masters
