,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 12-2,Gael Monfils,4.0,7.0,8376624.0,3539425.0,,4.0,Gael Monfils,87.0,13.0,5.0,95.0,40.0,91.0,63.0,33.0,28.0,14.0,15.0,,,,,1.0,193.0,,,4.00,1.25,F,7-5 5-7 6-0,Clay,Rafael Nadal,1.0,4.0,8376624.0,3539426.0,,1.25,Rafael Nadal,106.0,21.0,8.0,98.0,51.0,91.0,67.0,47.0,24.0,8.0,15.0,,,,,2.0,193.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
1,H2H 3-5,Jo-Wilfried Tsonga,2.0,2.0,8375980.0,3539060.0,,1.8,Jo-Wilfried Tsonga,45.0,3.0,2.0,49.0,20.0,55.0,37.0,17.0,18.0,8.0,8.0,,,,,2.0,106.0,,,1.80,2.00,SF,6-1 6-3,Clay,Gael Monfils,3.0,1.0,8375980.0,3539059.0,,2.0,Gael Monfils,61.0,11.0,6.0,57.0,32.0,48.0,40.0,27.0,8.0,2.0,8.0,,,,,1.0,106.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
2,H2H 17-7,Andy Murray,4.0,2.0,8375819.0,3539008.0,,3.0,Andy Murray,83.0,11.0,3.0,90.0,34.0,85.0,44.0,30.0,41.0,19.0,13.0,,,,,2.0,177.0,,,3.00,1.40,SF,2-6 6-4 6-2,Clay,Rafael Nadal,2.0,2.0,8375819.0,3539007.0,,1.4,Rafael Nadal,94.0,10.0,4.0,87.0,38.0,88.0,67.0,43.0,21.0,13.0,13.0,,,,,1.0,177.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
3,H2H 2-3,Marcel Granollers,1.0,1.0,8375624.0,3538828.0,,4.7,Marcel Granollers,40.0,1.0,1.0,48.0,14.0,48.0,29.0,17.0,19.0,9.0,9.0,,,,,2.0,97.0,,,4.70,1.21,QF,6-2 6-4,Clay,Gael Monfils,1.0,1.0,8375624.0,3538827.0,,1.21,Gael Monfils,57.0,5.0,4.0,49.0,23.0,47.0,36.0,25.0,11.0,9.0,9.0,,,,,1.0,97.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
4,H2H 6-11,Roger Federer,1.0,4.0,8375625.0,3538829.0,,1.42,Roger Federer,94.0,7.0,4.0,107.0,43.0,80.0,49.0,33.0,31.0,18.0,14.0,,,,,1.0,191.0,,,1.42,2.95,QF,3-6 6-2 7-5,Clay,Jo-Wilfried Tsonga,8.0,4.0,8375625.0,3538830.0,,2.95,Jo-Wilfried Tsonga,97.0,12.0,5.0,84.0,33.0,103.0,60.0,44.0,43.0,20.0,15.0,,,,,2.0,191.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
5,H2H 15-3,Stan Wawrinka,3.0,1.0,8375626.0,3538822.0,,2.25,Stan Wawrinka,37.0,1.0,1.0,45.0,12.0,50.0,26.0,18.0,24.0,7.0,8.0,,,,,2.0,96.0,,,2.25,1.60,QF,6-1 6-4,Clay,Rafael Nadal,2.0,1.0,8375626.0,3538821.0,,1.6,Rafael Nadal,59.0,9.0,4.0,51.0,26.0,44.0,26.0,22.0,18.0,11.0,9.0,,,,,1.0,96.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
6,H2H 8-3,Milos Raonic,0.0,0.0,8375627.0,3538823.0,,2.7,Milos Raonic,30.0,0.0,0.0,39.0,9.0,47.0,23.0,12.0,24.0,9.0,7.0,,,,,1.0,86.0,,,2.70,1.42,QF,6-2 6-0,Clay,Andy Murray,4.0,1.0,8375627.0,3538824.0,,1.42,Andy Murray,56.0,9.0,5.0,47.0,26.0,38.0,22.0,18.0,16.0,12.0,7.0,,,,,2.0,86.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
7,H2H 1-1,Jiri Vesely,1.0,1.0,8375518.0,3538531.0,,4.0,Jiri Vesely,42.0,7.0,1.0,52.0,18.0,54.0,43.0,22.0,11.0,2.0,7.0,,,,,1.0,107.0,,,4.00,1.23,R16,6-1 6-2,Clay,Gael Monfils,5.0,4.0,8375518.0,3538532.0,,1.23,Gael Monfils,65.0,16.0,5.0,55.0,31.0,48.0,38.0,30.0,10.0,4.0,8.0,,,,,2.0,107.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
8,H2H 1-1,David Goffin,0.0,4.0,8375519.0,3538533.0,,1.25,David Goffin,70.0,9.0,3.0,77.0,33.0,64.0,30.0,21.0,34.0,16.0,11.0,,,,,1.0,145.0,,,1.25,4.00,R16,7-6(1) 6-4,Clay,Marcel Granollers,6.0,0.0,8375519.0,3538534.0,,4.0,Marcel Granollers,75.0,8.0,4.0,68.0,31.0,77.0,50.0,32.0,27.0,12.0,11.0,,,,,2.0,145.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
9,H2H 5-0,Roberto Bautista Agut,2.0,2.0,8375401.0,3538812.0,,,Roberto Bautista Agut,49.0,3.0,0.0,52.0,14.0,62.0,47.0,24.0,15.0,11.0,9.0,,,,,2.0,116.0,,,,,R16,6-2 6-4,Clay,Roger Federer,5.0,2.0,8375401.0,3538811.0,,,Roger Federer,67.0,6.0,3.0,64.0,29.0,50.0,33.0,26.0,17.0,12.0,9.0,,,,,1.0,116.0,,,2016-04-11,https://matchstat.com/tennis/tournaments/m/Monte%20Carlo%20Masters/2016,Monte Carlo Masters
