,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 6-2,Paul-Henri Mathieu,4.0,1.0,8353948.0,3516544.0,,3.75,Paul-Henri Mathieu,58.0,4.0,2.0,63.0,21.0,67.0,38.0,25.0,29.0,12.0,11.0,,,,,2.0,131.0,,,3.75,1.25,F,7-5 6-4,Richard Gasquet,2.0,3.0,8353948.0,3516543.0,,1.25,Richard Gasquet,73.0,7.0,4.0,68.0,31.0,60.0,30.0,23.0,30.0,19.0,11.0,,,,,1.0,131.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
1,H2H 1-0,Dustin Brown,17.0,4.0,8353652.0,3516244.0,,3.75,Dustin Brown,83.0,14.0,4.0,90.0,38.0,74.0,54.0,34.0,20.0,11.0,13.0,,,,,2.0,168.0,,,3.75,1.27,SF,1-6 6-4 6-3,Richard Gasquet,4.0,4.0,8353652.0,3516243.0,,1.27,Richard Gasquet,85.0,10.0,4.0,78.0,33.0,86.0,64.0,37.0,22.0,15.0,13.0,,,,,1.0,168.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
2,H2H 2-2,Alexander Zverev,15.0,0.0,8353320.0,3516242.0,,1.6,Alexander Zverev,78.0,7.0,2.0,88.0,26.0,74.0,59.0,45.0,15.0,7.0,12.0,,,,,2.0,162.0,,,1.60,2.33,SF,7-6(11) 7-5,Paul-Henri Mathieu,9.0,0.0,8353320.0,3516241.0,,2.33,Paul-Henri Mathieu,84.0,4.0,3.0,74.0,22.0,88.0,53.0,39.0,35.0,23.0,12.0,,,,,1.0,162.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
3,H2H 1-3,Marcos Baghdatis,3.0,1.0,8353100.0,3515716.0,,3.15,Marcos Baghdatis,60.0,6.0,1.0,63.0,21.0,61.0,38.0,27.0,23.0,12.0,10.0,,,,,2.0,125.0,,,3.15,1.36,QF,6-4 6-4,Richard Gasquet,5.0,1.0,8353100.0,3515715.0,,1.36,Richard Gasquet,65.0,4.0,3.0,62.0,23.0,62.0,39.0,26.0,23.0,16.0,10.0,,,,,1.0,125.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
4,H2H 4-2,Ruben Bemelmans,1.0,1.0,8353211.0,3516010.0,,2.2,Ruben Bemelmans,45.0,5.0,1.0,51.0,15.0,55.0,39.0,23.0,16.0,7.0,9.0,,,,,2.0,107.0,,,2.20,1.69,QF,6-3 6-3,Dustin Brown,4.0,5.0,8353211.0,3516009.0,,1.69,Dustin Brown,62.0,10.0,4.0,56.0,26.0,46.0,34.0,27.0,12.0,9.0,9.0,,,,,1.0,107.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
5,H2H 3-0,John Millman,6.0,2.0,8353212.0,3516029.0,,2.05,John Millman,103.0,10.0,2.0,108.0,34.0,100.0,70.0,51.0,30.0,18.0,16.0,,,,,1.0,210.0,,,2.05,1.73,QF,7-6(5) 5-7 6-3,Paul-Henri Mathieu,17.0,4.0,8353212.0,3516030.0,,1.727,Paul-Henri Mathieu,107.0,4.0,2.0,102.0,33.0,104.0,75.0,55.0,29.0,19.0,17.0,,,,,2.0,210.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
6,H2H 1-1,Michael Berrer,4.0,1.0,8353101.0,3515765.0,,2.4,Michael Berrer,118.0,18.0,2.0,122.0,45.0,122.0,87.0,55.0,35.0,18.0,16.0,,,,,1.0,245.0,,,2.40,1.57,QF,6-7(2) 6-2 7-5,Alexander Zverev,8.0,7.0,8353101.0,3515766.0,,1.57,Alexander Zverev,127.0,13.0,5.0,123.0,50.0,115.0,85.0,59.0,30.0,18.0,16.0,,,,,2.0,245.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
7,H2H 4-1,Ernests Gulbis,9.0,1.0,8352142.0,3515516.0,,2.85,Ernests Gulbis,49.0,0.0,0.0,55.0,12.0,57.0,40.0,29.0,17.0,8.0,10.0,,,,,2.0,113.0,,,2.85,1.40,R16,6-4 6-4,Richard Gasquet,3.0,1.0,8352142.0,3515515.0,,1.4,Richard Gasquet,64.0,3.0,2.0,58.0,21.0,54.0,37.0,33.0,17.0,10.0,10.0,,,,,1.0,113.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
8,H2H 2-0,Taro Daniel,1.0,1.0,8352841.0,3515213.0,,2.85,Taro Daniel,62.0,5.0,1.0,65.0,18.0,73.0,49.0,34.0,24.0,10.0,10.0,,,,,1.0,139.0,,,2.85,1.40,R16,6-2 7-6(7),Marcos Baghdatis,8.0,1.0,8352841.0,3515214.0,,1.4,Marcos Baghdatis,77.0,7.0,3.0,74.0,30.0,64.0,28.0,26.0,36.0,21.0,10.0,,,,,2.0,139.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
9,H2H 1-2,Gilles Simon,1.0,0.0,8352143.0,3515499.0,,1.18,Gilles Simon,52.0,2.0,0.0,55.0,12.0,63.0,42.0,27.0,21.0,13.0,10.0,,,,,1.0,118.0,,,1.18,4.65,R16,6-4 6-4,Dustin Brown,10.0,0.0,8352143.0,3515500.0,,4.65,Dustin Brown,66.0,6.0,2.0,63.0,23.0,55.0,36.0,30.0,19.0,13.0,10.0,,,,,2.0,118.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Montpellier/2016,Montpellier
