,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Daniel Vacek,F,7-6 3-6 7-6,Carl-Uwe Steeb,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
1,H2H 4-15,Yevgeny Kafelnikov,SF,7-6 3-6 7-6,Daniel Vacek,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
2,H2H 1-3,Marc Rosset,SF,7-5 5-7 6-4,Carl-Uwe Steeb,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
3,H2H 7-0,Byron Black,QF,6-7 6-0 6-0,Yevgeny Kafelnikov,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
4,H2H 3-1,Alexander Volkov,QF,6-2 6-3,Daniel Vacek,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
5,H2H 2-0,Scott Draper,QF,6-4 6-2,Marc Rosset,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
6,H2H 2-2,Andrei Olhovskiy,QF,6-1 7-6,Carl-Uwe Steeb,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
7,H2H 11-2,Cedric Pioline,R16,7-5 6-1,Yevgeny Kafelnikov,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
8,H2H 2-1,Jakob Hlasek,R16,3-6 6-3 6-4,Byron Black,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
9,H2H 3-2,Andrei Chesnokov,R16,6-4 7-6,Daniel Vacek,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
10,H2H 1-0,Sander Groen,R16,5-7 6-2 6-3,Alexander Volkov,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
11,H2H 2-1,Karol Kucera,R16,6-1 7-6,Scott Draper,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
12,H2H 2-0,Jan Kroslak,R16,6-4 6-3,Marc Rosset,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
13,H2H 2-0,Marc-Kevin Goellner,R16,6-4 6-7 7-6,Andrei Olhovskiy,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
14,H2H 1-1,Shuzo Matsuoka,R16,6-2 6-7 6-3,Carl-Uwe Steeb,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
15,H2H 1-0,Frederik Fetterlein,R32,6-3 7-5,Yevgeny Kafelnikov,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
16,H2H 3-2,Brett Steven,R32,6-2 6-3,Cedric Pioline,1995-11-06,https://matchstat.com/tennis/tournaments/m/Moscow/1995,Moscow
