,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-5,Marcos Baghdatis,7.0,2.0,5971667.0,150132.0,,1.92,Marcos Baghdatis,75.0,4.0,2.0,77.0,24.0,79.0,40.0,34.0,39.0,17.0,,,,,,2.0,156.0,,,1.92,1.98,F,3-6 6-4 6-3,Viktor Troicki,7.0,3.0,5971667.0,150131.0,,1.98,Viktor Troicki,81.0,5.0,3.0,79.0,28.0,77.0,46.0,37.0,31.0,16.0,,,,,,1.0,156.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
1,H2H 3-0,Pablo Cuevas,1.0,1.0,5971665.0,150033.0,,3.05,Pablo Cuevas,47.0,1.0,1.0,47.0,14.0,63.0,38.0,25.0,25.0,8.0,,,,,,1.0,110.0,,,3.05,1.40,SF,6-3 6-3,Viktor Troicki,10.0,2.0,5971665.0,150034.0,,1.4,Viktor Troicki,63.0,11.0,4.0,63.0,30.0,47.0,27.0,22.0,20.0,11.0,,,,,,2.0,110.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
2,H2H 2-2,Denis Istomin,12.0,4.0,5971666.0,150070.0,,2.4,Denis Istomin,103.0,11.0,2.0,109.0,31.0,107.0,74.0,57.0,33.0,15.0,,,,,,2.0,216.0,,,2.40,1.66,SF,6-4 6-7(5) 7-6(2),Marcos Baghdatis,16.0,3.0,5971666.0,150069.0,,1.658,Marcos Baghdatis,113.0,11.0,3.0,107.0,35.0,109.0,62.0,57.0,47.0,21.0,,,,,,1.0,216.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
3,H2H 2-2,Radek Stepanek,2.0,1.0,5971661.0,149984.0,,1.54,Radek Stepanek,71.0,4.0,2.0,76.0,26.0,74.0,56.0,34.0,18.0,11.0,,,,,,2.0,150.0,,,1.54,2.66,QF,6-4 7-6(3),Pablo Cuevas,10.0,1.0,5971661.0,149983.0,,2.66,Pablo Cuevas,79.0,5.0,3.0,74.0,29.0,76.0,48.0,33.0,28.0,17.0,,,,,,1.0,150.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
4,H2H 1-0,Horacio Zeballos,1.0,4.0,5971662.0,149990.0,,3.49,Horacio Zeballos,35.0,2.0,0.0,42.0,11.0,57.0,26.0,13.0,31.0,11.0,,,,,,2.0,99.0,,,3.49,1.36,QF,6-2 6-1,Viktor Troicki,6.0,5.0,5971662.0,149989.0,,1.364,Viktor Troicki,64.0,9.0,5.0,57.0,33.0,42.0,22.0,21.0,20.0,10.0,,,,,,1.0,99.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
5,H2H 2-4,Alexandr Dolgopolov,7.0,1.0,5971663.0,149993.0,,2.16,Alexandr Dolgopolov,60.0,0.0,0.0,60.0,14.0,72.0,38.0,27.0,34.0,19.0,,,,,,1.0,132.0,,,2.16,1.72,QF,6-2 7-6(7),Marcos Baghdatis,7.0,3.0,5971663.0,149994.0,,1.72,Marcos Baghdatis,72.0,7.0,2.0,72.0,26.0,60.0,32.0,27.0,28.0,19.0,,,,,,2.0,132.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
6,H2H 5-1,Igor Kunitsyn,0.0,0.0,5971664.0,149991.0,,2.08,Igor Kunitsyn,45.0,1.0,1.0,46.0,12.0,65.0,44.0,25.0,21.0,8.0,,,,,,1.0,111.0,,,2.08,1.78,QF,6-2 6-4,Denis Istomin,10.0,3.0,5971664.0,149992.0,,1.78,Denis Istomin,66.0,8.0,4.0,65.0,32.0,46.0,28.0,23.0,18.0,11.0,,,,,,2.0,111.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
7,H2H 2-1,Nikolay Davydenko,2.0,2.0,5971653.0,149927.0,,1.2,Nikolay Davydenko,77.0,2.0,2.0,76.0,22.0,83.0,54.0,38.0,29.0,17.0,,,,,,1.0,159.0,,,1.20,5.20,R16,7-6(6) 7-6(5),Pablo Cuevas,5.0,1.0,5971653.0,149928.0,,5.2,Pablo Cuevas,82.0,3.0,2.0,83.0,28.0,76.0,50.0,40.0,26.0,14.0,,,,,,2.0,159.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
8,H2H 2-0,Mikhail Kukushkin,2.0,0.0,5971654.0,149915.0,,2.32,Mikhail Kukushkin,42.0,1.0,0.0,52.0,15.0,47.0,28.0,18.0,19.0,9.0,,,,,,1.0,99.0,,,2.32,1.68,R16,6-3 6-2,Radek Stepanek,11.0,1.0,5971654.0,149916.0,,1.68,Radek Stepanek,57.0,7.0,3.0,47.0,20.0,52.0,42.0,33.0,10.0,4.0,,,,,,2.0,99.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
9,H2H 3-4,Jo-Wilfried Tsonga,13.0,3.0,5971655.0,149969.0,,1.49,Jo-Wilfried Tsonga,98.0,6.0,2.0,99.0,34.0,102.0,61.0,45.0,41.0,19.0,,,,,,1.0,201.0,,,1.49,2.82,R16,3-6 6-3 7-5,Viktor Troicki,14.0,2.0,5971655.0,149970.0,,2.82,Viktor Troicki,103.0,9.0,3.0,102.0,38.0,99.0,49.0,40.0,50.0,25.0,,,,,,2.0,201.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Moscow/2010,Moscow
