,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-0,Thomas Muster,F,6-4 6-2,Karel Novacek,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
1,H2H 3-2,Petr Korda,SF,6-3 6-1,Thomas Muster,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
2,H2H 4-5,Jonas B. Svensson,SF,6-1 2-6 6-1,Karel Novacek,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
3,H2H 3-0,Martin Strelba,QF,4-3 Retired,Thomas Muster,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
4,H2H 1-0,Jens Woehrmann,QF,6-3 7-5,Petr Korda,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
5,H2H 3-2,Jim Courier,QF,3-6 6-3 6-4,Jonas B. Svensson,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
6,H2H 3-2,Christian Bergstrom,QF,6-1 6-1,Karel Novacek,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
7,H2H 2-0,Stefan Edberg,R16,6-4 6-1,Martin Strelba,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
8,H2H 6-1,Magnus Gustafsson,R16,7-5 6-2,Thomas Muster,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
9,H2H 2-3,Kevin Curren,R16,7-5 6-1,Petr Korda,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
10,H2H 1-0,Carl-Uwe Steeb,R16,7-5 6-4,Jens Woehrmann,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
11,H2H 3-1,Milan Srejber,R16,6-1 1-0 Retired,Jonas B. Svensson,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
12,H2H 2-0,Bruno Oresar,R16,6-2 6-1,Jim Courier,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
13,H2H 1-1,Udo Riglewski,R16,6-1 4-6 6-0,Christian Bergstrom,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
14,H2H 2-3,Aaron Krickstein,R16,6-2 7-6,Karel Novacek,1990-04-30,https://matchstat.com/tennis/tournaments/m/Munich/1990,Munich
