,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-1,Simone Bolelli,6.0,2.0,5798565.0,125217.0,,2.8,Simone Bolelli,109.0,3.0,0.0,105.0,28.0,125.0,89.0,60.0,36.0,21.0,,,,,,1.0,230.0,,,2.80,1.40,F,7-6(4) 6-7(4) 6-3,Fernando Gonzalez,4.0,3.0,5798565.0,125218.0,,1.4,Fernando Gonzalez,121.0,6.0,2.0,125.0,44.0,105.0,69.0,55.0,36.0,22.0,,,,,,2.0,230.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
1,H2H 1-0,Paul-Henri Mathieu,6.0,3.0,5798563.0,125171.0,,1.493,Paul-Henri Mathieu,119.0,7.0,3.0,128.0,47.0,111.0,69.0,50.0,42.0,22.0,,,,,,1.0,239.0,,,1.49,2.83,SF,7-6(1) 4-6 7-6(4),Simone Bolelli,15.0,3.0,5798563.0,125172.0,,2.83,Simone Bolelli,120.0,7.0,2.0,111.0,39.0,128.0,88.0,61.0,40.0,20.0,,,,,,2.0,239.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
2,H2H 1-0,Younes El Aynaoui,7.0,3.0,5798564.0,125173.0,,3.6,Younes El Aynaoui,80.0,5.0,2.0,83.0,26.0,84.0,57.0,42.0,27.0,12.0,,,,,,1.0,167.0,,,3.60,1.25,SF,3-6 6-4 6-3,Fernando Gonzalez,2.0,3.0,5798564.0,125174.0,,1.25,Fernando Gonzalez,87.0,4.0,3.0,84.0,30.0,83.0,53.0,41.0,30.0,16.0,,,,,,2.0,167.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
3,H2H 3-5,Marin Cilic,9.0,1.0,5798559.0,125162.0,,3.3,Marin Cilic,75.0,5.0,2.0,83.0,25.0,82.0,43.0,28.0,39.0,22.0,,,,,,2.0,165.0,,,3.30,1.40,QF,6-2 4-6 6-3,Paul-Henri Mathieu,3.0,0.0,5798559.0,125161.0,,1.4,Paul-Henri Mathieu,90.0,12.0,4.0,82.0,32.0,83.0,45.0,37.0,38.0,21.0,,,,,,1.0,165.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
4,H2H 1-0,Hyung-Taik Lee,5.0,0.0,5798560.0,125163.0,,3.25,Hyung-Taik Lee,54.0,4.0,1.0,60.0,12.0,62.0,33.0,22.0,29.0,20.0,,,,,,1.0,122.0,,,3.25,1.41,QF,6-4 7-6(3),Simone Bolelli,7.0,1.0,5798560.0,125164.0,,1.408,Simone Bolelli,68.0,2.0,2.0,62.0,20.0,60.0,44.0,37.0,16.0,11.0,,,,,,2.0,122.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
5,H2H 1-0,Juan Martin Del Potro,1.0,1.0,5798561.0,125166.0,,1.376,Juan Martin Del Potro,46.0,2.0,1.0,53.0,13.0,58.0,44.0,26.0,14.0,7.0,,,,,,2.0,111.0,,,1.38,3.46,QF,6-4 6-4,Younes El Aynaoui,7.0,1.0,5798561.0,125165.0,,3.46,Younes El Aynaoui,65.0,5.0,3.0,58.0,25.0,53.0,33.0,29.0,20.0,11.0,,,,,,1.0,111.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
6,H2H 6-3,Marat Safin,1.0,1.0,5798562.0,125167.0,,2.35,Marat Safin,59.0,6.0,1.0,77.0,26.0,56.0,33.0,23.0,23.0,10.0,,,,,,1.0,133.0,,,2.35,1.69,QF,6-3 7-5,Fernando Gonzalez,2.0,2.0,5798562.0,125168.0,,1.69,Fernando Gonzalez,74.0,3.0,3.0,56.0,23.0,77.0,48.0,34.0,29.0,17.0,,,,,,2.0,133.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
7,H2H 1-0,Gianluca Naso,5.0,1.0,5798551.0,125146.0,,8.75,Gianluca Naso,67.0,2.0,0.0,64.0,18.0,87.0,57.0,37.0,30.0,12.0,,,,,,2.0,151.0,,,8.75,1.11,R16,6-3 6-4,Paul-Henri Mathieu,12.0,2.0,5798551.0,125145.0,,1.111,Paul-Henri Mathieu,84.0,17.0,2.0,87.0,38.0,64.0,36.0,32.0,28.0,14.0,,,,,,1.0,151.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
8,H2H 4-0,Philipp Petzschner,1.0,2.0,5798552.0,125147.0,,3.7,Philipp Petzschner,85.0,14.0,1.0,102.0,38.0,76.0,42.0,28.0,34.0,19.0,,,,,,1.0,178.0,,,3.70,1.33,R16,6-4 7-6(7),Marin Cilic,6.0,7.0,5798552.0,125148.0,,1.333,Marin Cilic,93.0,4.0,2.0,76.0,29.0,102.0,61.0,43.0,41.0,21.0,,,,,,2.0,178.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
9,H2H 1-0,Julio Silva,3.0,2.0,5798553.0,125149.0,,2.55,Julio Silva,47.0,3.0,1.0,58.0,19.0,56.0,39.0,21.0,17.0,7.0,,,,,,1.0,114.0,,,2.55,1.61,R16,6-1 6-4,Hyung-Taik Lee,2.0,0.0,5798553.0,125150.0,,1.606,Hyung-Taik Lee,67.0,12.0,4.0,56.0,28.0,58.0,41.0,28.0,17.0,11.0,,,,,,2.0,114.0,,,2008-04-28,https://matchstat.com/tennis/tournaments/m/Munich/2008,Munich
