,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-2,Jan Siemerink,F,7-6 6-4,Alex O'Brien,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
1,H2H 2-1,Mark Philippoussis,SF,7-6 6-7 6-4,Alex O'Brien,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
2,H2H 4-2,Wayne Ferreira,SF,6-3 3-6 6-3,Jan Siemerink,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
3,H2H 2-0,Yevgeny Kafelnikov,QF,6-4 6-4,Alex O'Brien,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
4,H2H 3-0,Marc Rosset,QF,6-2 6-3,Mark Philippoussis,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
5,H2H 10-0,Daniel Vacek,QF,6-2 6-7 6-3,Wayne Ferreira,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
6,H2H 2-6,Richard Krajicek,QF,7-6 6-2,Jan Siemerink,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
7,H2H 5-3,Andrea Gaudenzi,R16,6-1 6-4,Yevgeny Kafelnikov,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
8,H2H 2-3,Chuck Adams,R16,6-3 2-6 6-2,Alex O'Brien,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
9,H2H 3-2,Jim Courier,R16,7-6 7-6,Mark Philippoussis,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
10,H2H 1-0,Lars Burgsmuller,R16,7-5 7-6,Marc Rosset,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
11,H2H 2-6,Marcelo Rios,R16,6-1 6-1,Daniel Vacek,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
12,H2H 2-2,Andrei Chesnokov,R16,6-2 6-0,Wayne Ferreira,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
13,H2H 4-4,Sergio Bruguera,R16,6-4 6-3,Jan Siemerink,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
14,H2H 7-2,Patrick Rafter,R16,6-4 5-7 7-5,Richard Krajicek,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
15,H2H 1-0,Andrei Olhovskiy,R32,6-7 6-3 6-3,Yevgeny Kafelnikov,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
16,H2H 2-1,Jan Kroslak,R32,6-3 7-6,Andrea Gaudenzi,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
17,H2H 1-2,Shuzo Matsuoka,R32,6-3 6-4,Chuck Adams,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
18,H2H 2-1,Arnaud Boetsch,R32,6-2 6-1,Alex O'Brien,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
19,H2H 4-0,Mikael Tillstrom,R32,7-6 6-3,Jim Courier,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
20,H2H 5-4,Jonas Bjorkman,R32,6-4 6-3,Mark Philippoussis,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
21,H2H 1-2,Byron Black,R32,6-4 7-5,Lars Burgsmuller,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
22,H2H 3-5,Greg Rusedski,R32,6-7 7-6 7-5,Marc Rosset,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
23,H2H 2-1,Leander Paes,R32,6-0 6-2,Marcelo Rios,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
24,H2H 3-1,Andrey Cherkasov,R32,6-4 6-4,Daniel Vacek,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
25,H2H 2-0,Andrei Medvedev,R32,3-6 7-6 6-4,Andrei Chesnokov,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
26,H2H 1-0,Michael Joyce,R32,6-2 3-6 6-4,Wayne Ferreira,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
27,H2H 4-3,Cedric Pioline,R32,2-6 6-3 6-4,Sergio Bruguera,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
28,H2H 2-2,Sandon Stolle,R32,7-5 6-2,Jan Siemerink,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
29,H2H 2-0,Marc-Kevin Goellner,R32,6-3 6-2,Patrick Rafter,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
30,H2H 1-0,Luke Jensen,R32,6-3 6-7 7-6,Richard Krajicek,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
31,H2H 1-0,Geoff Grant,R64,6-4 6-2,Andrei Olhovskiy,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
32,H2H 2-0,Lionel Barthez,R64,6-4 6-4,Jan Kroslak,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
33,H2H 1-0,Karol Kucera,R64,6-2 7-6,Andrea Gaudenzi,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
34,H2H 2-2,Paul Haarhuis,R64,3-6 6-4 6-4,Shuzo Matsuoka,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
35,H2H 1-1,Steve Campbell,R64,6-4 6-2,Chuck Adams,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
36,H2H 1-4,Sargis Sargsian,R64,6-2 3-6 6-4,Alex O'Brien,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
37,H2H 2-2,Sjeng Schalken,R64,6-3 6-1,Mikael Tillstrom,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
38,H2H 2-3,Nicklas Kulti,R64,6-3 6-2,Jonas Bjorkman,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
39,H2H 1-0,Kenneth Carlsen,R64,4-6 7-6 6-4,Mark Philippoussis,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
40,H2H 2-0,Pat Cash,R64,7-6 6-4,Byron Black,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
41,H2H 2-0,Jimy Szymanski,R64,7-6 5-7 6-0,Lars Burgsmuller,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
42,H2H 3-1,Magnus Larsson,R64,7-5 6-4,Greg Rusedski,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
43,H2H 2-0,Roger Smith,R64,6-3 6-4,Leander Paes,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
44,H2H 1-3,Lorenzo Manta,R64,6-7 6-2 7-6,Andrey Cherkasov,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
45,H2H 2-1,Vince Spadea,R64,7-6 6-3,Daniel Vacek,1996-08-12,https://matchstat.com/tennis/tournaments/m/New%20Haven/1996,New Haven
