,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-3,Mardy Fish,6.0,3.0,5757263.0,120848.0,,3.85,Mardy Fish,58.0,4.0,3.0,62.0,23.0,60.0,32.0,22.0,28.0,13.0,,,,,,2.0,122.0,,,3.85,1.35,F,7-5 6-4,James Blake,5.0,2.0,5757263.0,120847.0,,1.351,James Blake,64.0,7.0,5.0,60.0,25.0,62.0,31.0,25.0,31.0,14.0,,,,,,1.0,122.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
1,H2H 2-0,Paul-Henri Mathieu,5.0,4.0,5757261.0,120843.0,,2.65,Paul-Henri Mathieu,87.0,4.0,3.0,84.0,23.0,96.0,55.0,45.0,41.0,19.0,,,,,,1.0,180.0,,,2.65,1.57,SF,6-4 3-6 7-6(2),James Blake,9.0,1.0,5757261.0,120844.0,,1.571,James Blake,93.0,7.0,3.0,96.0,32.0,84.0,45.0,36.0,39.0,25.0,,,,,,2.0,180.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
2,H2H 2-5,Ivo Karlovic,11.0,2.0,5757262.0,120845.0,,1.75,Ivo Karlovic,70.0,2.0,1.0,69.0,22.0,82.0,49.0,36.0,33.0,12.0,,,,,,1.0,151.0,,,1.75,2.00,SF,7-6(3) 6-4,Mardy Fish,7.0,3.0,5757262.0,120846.0,,2.0,Mardy Fish,81.0,5.0,2.0,82.0,34.0,69.0,38.0,30.0,31.0,17.0,,,,,,2.0,151.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
3,H2H 4-2,Gilles Simon,1.0,1.0,5757257.0,120767.0,,2.4,Gilles Simon,46.0,0.0,0.0,44.0,8.0,70.0,35.0,26.0,35.0,12.0,,,,,,1.0,114.0,,,2.40,1.67,QF,6-4 6-3,Paul-Henri Mathieu,7.0,0.0,5757257.0,120768.0,,1.667,Paul-Henri Mathieu,68.0,9.0,3.0,70.0,32.0,44.0,28.0,24.0,16.0,12.0,,,,,,2.0,114.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
4,H2H 2-0,Fernando Verdasco,3.0,2.0,5757258.0,120770.0,,3.7,Fernando Verdasco,43.0,1.0,0.0,50.0,12.0,53.0,36.0,21.0,17.0,10.0,,,,,,2.0,103.0,,,3.70,1.33,QF,6-4 6-2,James Blake,6.0,1.0,5757258.0,120769.0,,1.333,James Blake,60.0,3.0,3.0,53.0,22.0,50.0,30.0,26.0,20.0,12.0,,,,,,1.0,103.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
5,H2H 2-1,Igor Andreev,6.0,2.0,5757259.0,120772.0,,1.85,Igor Andreev,98.0,0.0,0.0,94.0,15.0,118.0,79.0,58.0,39.0,25.0,,,,,,2.0,212.0,,,1.85,1.85,QF,6-7(8) 6-4 7-6(1),Ivo Karlovic,28.0,1.0,5757259.0,120771.0,,1.85,Ivo Karlovic,114.0,4.0,1.0,118.0,35.0,94.0,71.0,65.0,23.0,14.0,,,,,,1.0,212.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
6,H2H 3-0,Stan Wawrinka,1.0,2.0,5757260.0,400752.0,,1.556,Stan Wawrinka,57.0,2.0,1.0,56.0,20.0,66.0,30.0,19.0,36.0,18.0,,,,,,2.0,122.0,,,1.56,2.70,QF,6-3 6-3,Mardy Fish,7.0,2.0,5757260.0,400751.0,,2.7,Mardy Fish,65.0,14.0,4.0,66.0,29.0,56.0,31.0,25.0,25.0,11.0,,,,,,1.0,122.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
7,H2H 5-3,Nikolay Davydenko,3.0,4.0,5757249.0,120759.0,,1.417,Nikolay Davydenko,58.0,1.0,1.0,62.0,22.0,66.0,41.0,24.0,25.0,12.0,,,,,,1.0,128.0,,,1.42,3.20,R16,6-4 6-4,Gilles Simon,1.0,0.0,5757249.0,120760.0,,3.2,Gilles Simon,70.0,5.0,3.0,66.0,30.0,62.0,39.0,28.0,23.0,12.0,,,,,,2.0,128.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
8,H2H 3-2,Nicolas Almagro,16.0,8.0,5757250.0,120761.0,,2.55,Nicolas Almagro,67.0,2.0,1.0,76.0,19.0,76.0,43.0,34.0,33.0,14.0,,,,,,1.0,152.0,,,2.55,1.61,R16,4-6 6-3 6-2,Paul-Henri Mathieu,11.0,6.0,5757250.0,120762.0,,1.606,Paul-Henri Mathieu,85.0,8.0,3.0,76.0,28.0,76.0,45.0,39.0,31.0,18.0,,,,,,2.0,152.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
9,H2H 2-1,Agustin Calleri,9.0,4.0,5757251.0,118078.0,,5.5,Agustin Calleri,98.0,7.0,3.0,102.0,41.0,100.0,49.0,39.0,51.0,18.0,,,,,,2.0,202.0,,,5.50,1.20,R16,3-6 7-6(2) 6-1,James Blake,11.0,7.0,5757251.0,118077.0,,1.2,James Blake,104.0,10.0,5.0,100.0,43.0,102.0,56.0,40.0,46.0,21.0,,,,,,1.0,202.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
10,H2H 5-3,Jarkko Nieminen,3.0,3.0,5757252.0,120764.0,,1.769,Jarkko Nieminen,84.0,14.0,5.0,95.0,42.0,76.0,51.0,29.0,25.0,13.0,,,,,,2.0,171.0,,,1.77,2.20,R16,6-3 2-6 6-4,Fernando Verdasco,4.0,5.0,5757252.0,120763.0,,2.2,Fernando Verdasco,87.0,8.0,5.0,76.0,34.0,95.0,70.0,41.0,25.0,12.0,,,,,,1.0,171.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
11,H2H 3-2,Thomas Johansson,7.0,3.0,5757253.0,120765.0,,2.4,Thomas Johansson,85.0,1.0,1.0,82.0,20.0,93.0,56.0,43.0,37.0,22.0,,,,,,1.0,175.0,,,2.40,1.67,R16,4-6 6-4 7-5,Ivo Karlovic,24.0,2.0,5757253.0,120766.0,,1.667,Ivo Karlovic,90.0,7.0,2.0,93.0,28.0,82.0,57.0,50.0,25.0,12.0,,,,,,2.0,175.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
12,H2H 4-5,David Ferrer,2.0,0.0,5757254.0,780643.0,,1.465,David Ferrer,107.0,7.0,4.0,99.0,38.0,114.0,71.0,48.0,43.0,21.0,,,,,,2.0,213.0,,,1.47,2.95,R16,3-6 7-6(3) 6-4,Igor Andreev,5.0,5.0,5757254.0,780642.0,,2.95,Igor Andreev,106.0,11.0,4.0,114.0,45.0,99.0,67.0,48.0,32.0,13.0,,,,,,1.0,213.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
13,H2H 1-0,Jose Acasuso,7.0,5.0,5757255.0,118222.0,,1.69,Jose Acasuso,68.0,0.0,0.0,73.0,17.0,87.0,45.0,33.0,42.0,18.0,,,,,,2.0,160.0,,,1.69,2.35,R16,6-7(4) 6-3 6-0,Mardy Fish,14.0,1.0,5757255.0,118221.0,,2.35,Mardy Fish,92.0,9.0,5.0,87.0,36.0,73.0,36.0,30.0,37.0,26.0,,,,,,1.0,160.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
14,H2H 3-6,Tommy Robredo,0.0,1.0,5757256.0,400750.0,,1.714,Tommy Robredo,50.0,3.0,0.0,56.0,16.0,56.0,39.0,23.0,17.0,11.0,,,,,,2.0,112.0,,,1.71,2.30,R16,6-3 6-3,Stan Wawrinka,7.0,3.0,5757256.0,400749.0,,2.3,Stan Wawrinka,62.0,5.0,3.0,56.0,22.0,56.0,32.0,27.0,24.0,13.0,,,,,,1.0,112.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
15,H2H 1-0,Donald Young,6.0,5.0,5757233.0,120740.0,,5.35,Donald Young,80.0,11.0,5.0,85.0,36.0,85.0,43.0,30.0,42.0,14.0,,,,,,2.0,170.0,,,5.35,1.21,R32,6-2 4-6 7-5,Nikolay Davydenko,3.0,4.0,5757233.0,120739.0,,1.211,Nikolay Davydenko,90.0,11.0,7.0,85.0,41.0,85.0,56.0,35.0,29.0,14.0,,,,,,1.0,170.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
16,H2H 3-4,Juan Martin Del Potro,4.0,8.0,5757234.0,120741.0,,1.588,Juan Martin Del Potro,129.0,10.0,6.0,133.0,57.0,133.0,79.0,51.0,54.0,21.0,,,,,,1.0,266.0,,,1.59,2.60,R32,7-6(3) 6-7(5) 7-5,Gilles Simon,2.0,6.0,5757234.0,120742.0,,2.6,Gilles Simon,137.0,14.0,7.0,133.0,61.0,133.0,65.0,38.0,68.0,38.0,,,,,,2.0,266.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
17,H2H 2-3,Julien Benneteau,4.0,6.0,5757235.0,120744.0,,2.4,Julien Benneteau,95.0,6.0,2.0,101.0,34.0,102.0,61.0,45.0,41.0,16.0,,,,,,2.0,203.0,,,2.40,1.55,R32,6-7(5) 6-3 6-3,Nicolas Almagro,9.0,4.0,5757235.0,120743.0,,1.55,Nicolas Almagro,108.0,16.0,5.0,102.0,41.0,101.0,60.0,43.0,41.0,24.0,,,,,,1.0,203.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
18,H2H 2-1,Luis Horna,10.0,2.0,5757236.0,120745.0,,3.4,Luis Horna,60.0,6.0,2.0,72.0,22.0,60.0,36.0,26.0,24.0,12.0,,,,,,1.0,132.0,,,3.40,1.30,R32,6-3 7-6(3),Paul-Henri Mathieu,11.0,3.0,5757236.0,120746.0,,1.3,Paul-Henri Mathieu,72.0,5.0,3.0,60.0,22.0,72.0,45.0,38.0,27.0,12.0,,,,,,2.0,132.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
19,H2H 8-0,Arnaud Clement,3.0,3.0,5757237.0,120738.0,,3.6,Arnaud Clement,50.0,4.0,3.0,56.0,24.0,56.0,33.0,21.0,23.0,5.0,,,,,,2.0,112.0,,,3.60,1.25,R32,6-4 6-2,James Blake,6.0,2.0,5757237.0,120737.0,,1.25,James Blake,62.0,13.0,6.0,56.0,30.0,56.0,32.0,24.0,24.0,8.0,,,,,,1.0,112.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
20,H2H 1-3,Robby Ginepri,4.0,1.0,5757238.0,120747.0,,1.741,Robby Ginepri,88.0,4.0,2.0,84.0,26.0,98.0,59.0,43.0,39.0,19.0,,,,,,1.0,182.0,,,1.74,2.25,R32,6-4 3-6 7-5,Agustin Calleri,14.0,5.0,5757238.0,120748.0,,2.25,Agustin Calleri,94.0,6.0,3.0,98.0,36.0,84.0,50.0,41.0,34.0,17.0,,,,,,2.0,182.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
21,H2H 3-0,Vince Spadea,3.0,2.0,5757239.0,120750.0,,3.0,Vince Spadea,73.0,9.0,4.0,79.0,29.0,81.0,50.0,30.0,31.0,14.0,,,,,,2.0,160.0,,,3.00,1.35,R32,2-6 6-4 6-2,Fernando Verdasco,1.0,5.0,5757239.0,120749.0,,1.35,Fernando Verdasco,87.0,7.0,5.0,81.0,37.0,79.0,55.0,38.0,24.0,12.0,,,,,,1.0,160.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
22,H2H 7-4,Feliciano Lopez,9.0,1.0,5757240.0,120729.0,,2.9,Feliciano Lopez,101.0,7.0,2.0,101.0,38.0,102.0,68.0,46.0,34.0,17.0,,,,,,1.0,203.0,,,2.90,1.48,R32,3-6 6-2 7-6(6),Jarkko Nieminen,3.0,0.0,5757240.0,120730.0,,1.476,Jarkko Nieminen,102.0,11.0,3.0,102.0,39.0,101.0,79.0,51.0,22.0,12.0,,,,,,2.0,203.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
23,H2H 1-0,Potito Starace,10.0,1.0,5757241.0,120751.0,,3.2,Potito Starace,55.0,4.0,0.0,65.0,13.0,58.0,40.0,31.0,18.0,11.0,,,,,,1.0,123.0,,,3.20,1.42,R32,7-6(3) 6-3,Thomas Johansson,10.0,1.0,5757241.0,120752.0,,1.417,Thomas Johansson,68.0,1.0,1.0,58.0,16.0,65.0,48.0,43.0,17.0,9.0,,,,,,2.0,123.0,,,2007-08-20,https://matchstat.com/tennis/tournaments/m/New%20Haven/2007,New Haven
