,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Eliot Teltscher,F,6-4 7-5,Wojtek Fibak,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
1,H2H 3-0,Ferdi Taygan,SF,6-0 6-2,Eliot Teltscher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
2,H2H 4-0,Terry Moor,SF,6-2 6-2,Wojtek Fibak,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
3,H2H 1-2,Roscoe Tanner,QF,2-6 6-4 7-5,Ferdi Taygan,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
4,H2H 4-1,Brian Teacher,QF,6-2 6-2,Eliot Teltscher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
5,H2H 1-0,Bruce Manson,QF,1-6 6-3 6-4,Terry Moor,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
6,H2H 2-1,Vincent Van Patten,QF,6-3 7-5,Wojtek Fibak,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
7,H2H 3-1,Tom Leonard,R16,6-3 6-3,Roscoe Tanner,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
8,H2H 2-1,Sherwood Stewart,R16,6-4 1-6 6-3,Ferdi Taygan,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
9,H2H 1-0,Charlie Owens,R16,6-1 3-6 6-1,Eliot Teltscher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
10,H2H 1-0,William Maze,R16,3-6 6-2 7-6,Brian Teacher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
11,H2H 5-0,Tim Wilkison,R16,6-3 6-3,Terry Moor,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
12,H2H 2-1,Fritz Buehning,R16,7-5 4-6 6-3,Bruce Manson,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
13,H2H 1-0,Geoff Masters,R16,6-2 4-6 6-3,Vincent Van Patten,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
14,H2H 1-0,Robert Trogolo,R16,6-3 6-4,Wojtek Fibak,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
15,H2H 3-0,Erik Van Dillen,R32,6-2 7-5,Roscoe Tanner,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
16,H2H 1-0,Tim Siegel,R32,6-2 6-3,Tom Leonard,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
17,H2H 1-0,Fred McNair,R32,7-5 6-2,Sherwood Stewart,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
18,H2H 1-1,Chris Lewis,R32,7-6 7-6,Ferdi Taygan,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
19,H2H 1-0,Rick Fisher,R32,6-1 5-7 6-2,Eliot Teltscher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
20,H2H 1-0,Murray Robinson,R32,6-2 6-2,Charlie Owens,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
21,H2H 1-0,Trey Waltke,R32,6-3 6-4,William Maze,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
22,H2H 1-0,Andy Kohlberg,R32,6-3 5-7 6-3,Brian Teacher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
23,H2H 1-0,Rick Meyer,R32,6-4 6-3,Terry Moor,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
24,H2H 1-0,Gene Malin,R32,7-5 6-4,Tim Wilkison,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
25,H2H 1-0,Tim Garcia,R32,6-4 6-4,Bruce Manson,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
26,H2H 1-0,Christopher Lewis,R32,5-7 6-1 6-4,Fritz Buehning,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
27,H2H 1-0,Glenn Petrovic,R32,6-7 6-3 6-4,Vincent Van Patten,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
28,H2H 4-1,Ray Moore,R32,7-6 6-2,Geoff Masters,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
29,H2H 1-0,John Lloyd,R32,7-5 6-4,Robert Trogolo,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
30,H2H 1-0,Bruce Kleege,R32,6-3 6-4,Wojtek Fibak,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
31,,R Moore / R Trogolo,F,7-6 6-1,T Moor / E Teltscher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
32,,B Manson / G Masters,SF,6-4 6-3,T Moor / E Teltscher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
33,,F Buehning / F McNair,SF,6-3 1-6 6-3,R Moore / R Trogolo,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
34,,B Kleege / R Meyer,QF,7-6 7-6,B Manson / G Masters,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
35,,C Lewis / G Malin,QF,6-3 6-2,T Moor / E Teltscher,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
36,,T Leonard / W Maze,QF,7-6 7-5,F Buehning / F McNair,1980-03-31,https://matchstat.com/tennis/tournaments/m/New%20Orleans/1980,New Orleans
