,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Javier Frana,F,7-5 6-7 7-6,Greg Rusedski,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
1,H2H 1-0,Alex Antonitsch,SF,7-6 6-7 7-6,Greg Rusedski,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
2,H2H 2-1,Luis-Enrique Herrera,SF,6-3 6-1,Javier Frana,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
3,H2H 3-0,Shuzo Matsuoka,QF,6-7 6-4 6-4,Greg Rusedski,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
4,H2H 1-1,Grant Stafford,QF,6-4 4-6 6-1,Alex Antonitsch,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
5,H2H 2-0,Brian MacPhie,QF,6-7 6-4 6-3,Javier Frana,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
6,H2H 1-0,Arne Thoms,QF,7-6 6-7 6-0,Luis-Enrique Herrera,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
7,H2H 3-0,Maurice Ruah,R16,6-1 6-4,Shuzo Matsuoka,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
8,H2H 3-3,Laurence Tieleman,R16,7-6 3-6 6-3,Greg Rusedski,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
9,H2H 2-7,Patrick Rafter,R16,6-2 6-3,Grant Stafford,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
10,H2H 3-1,Patrick Baur,R16,6-3 6-2,Alex Antonitsch,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
11,H2H 2-2,Byron Black,R16,6-3 7-6,Brian MacPhie,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
12,H2H 1-0,Christo Van Rensburg,R16,6-4 6-1,Javier Frana,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
13,H2H 1-0,Sandon Stolle,R16,7-6 5-7 6-3,Arne Thoms,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
14,H2H 2-0,David Witt,R16,6-4 6-4,Luis-Enrique Herrera,1993-07-05,https://matchstat.com/tennis/tournaments/m/Newport/1993,Newport
