,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-1,Nicolas Mahut,2.0,10.0,5747129.0,119673.0,,1.5,Nicolas Mahut,54.0,2.0,1.0,55.0,16.0,63.0,38.0,27.0,25.0,11.0,,,,,,1.0,118.0,,,1.50,2.50,F,6-4 6-4,Fabrice Santoro,3.0,4.0,5747129.0,119674.0,,2.5,Fabrice Santoro,64.0,7.0,3.0,63.0,25.0,55.0,30.0,26.0,25.0,13.0,,,,,,2.0,118.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
1,H2H 3-1,Dick Norman,10.0,6.0,5747127.0,119669.0,,4.5,Dick Norman,71.0,1.0,0.0,77.0,14.0,87.0,65.0,48.0,22.0,9.0,,,,,,1.0,164.0,,,4.50,1.18,SF,6-4 6-7(2) 6-2,Nicolas Mahut,10.0,6.0,5747127.0,119670.0,,1.18,Nicolas Mahut,93.0,4.0,3.0,87.0,30.0,77.0,46.0,40.0,31.0,23.0,,,,,,2.0,164.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
2,H2H 3-0,Wesley Moodie,9.0,3.0,5747128.0,119672.0,,2.7,Wesley Moodie,60.0,4.0,1.0,68.0,20.0,65.0,41.0,27.0,24.0,13.0,,,,,,2.0,133.0,,,2.70,1.45,SF,7-6(2) 6-3,Fabrice Santoro,2.0,2.0,5747128.0,119671.0,,1.45,Fabrice Santoro,73.0,4.0,2.0,65.0,25.0,68.0,45.0,37.0,23.0,11.0,,,,,,1.0,133.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
3,H2H 2-0,Aisam Qureshi,11.0,5.0,5747123.0,119661.0,,1.45,Aisam Qureshi,88.0,4.0,1.0,85.0,26.0,92.0,51.0,43.0,41.0,19.0,,,,,,1.0,177.0,,,1.45,2.70,QF,6-4 3-6 6-4,Dick Norman,12.0,5.0,5747123.0,119662.0,,2.7,Dick Norman,89.0,9.0,2.0,92.0,30.0,85.0,53.0,39.0,32.0,20.0,,,,,,2.0,177.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
4,H2H 1-1,Prakash Amritraj,8.0,3.0,5747124.0,119663.0,,5.0,Prakash Amritraj,66.0,1.0,1.0,67.0,20.0,73.0,43.0,33.0,30.0,13.0,,,,,,1.0,140.0,,,5.00,1.15,QF,6-4 7-6(4),Nicolas Mahut,8.0,6.0,5747124.0,119664.0,,1.15,Nicolas Mahut,74.0,5.0,2.0,73.0,27.0,67.0,36.0,28.0,31.0,19.0,,,,,,2.0,140.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
5,H2H 1-0,Mischa Zverev,3.0,1.0,5747125.0,119665.0,,3.3,Mischa Zverev,52.0,5.0,2.0,59.0,20.0,61.0,34.0,19.0,27.0,13.0,,,,,,1.0,120.0,,,3.30,1.30,QF,6-4 6-3,Fabrice Santoro,0.0,1.0,5747125.0,119666.0,,1.3,Fabrice Santoro,68.0,7.0,4.0,61.0,29.0,59.0,34.0,23.0,25.0,16.0,,,,,,2.0,120.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
6,H2H 1-1,Vince Spadea,1.0,3.0,5747126.0,119668.0,,1.55,Vince Spadea,64.0,6.0,0.0,75.0,24.0,63.0,48.0,30.0,15.0,10.0,,,,,,2.0,138.0,,,1.55,2.40,QF,6-4 6-4,Wesley Moodie,10.0,5.0,5747126.0,119667.0,,2.4,Wesley Moodie,74.0,6.0,2.0,63.0,23.0,75.0,47.0,35.0,28.0,16.0,,,,,,1.0,138.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
7,H2H 1-0,Nathan Healey,9.0,13.0,5747115.0,119660.0,,3.7,Nathan Healey,107.0,10.0,2.0,109.0,34.0,113.0,64.0,52.0,49.0,21.0,,,,,,2.0,222.0,,,3.70,1.33,R16,7-6(2) 5-7 6-4,Aisam Qureshi,14.0,5.0,5747115.0,119659.0,,1.333,Aisam Qureshi,115.0,6.0,2.0,113.0,40.0,109.0,57.0,44.0,52.0,31.0,,,,,,1.0,222.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
8,H2H 1-2,Michael Berrer,9.0,9.0,5747116.0,119656.0,,1.35,Michael Berrer,102.0,3.0,0.0,100.0,26.0,108.0,64.0,53.0,44.0,23.0,,,,,,2.0,208.0,,,1.35,3.00,R16,6-2 6-7(4) 7-6(6),Dick Norman,6.0,7.0,5747116.0,119655.0,,3.0,Dick Norman,106.0,5.0,2.0,108.0,32.0,100.0,60.0,49.0,40.0,25.0,,,,,,1.0,208.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
9,H2H 3-0,Scoville Jenkins,6.0,4.0,5747117.0,119594.0,,1.7,Scoville Jenkins,56.0,4.0,1.0,53.0,18.0,67.0,37.0,23.0,30.0,15.0,,,,,,2.0,120.0,,,1.70,2.05,R16,6-4 6-3,Prakash Amritraj,3.0,0.0,5747117.0,119593.0,,2.05,Prakash Amritraj,64.0,7.0,4.0,67.0,29.0,53.0,26.0,19.0,27.0,16.0,,,,,,1.0,120.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
10,H2H 2-4,Antony Dupuis,4.0,0.0,5747118.0,119595.0,,3.4,Antony Dupuis,86.0,4.0,1.0,95.0,29.0,98.0,59.0,37.0,39.0,20.0,,,,,,1.0,193.0,,,3.40,1.30,R16,6-3 6-7(5) 6-1,Nicolas Mahut,6.0,10.0,5747118.0,119596.0,,1.3,Nicolas Mahut,107.0,10.0,4.0,98.0,41.0,95.0,55.0,45.0,40.0,21.0,,,,,,2.0,193.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
11,H2H 1-0,Danai Udomchoke,5.0,7.0,5747119.0,119598.0,,1.7,Danai Udomchoke,106.0,10.0,5.0,106.0,42.0,104.0,67.0,44.0,37.0,20.0,,,,,,2.0,210.0,,,1.70,2.05,R16,2-6 7-5 7-6(4),Mischa Zverev,6.0,4.0,5747119.0,119597.0,,2.05,Mischa Zverev,104.0,8.0,4.0,104.0,40.0,106.0,59.0,45.0,47.0,19.0,,,,,,1.0,210.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
12,H2H 2-1,Frank Dancevic,9.0,4.0,5747120.0,119599.0,,2.8,Frank Dancevic,102.0,14.0,1.0,114.0,41.0,98.0,56.0,43.0,42.0,18.0,,,,,,1.0,212.0,,,2.80,1.40,R16,6-7(6) 6-3 6-4,Fabrice Santoro,4.0,2.0,5747120.0,119600.0,,1.4,Fabrice Santoro,110.0,6.0,3.0,98.0,37.0,114.0,62.0,38.0,52.0,35.0,,,,,,2.0,212.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
13,H2H 2-0,Roko Karanusic,0.0,3.0,5747121.0,119657.0,,2.5,Roko Karanusic,77.0,4.0,2.0,75.0,21.0,95.0,44.0,31.0,51.0,25.0,,,,,,1.0,170.0,,,2.50,1.50,R16,6-4 4-6 6-2,Wesley Moodie,8.0,3.0,5747121.0,119658.0,,1.5,Wesley Moodie,93.0,7.0,4.0,95.0,39.0,75.0,50.0,38.0,25.0,16.0,,,,,,2.0,170.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
14,H2H 3-0,Paul Capdeville,1.0,4.0,5747122.0,119653.0,,2.8,Paul Capdeville,56.0,6.0,3.0,66.0,25.0,60.0,34.0,22.0,26.0,9.0,,,,,,1.0,126.0,,,2.80,1.40,R16,6-3 7-5,Vince Spadea,3.0,1.0,5747122.0,119654.0,,1.4,Vince Spadea,70.0,7.0,5.0,60.0,29.0,66.0,42.0,29.0,24.0,12.0,,,,,,2.0,126.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
15,H2H 1-0,Mardy Fish,4.0,5.0,5747099.0,119557.0,,1.524,Mardy Fish,51.0,1.0,1.0,64.0,22.0,49.0,25.0,22.0,24.0,7.0,,,,,,1.0,113.0,,,1.52,2.78,R32,6-3 6-4,Aisam Qureshi,9.0,4.0,5747099.0,119558.0,,2.78,Aisam Qureshi,62.0,7.0,3.0,49.0,20.0,64.0,35.0,27.0,29.0,15.0,,,,,,2.0,113.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
16,H2H 1-2,Jesse Levine,0.0,4.0,5747100.0,780603.0,,1.769,Jesse Levine,33.0,4.0,0.0,45.0,12.0,51.0,28.0,14.0,23.0,7.0,,,,,,2.0,96.0,,,1.77,2.20,R32,6-1 6-0,Nathan Healey,5.0,1.0,5747100.0,780602.0,,2.2,Nathan Healey,63.0,11.0,5.0,51.0,30.0,45.0,22.0,18.0,23.0,15.0,,,,,,1.0,96.0,,,2007-07-09,https://matchstat.com/tennis/tournaments/m/Newport/2007,Newport
