,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 8-2,Orantes,F,6-2 6-0 6-1,Bjorn Borg,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
1,H2H 2-0,Fernando Luna,SF,7-5 6-1,Bjorn Borg,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
2,H2H 5-0,Corrado Barazzutti,SF,7-5 4-6 6-3,Orantes,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
3,H2H 5-0,Peter McNamara,QF,6-2 6-1,Bjorn Borg,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
4,H2H 1-0,Peter Elter,QF,6-0 6-1,Fernando Luna,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
5,H2H 2-0,J. Velasco,QF,6-1 0-6 6-3,Corrado Barazzutti,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
6,H2H 2-1,Gilles Moretton,QF,6-1 6-2,Orantes,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
7,H2H 2-0,Z. Franulovic,R16,6-2 6-2,Bjorn Borg,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
8,H2H 2-1,Hans Kary,R16,6-2 4-6 6-4,Peter McNamara,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
9,H2H 1-3,Yannick Noah,R16,6-3 6-3,Fernando Luna,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
10,H2H 1-0,Alejandro Pierola,R16,6-2 6-4,Peter Elter,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
11,H2H 1-0,Christophe Casa,R16,6-0 3-6 7-5,J. Velasco,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
12,H2H 2-1,Rolf Gehring,R16,6-4 6-1,Corrado Barazzutti,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
13,H2H 2-0,Shlomo Glickstein,R16,6-2 6-1,Gilles Moretton,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
14,H2H 1-0,Bernard Fritz,R16,2-6 6-4 9-7,Orantes,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
15,H2H 1-0,Jean-Louis Haillet,R32,6-0 6-1,Bjorn Borg,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
16,H2H 1-0,Roland Stadler,R32,6-4 6-4,Z. Franulovic,1980-03-24,https://matchstat.com/tennis/tournaments/m/Nice/1980,Nice
