,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-1,Leonardo Mayer,4.0,2.0,7707267.0,2514688.0,,1.847,Leonardo Mayer,123.0,6.0,0.0,121.0,32.0,128.0,98.0,67.0,30.0,24.0,18.0,,,,,1.0,251.0,,,1.85,2.09,F,6-7(8) 7-5 7-6(2),Dominic Thiem,7.0,4.0,7707267.0,2514689.0,,2.09,Dominic Thiem,128.0,10.0,1.0,130.0,39.0,117.0,79.0,65.0,38.0,24.0,18.0,,,,,2.0,251.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
1,H2H 2-0,Borna Coric,0.0,1.0,7707265.0,2514684.0,,2.52,Borna Coric,57.0,11.0,0.0,76.0,25.0,45.0,32.0,25.0,13.0,7.0,9.0,,,,,1.0,122.0,,,2.52,1.61,SF,6-4 6-3,Leonardo Mayer,9.0,3.0,7707265.0,2514685.0,,1.606,Leonardo Mayer,65.0,2.0,2.0,46.0,14.0,73.0,46.0,33.0,27.0,18.0,10.0,,,,,2.0,122.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
2,H2H 1-1,John Isner,11.0,1.0,7707266.0,2514687.0,,1.625,John Isner,63.0,2.0,1.0,64.0,16.0,74.0,55.0,42.0,19.0,5.0,10.0,,,,,2.0,139.0,,,1.63,2.47,SF,7-6(5) 6-3,Dominic Thiem,11.0,2.0,7707266.0,2514686.0,,2.47,Dominic Thiem,76.0,11.0,2.0,75.0,28.0,62.0,38.0,32.0,24.0,16.0,11.0,,,,,1.0,139.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
3,H2H 1-0,James Duckworth,2.0,3.0,7707261.0,2514676.0,,3.15,James Duckworth,63.0,9.0,3.0,64.0,24.0,77.0,42.0,24.0,35.0,15.0,11.0,,,,,1.0,144.0,,,3.15,1.42,QF,6-3 7-6(3),Borna Coric,5.0,1.0,7707261.0,2514677.0,,1.424,Borna Coric,81.0,13.0,5.0,80.0,41.0,63.0,43.0,31.0,20.0,9.0,10.0,,,,,2.0,144.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
4,H2H 1-2,Juan Monaco,0.0,1.0,7707262.0,2514679.0,,1.606,Juan Monaco,61.0,6.0,0.0,78.0,28.0,54.0,44.0,24.0,10.0,9.0,9.0,,,,,2.0,133.0,,,1.61,2.52,QF,6-3 6-4,Leonardo Mayer,2.0,2.0,7707262.0,2514678.0,,2.52,Leonardo Mayer,72.0,7.0,2.0,55.0,22.0,76.0,47.0,37.0,29.0,13.0,10.0,,,,,1.0,133.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
5,H2H 3-2,Ernests Gulbis,3.0,6.0,7707263.0,2514681.0,,2.22,Ernests Gulbis,59.0,3.0,1.0,63.0,23.0,63.0,35.0,21.0,28.0,15.0,9.0,,,,,2.0,132.0,,,2.22,1.76,QF,6-2 6-4,Dominic Thiem,2.0,0.0,7707263.0,2514680.0,,1.758,Dominic Thiem,73.0,11.0,4.0,69.0,33.0,63.0,28.0,21.0,35.0,19.0,9.0,,,,,1.0,132.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
6,H2H 1-1,Dusan Lajovic,6.0,1.0,7707264.0,2514682.0,,3.6,Dusan Lajovic,65.0,2.0,0.0,67.0,18.0,66.0,41.0,34.0,25.0,13.0,11.0,,,,,1.0,134.0,,,3.60,1.35,QF,7-6(3) 6-4,John Isner,8.0,0.0,7707264.0,2514683.0,,1.348,John Isner,69.0,3.0,1.0,67.0,20.0,67.0,46.0,35.0,21.0,14.0,11.0,,,,,2.0,134.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
7,H2H 2-0,Quentin Halys,11.0,2.0,7707253.0,2514660.0,,3.02,Quentin Halys,75.0,6.0,0.0,79.0,21.0,74.0,48.0,37.0,26.0,17.0,12.0,,,,,1.0,155.0,,,3.02,1.45,R16,7-6(0) 7-6(5),James Duckworth,7.0,2.0,7707253.0,2514661.0,,1.45,James Duckworth,80.0,3.0,0.0,76.0,22.0,77.0,44.0,35.0,33.0,23.0,12.0,,,,,2.0,155.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
8,H2H 1-0,Gianni Mina,4.0,2.0,7707254.0,2514663.0,,5.4,Gianni Mina,56.0,3.0,0.0,66.0,15.0,58.0,31.0,27.0,27.0,14.0,10.0,,,,,2.0,126.0,,,5.40,1.20,R16,7-6(4) 6-3,Borna Coric,3.0,1.0,7707254.0,2514662.0,,1.2,Borna Coric,70.0,4.0,1.0,60.0,19.0,65.0,43.0,35.0,22.0,16.0,11.0,,,,,1.0,126.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
9,H2H 1-0,Lucas Pouille,3.0,6.0,7707255.0,2514665.0,,3.14,Lucas Pouille,47.0,2.0,0.0,50.0,15.0,54.0,26.0,18.0,28.0,14.0,8.0,,,,,2.0,110.0,,,3.14,1.42,R16,6-4 6-0,Leonardo Mayer,4.0,1.0,7707255.0,2514664.0,,1.417,Leonardo Mayer,63.0,14.0,4.0,60.0,28.0,49.0,30.0,22.0,19.0,13.0,8.0,,,,,1.0,110.0,,,2015-05-18,https://matchstat.com/tennis/tournaments/m/Nice/2015,Nice
