,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-0,Tim Wilkison,F,6-2 7-5,Joakim Nystrom,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
1,H2H 2-0,Juan Aguilera,SF,2-6 6-1 6-4,Joakim Nystrom,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
2,H2H 1-1,Victor Pecci,SF,7-5 6-4,Tim Wilkison,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
3,H2H 2-1,Andres Gomez,QF,6-2 5-7 6-3,Juan Aguilera,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
4,H2H 2-2,Francesco Cancellotti,QF,5-7 6-4 7-6,Joakim Nystrom,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
5,H2H 3-0,Jay Lapidus,QF,6-0 6-2,Tim Wilkison,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
6,H2H 1-0,Blaine Willenborg,QF,5-7 6-4 7-5,Victor Pecci,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
7,H2H 3-0,Libor Pimek,R16,6-2 7-5,Andres Gomez,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
8,H2H 1-0,Lawson Duncan,R16,7-5 6-2,Juan Aguilera,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
9,H2H 1-0,Alejandro Ganzabal,R16,6-3 6-4,Francesco Cancellotti,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
10,H2H 2-1,Jose Higueras,R16,7-5 6-3,Joakim Nystrom,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
11,H2H 2-0,Roberto Arguello,R16,7-5 6-0,Tim Wilkison,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
12,H2H 1-1,Marcos Hocevar,R16,6-4 7-6,Jay Lapidus,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
13,H2H 2-0,Heinz Gunthardt,R16,7-6 6-0,Blaine Willenborg,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
14,H2H 3-0,Shlomo Glickstein,R16,6-2 6-1,Victor Pecci,1984-07-30,https://matchstat.com/tennis/tournaments/m/North%20Conway/1984,North Conway
