,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-3,T. Roche,F,6-1 3-6 6-3,Tom Okker,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
1,H2H 1-1,Roscoe Tanner,SF,6-4 3-6 6-3,T. Roche,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
2,H2H 3-1,P. Dent,SF,6-1 6-4,Tom Okker,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
3,H2H 4-14,Jimmy Connors,QF,7-5 6-3,Roscoe Tanner,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
4,H2H 1-1,A. Ashe,QF,6-3 6-4,T. Roche,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
5,H2H 1-0,Bob Carmichael,QF,6-4 3-6 6-3,Tom Okker,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
6,H2H 2-7,G. Vilas,QF,4-6 6-2 7-5,P. Dent,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
7,H2H 15-2,Brian Gottfried,R16,8-9 6-3 6-2,Jimmy Connors,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
8,H2H 3-3,Tom Gorman,R16,9-8 6-3,Roscoe Tanner,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
9,H2H 4-1,Cliff Richey,R16,6-2 7-5,A. Ashe,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
10,H2H 5-0,J. Alexander,R16,6-4 6-2,T. Roche,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
11,H2H 1-2,Jeff Borowiak,R16,4-6 6-3 6-2,Tom Okker,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
12,H2H 1-0,Alex Metreveli,R16,6-3 8-6,Bob Carmichael,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
13,H2H 1-0,Mark Farrell,R16,6-4 6-2,P. Dent,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
14,H2H 2-0,John Feaver,R16,6-2 6-4,G. Vilas,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
15,H2H 2-0,Hans Kary,R32,6-1 6-4,Jimmy Connors,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
16,H2H 1-0,Patricio Cornejo Seckel,R32,6-3 7-5,Brian Gottfried,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
17,H2H 3-0,Wojtek Fibak,R32,7-5 1-6 8-6,Tom Gorman,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
18,H2H 1-0,Milan Holecek,R32,6-3 6-4,Roscoe Tanner,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
19,H2H 3-0,Sherwood Stewart,R32,9-8 9-7,A. Ashe,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
20,H2H 2-2,J. Kodes,R32,6-2 4-6 6-4,Cliff Richey,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
21,H2H 4-1,Ray Moore,R32,9-8 6-4,J. Alexander,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
22,H2H 2-0,Crealy,R32,6-2 9-8,T. Roche,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
23,H2H 1-0,Jun Kuki,R32,6-2 6-3,Jeff Borowiak,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
24,H2H 3-0,Erik Van Dillen,R32,6-3 8-6,Tom Okker,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
25,H2H 1-0,Joaquin Loyo-Mayo,R32,4-6 6-3 6-2,Alex Metreveli,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
26,H2H 1-0,Vijay Amritraj,R32,7-5 1-6 6-1,Bob Carmichael,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
27,H2H 1-0,Ismail El Shafei,R32,3-6 6-3 12-10,P. Dent,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
28,H2H 1-0,S. Smith,R32,9-8 9-8,Mark Farrell,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
29,H2H 2-0,David Lloyd,R32,4-6 9-7 6-1,John Feaver,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
30,H2H 2-0,Julian Ganzabal,R32,7-5 3-6 6-3,G. Vilas,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
31,H2H 1-0,Robert Kreiss,R64,7-9 6-3 6-2,Jimmy Connors,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
32,H2H 1-0,Mike Machette,R64,6-4 2-6 6-2,Hans Kary,1975-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/1975,Nottingham
