,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-3,Fernando Verdasco,4.0,6.0,5809295.0,126256.0,,2.65,Fernando Verdasco,106.0,2.0,1.0,112.0,27.0,104.0,82.0,70.0,22.0,9.0,,,,,,2.0,216.0,,,2.65,1.57,F,7-5 6-7(4) 7-6(8),Ivo Karlovic,29.0,2.0,5809295.0,126255.0,,1.571,Ivo Karlovic,110.0,4.0,2.0,104.0,25.0,112.0,74.0,63.0,38.0,22.0,,,,,,1.0,216.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
1,H2H 2-3,Gael Monfils,0.0,4.0,5809293.0,126251.0,,3.1,Gael Monfils,72.0,3.0,2.0,71.0,16.0,94.0,64.0,40.0,30.0,16.0,,,,,,1.0,165.0,,,3.10,1.44,SF,7-6(4) 7-6(4),Ivo Karlovic,11.0,3.0,5809293.0,126252.0,,1.435,Ivo Karlovic,93.0,6.0,2.0,94.0,38.0,71.0,47.0,39.0,24.0,16.0,,,,,,2.0,165.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
2,H2H 5-5,Marin Cilic,1.0,2.0,5809294.0,126254.0,,2.2,Marin Cilic,39.0,2.0,0.0,42.0,9.0,60.0,31.0,16.0,29.0,14.0,,,,,,2.0,102.0,,,2.20,1.77,SF,6-3 6-1,Fernando Verdasco,3.0,0.0,5809294.0,126253.0,,1.769,Fernando Verdasco,63.0,8.0,4.0,60.0,30.0,42.0,33.0,26.0,9.0,7.0,,,,,,1.0,102.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
3,H2H 1-0,Vince Spadea,2.0,1.0,5809289.0,126241.0,,5.0,Vince Spadea,61.0,3.0,1.0,67.0,19.0,71.0,45.0,26.0,26.0,16.0,,,,,,1.0,138.0,,,5.00,1.15,QF,7-6(4) 6-2,Gael Monfils,7.0,1.0,5809289.0,126242.0,,1.15,Gael Monfils,77.0,5.0,3.0,71.0,29.0,67.0,45.0,37.0,22.0,11.0,,,,,,2.0,138.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
4,H2H 2-1,Andreas Seppi,6.0,3.0,5809290.0,126244.0,,5.5,Andreas Seppi,81.0,3.0,1.0,83.0,25.0,88.0,48.0,33.0,40.0,23.0,,,,,,2.0,171.0,,,5.50,1.12,QF,6-3 3-6 6-4,Ivo Karlovic,19.0,4.0,5809290.0,126243.0,,1.12,Ivo Karlovic,90.0,3.0,2.0,88.0,32.0,83.0,58.0,49.0,25.0,9.0,,,,,,1.0,171.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
5,H2H 3-2,Gilles Simon,3.0,4.0,5809291.0,126245.0,,3.0,Gilles Simon,77.0,8.0,3.0,82.0,34.0,73.0,41.0,24.0,32.0,19.0,,,,,,1.0,155.0,,,3.00,1.35,QF,6-3 2-6 6-3,Fernando Verdasco,4.0,5.0,5809291.0,126246.0,,1.35,Fernando Verdasco,78.0,5.0,4.0,73.0,30.0,82.0,56.0,35.0,26.0,13.0,,,,,,2.0,155.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
6,H2H 1-0,Thomas Johansson,1.0,1.0,5809292.0,126247.0,,2.4,Thomas Johansson,36.0,1.0,0.0,48.0,14.0,46.0,24.0,13.0,22.0,9.0,,,,,,1.0,94.0,,,2.40,1.55,QF,6-1 6-2,Marin Cilic,4.0,0.0,5809292.0,126248.0,,1.55,Marin Cilic,58.0,7.0,4.0,46.0,24.0,48.0,22.0,21.0,26.0,13.0,,,,,,2.0,94.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
7,H2H 2-4,Radek Stepanek,,,5809281.0,263091.0,,1.2,Radek Stepanek,,,,,,,,,,,,,,,,1.0,,,,1.20,5.50,R16,WO,Vince Spadea,,,5809281.0,263092.0,,5.5,Vince Spadea,,,,,,,,,,,,,,,,2.0,,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
8,H2H 4-2,Julien Benneteau,2.0,2.0,5809282.0,126223.0,,2.45,Julien Benneteau,78.0,5.0,2.0,75.0,25.0,86.0,55.0,38.0,31.0,15.0,,,,,,1.0,161.0,,,2.45,1.65,R16,3-6 6-4 6-2,Gael Monfils,8.0,1.0,5809282.0,126224.0,,1.645,Gael Monfils,83.0,10.0,4.0,86.0,33.0,75.0,53.0,41.0,22.0,9.0,,,,,,2.0,161.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
9,H2H 3-5,Sam Querrey,9.0,2.0,5809283.0,126226.0,,3.3,Sam Querrey,86.0,0.0,0.0,82.0,17.0,100.0,70.0,54.0,30.0,15.0,,,,,,2.0,182.0,,,3.30,1.30,R16,7-6(3) 7-6(14),Ivo Karlovic,27.0,2.0,5809283.0,126225.0,,1.3,Ivo Karlovic,96.0,2.0,0.0,100.0,31.0,82.0,54.0,48.0,28.0,17.0,,,,,,1.0,182.0,,,2008-06-16,https://matchstat.com/tennis/tournaments/m/Nottingham/2008,Nottingham
