,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,B. Lutz,F,3-6 6-1 6-2,Vitas Gerulaitis,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
1,H2H 2-2,G. Vilas,SF,4-6 7-5 7-6,B. Lutz,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
2,H2H 7-0,I. Nastase,SF,1-6 6-2 6-4,Vitas Gerulaitis,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
3,H2H 6-0,Ion Tiriac,QF,2-6 6-1 6-4,G. Vilas,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
4,H2H 2-0,Cliff Richey,QF,6-7 7-5 7-6,B. Lutz,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
5,H2H 3-1,J. Kodes,QF,6-2 6-3,Vitas Gerulaitis,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
6,H2H 5-0,Ray Moore,QF,7-5 6-7 6-3,I. Nastase,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
7,H2H 2-1,Alex Metreveli,R16,7-6 6-3,G. Vilas,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
8,H2H 0-1,Victor Pecci,R16,WO,Ion Tiriac,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
9,H2H 1-1,Bill Scanlon,R16,7-6 7-6,Cliff Richey,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
10,H2H 1-0,Butch Walts,R16,6-4 6-2,B. Lutz,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
11,H2H 1-1,C. Pasarell,R16,6-4 4-6 6-3,Vitas Gerulaitis,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
12,H2H 1-0,Tim Wilkison,R16,7-5 6-2,J. Kodes,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
13,H2H 2-0,Patrice Dominguez,R16,3-6 6-3 7-6,Ray Moore,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
14,H2H 3-3,John McEnroe,R16,7-5 6-4,I. Nastase,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
15,,J McEnroe / C Richey,F,7-6 6-3,A Metreveli / B Scanlon,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
16,,R Moore / C Pasarell,SF,6-2 7-6,J McEnroe / C Richey,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
17,,I Tiriac / G Vilas,SF,WO,A Metreveli / B Scanlon,1977-02-14,https://matchstat.com/tennis/tournaments/m/Ocean%20City/1977,Ocean City
