,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Fernando Meligeni,F,3-6 6-2 6-4,Leander Paes,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
1,H2H 2-0,Fernando Meligeni,F,3-6 6-2 6-4,Leander Paes,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
2,H2H 7-2,Sergio Bruguera,F,6-2 6-3 6-1,Andre Agassi,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
3,H2H 2-0,Leander Paes,SF,7-6(5) 6-3,Andre Agassi,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
4,H2H 2-1,Fernando Meligeni,SF,7-6(9) 6-2,Sergio Bruguera,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
5,H2H 11-0,Wayne Ferreira,QF,7-5 4-6 7-5,Andre Agassi,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
6,H2H 1-0,Renzo Furlan,QF,6-1 7-5,Leander Paes,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
7,H2H 1-1,MaliVai Washington,QF,7-6(8) 4-6 7-5,Sergio Bruguera,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
8,H2H 1-0,Andrei Olhovskiy,QF,6-7(5) 7-5 6-3,Fernando Meligeni,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
9,H2H 5-0,Andrea Gaudenzi,R16,2-6 6-4 6-2,Andre Agassi,1996-07-22,https://matchstat.com/tennis/tournaments/m/Olympic%20Tennis/1996,Olympic Tennis
