,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Arnaud Boetsch,F,4-6 6-3 6-3,MaliVai Washington,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
1,H2H 3-0,Martin Damm,SF,6-3 2-6 7-5,MaliVai Washington,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
2,H2H 4-0,Diego Nargiso,SF,6-7 6-4 6-2,Arnaud Boetsch,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
3,H2H 2-1,Jeremy Bates,QF,6-2 6-3,Martin Damm,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
4,H2H 4-0,Kenneth Carlsen,QF,7-6 7-6,MaliVai Washington,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
5,H2H 3-0,Jonas B. Svensson,QF,2-6 6-2 6-3,Arnaud Boetsch,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
6,H2H 1-2,Jan Siemerink,QF,6-0 7-6,Diego Nargiso,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
7,H2H 1-2,Alexander Volkov,R16,7-5 7-6,Jeremy Bates,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
8,H2H 1-1,Rodolphe Gilbert,R16,6-4 6-4,Martin Damm,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
9,H2H 2-0,Johan Van Herck,R16,6-4 6-3,Kenneth Carlsen,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
10,H2H 2-0,Hendrik Dreekmann,R16,7-6 6-3,MaliVai Washington,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
11,H2H 2-1,Alexandru Radulescu,R16,7-6 6-2,Arnaud Boetsch,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
12,H2H 2-0,Joern Renzenbrink,R16,6-3 6-1,Jonas B. Svensson,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
13,H2H 4-1,Marc-Kevin Goellner,R16,7-5 6-2,Jan Siemerink,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
14,H2H 3-1,Lionel Roux,R16,6-3 6-4,Diego Nargiso,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
15,H2H 3-0,Alberto Berasategui,R32,7-6 6-4,Alexander Volkov,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
16,H2H 1-1,Nicolas Kiefer,R32,6-1 6-3,Jeremy Bates,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
17,H2H 3-3,Guillaume Raoux,R32,6-3 6-4,Rodolphe Gilbert,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
18,H2H 2-0,Slava Dosedel,R32,7-6 6-4,Martin Damm,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
19,H2H 1-2,Cedric Pioline,R32,6-7 7-5 6-4,Johan Van Herck,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
20,H2H 2-0,Markus Zoecke,R32,6-2 6-4,Kenneth Carlsen,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
21,H2H 1-1,David Rikl,R32,6-1 6-1,Hendrik Dreekmann,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
22,H2H 1-0,Horst Skoff,R32,6-4 Retired,MaliVai Washington,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
23,H2H 1-0,Radovan Chrz,R32,6-1 6-4,Arnaud Boetsch,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
24,H2H 1-0,Otakar Jurecka,R32,6-2 6-1,Alexandru Radulescu,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
25,H2H 2-0,Stephane Simian,R32,6-3 6-4,Joern Renzenbrink,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
26,H2H 1-0,Carlos Costa,R32,7-5 6-2,Jonas B. Svensson,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
27,H2H 4-1,Karel Novacek,R32,6-1 6-4,Marc-Kevin Goellner,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
28,H2H 1-0,Jozsef Krocsko,R32,6-1 6-2,Jan Siemerink,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
29,H2H 2-3,Olivier Delaitre,R32,6-3 5-7 6-1,Diego Nargiso,1994-10-10,https://matchstat.com/tennis/tournaments/m/Ostrava/1994,Ostrava
