,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-3,Raul Ramirez,F,6-4 6-1,Eddie Dibbs,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
1,H2H 1-0,Peter Fleming,SF,3-6 7-6 6-3,Eddie Dibbs,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
2,H2H 5-2,J. Kodes,SF,6-4 6-2,Raul Ramirez,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
3,H2H 3-1,Sherwood Stewart,QF,3-6 7-6 6-2,Peter Fleming,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
4,H2H 1-0,Jiri Granat,QF,6-4 6-4,Eddie Dibbs,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
5,H2H 1-1,M. Cox,QF,6-4 7-6,J. Kodes,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
6,H2H 1-0,Fred McNair,QF,7-6 6-2,Raul Ramirez,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
7,H2H 1-1,Bjorn Borg,R16,6-1 7-6,Sherwood Stewart,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
8,H2H 1-0,Z. Franulovic,R16,6-3 6-4,Peter Fleming,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
9,H2H 2-0,Kjell Johansson,R16,6-4 6-4,Eddie Dibbs,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
10,H2H 1-0,S. Smith,R16,6-4 7-5,Jiri Granat,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
11,H2H 1-3,Christophe Roger-Vasselin,R16,6-2 6-2,J. Kodes,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
12,H2H 2-0,Jean-Louis Haillet,R16,6-3 6-3,M. Cox,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
13,H2H 1-0,Anand Amritraj,R16,4-6 6-1 11-9,Fred McNair,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
14,H2H 2-0,Bengtson,R16,6-4 6-2,Raul Ramirez,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
15,H2H 2-0,Howard Schoenfield,R32,6-0 6-2,Bjorn Borg,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
16,H2H 1-0,Pavel Hutka,R32,6-1 6-0,Sherwood Stewart,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
17,H2H 1-0,Rolf Norberg,R32,7-5 6-4,Peter Fleming,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
18,H2H 2-1,F. Pala,R32,2-6 6-2 6-1,Z. Franulovic,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
19,H2H 1-0,Francisco Gonzalez,R32,6-3 7-6,Eddie Dibbs,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
20,H2H 1-0,Juan-Ignacio Muntanola-Vilamela,R32,6-1 6-2,Kjell Johansson,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
21,H2H 1-0,Steven Turner,R32,6-2 6-3,Jiri Granat,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
22,H2H 1-0,Rick Fisher,R32,6-1 6-4,S. Smith,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
23,H2H 1-0,Jonathan Smith,R32,2-6 6-4 6-0,J. Kodes,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
24,H2H 1-0,R. Taylor,R32,6-3 6-4,Christophe Roger-Vasselin,1977-11-21,https://matchstat.com/tennis/tournaments/m/Oviedo/1977,Oviedo
