,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-5,Franco Squillari,F,6-3 6-2,Mariano Puerta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
1,H2H 1-2,Alex Corretja,SF,7-5 6-2,Mariano Puerta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
2,H2H 4-6,Galo Blanco,SF,6-1 2-6 7-6,Franco Squillari,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
3,H2H 4-2,Nicolas Lapentti,QF,7-5 6-2,Alex Corretja,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
4,H2H 5-1,Fernando Vicente,QF,6-4 6-4,Mariano Puerta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
5,H2H 5-2,Mariano Zabaleta,QF,5-7 6-4 6-3,Franco Squillari,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
6,H2H 3-3,Arnaud Di Pasquale,QF,7-6 6-2,Galo Blanco,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
7,H2H 3-1,Albert Portas,R16,6-1 6-2,Alex Corretja,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
8,H2H 1-0,Massimo Valeri,R16,7-6 4-1 Retired,Nicolas Lapentti,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
9,H2H 2-5,Gustavo Kuerten,R16,6-4 6-3,Fernando Vicente,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
10,H2H 2-0,Francisco Clavet,R16,6-4 4-6 6-3,Mariano Puerta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
11,H2H 2-4,Dominik Hrbaty,R16,6-4 2-6 6-4,Franco Squillari,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
12,H2H 1-0,Marzio Martelli,R16,6-4 6-2,Mariano Zabaleta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
13,H2H 1-0,Jean-Baptiste Perlant,R16,6-3 6-4,Galo Blanco,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
14,H2H 1-0,Javier Sanchez,R16,6-0 7-6,Arnaud Di Pasquale,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
15,H2H 2-5,Sergio Bruguera,R32,6-0 2-6 6-0,Alex Corretja,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
16,H2H 2-3,Adrian Voinea,R32,6-3 7-5,Albert Portas,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
17,H2H 3-1,Jiri Novak,R32,6-3 7-5,Nicolas Lapentti,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
18,H2H 1-1,Carlos Costa,R32,7-6 6-4,Massimo Valeri,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
19,H2H 7-1,Guillermo Canas,R32,6-3 4-6 6-2,Gustavo Kuerten,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
20,H2H 2-1,Dinu-Mihai Pescariu,R32,7-6 6-4,Fernando Vicente,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
21,H2H 5-3,Juan-Antonio Marin,R32,7-6 6-1,Mariano Puerta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
22,H2H 1-0,Andrei Medvedev,R32,6-2 6-2,Francisco Clavet,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
23,H2H 1-0,Oliver Gross,R32,6-3 6-4,Dominik Hrbaty,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
24,H2H 1-0,Federico Luzzi,R32,6-2 6-3,Franco Squillari,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
25,H2H 1-0,Oscar Serrano-Gamez,R32,6-2 4-6 7-6,Mariano Zabaleta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
26,H2H 1-0,Felix Mantilla,R32,7-6 6-3,Marzio Martelli,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
27,H2H 2-1,Davide Sanguinetti,R32,6-3 6-2,Galo Blanco,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
28,H2H 1-1,Alex Calatrava,R32,6-2 6-2,Jean-Baptiste Perlant,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
29,H2H 1-0,Lucas Arnold Ker,R32,6-3 3-1 Retired,Arnaud Di Pasquale,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
30,H2H 3-4,Alberto Berasategui,R32,6-4 6-1,Javier Sanchez,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
31,,P Albano / D Orsanic,F,6-4 7-6,D Johnson / F Montana,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
32,,L Lobo / M Puerta,SF,7-5 6-3,D Johnson / F Montana,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
33,,J Novak / D Rikl,SF,WO,P Albano / D Orsanic,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
34,,N Djordjevic / T Zdrazila,QF,6-4 6-4,D Johnson / F Montana,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
35,,L Arnold Ker / A Kratzmann,QF,7-5 6-3,L Lobo / M Puerta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
36,,D Pescariu / D Sanguinetti,QF,6-4 6-7 6-3,P Albano / D Orsanic,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
37,,T Vanhoudt / F Wibier,QF,6-0 6-1,J Novak / D Rikl,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
38,,L Pimek / P Rosner,R16,5-7 6-4 7-5,D Johnson / F Montana,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
39,,B Coupe / J Waite,R16,2-6 6-4 7-6,N Djordjevic / T Zdrazila,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
40,,M Barnard / A Olhovskiy,R16,6-3 6-4,L Arnold Ker / A Kratzmann,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
41,,F Aldi / F Luzzi,R16,6-3 6-2,L Lobo / M Puerta,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
42,,P Kilderry / G Koves,R16,3-6 7-6 6-1,D Pescariu / D Sanguinetti,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
43,,G Lapentti / N Lapentti,R16,6-3 6-4,P Albano / D Orsanic,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
44,,C Brandi / F Messori,R16,0-6 6-3 6-2,T Vanhoudt / F Wibier,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
45,,D Bowen / E Taino,R16,6-1 5-7 6-4,J Novak / D Rikl,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
46,H2H 1-0,Dusan Vemic,FQ,6-4 6-3,Arnaud Di Pasquale,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
47,H2H 4-5,Juan-Albert Viloca-Puig,FQ,6-3 6-3,Oscar Serrano-Gamez,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
48,H2H 1-0,Markus Hipfl,FQ,3-6 6-1 6-2,Massimo Valeri,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
49,H2H 1-1,Filippo Messori,FQ,7-6 6-2,Jean-Baptiste Perlant,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
50,H2H 2-0,Ivan Ljubicic,SFQ,7-6 4-6 6-4,Arnaud Di Pasquale,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
51,H2H 2-1,Salvador Navarro-Gutierrez,SFQ,6-7 7-5 6-2,Dusan Vemic,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
52,H2H 1-0,Eduardo Nicolas-Espin,SFQ,6-3 6-2,Juan-Albert Viloca-Puig,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
53,H2H 7-6,German Puentes-Alcaniz,SFQ,6-1 7-5,Oscar Serrano-Gamez,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
54,H2H 1-0,Jordi Burillo,SFQ,6-3 6-4,Markus Hipfl,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
55,H2H 1-0,Olivier Malcor,SFQ,6-3 6-4,Massimo Valeri,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
56,H2H 1-0,Charles Auffray,SFQ,6-2 6-2,Filippo Messori,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
57,H2H 1-0,Elia Grossi,SFQ,6-2 6-2,Jean-Baptiste Perlant,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
58,H2H 1-0,Francesco Aldi,QFQ,6-2 7-6,Arnaud Di Pasquale,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
59,H2H 2-0,Matteo Colla,QFQ,6-4 6-0,Ivan Ljubicic,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
60,H2H 1-0,Agustin Garizzio,QFQ,6-3 7-6,Dusan Vemic,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
61,H2H 1-2,Davide Scala,QFQ,3-6 6-3 6-1,Salvador Navarro-Gutierrez,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
62,H2H 1-0,Francesco Palpacelli,QFQ,6-2 6-1,Juan-Albert Viloca-Puig,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
63,H2H 1-0,Ionut Moldovan,QFQ,7-6 6-2,Eduardo Nicolas-Espin,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
64,H2H 2-1,Igor Gaudi,QFQ,2-6 7-6 6-2,German Puentes-Alcaniz,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
65,H2H 3-0,Gianluca Luddi,QFQ,6-3 6-1,Oscar Serrano-Gamez,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
66,H2H 1-0,Paul Kilderry,QFQ,6-3 7-6,Jordi Burillo,1998-10-05,https://matchstat.com/tennis/tournaments/m/Palermo/1998,Palermo
