,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Jun Kuki,F,7-5 6-3 6-3,Christopher Mottram,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
1,H2H 2-0,Z. Franulovic,SF,7-6 6-2,Christopher Mottram,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
2,H2H 1-1,Ricardo Cano,SF,1-6 6-3 6-2,Jun Kuki,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
3,H2H 2-0,Mark Edmondson,QF,6-7 6-1 6-2,Christopher Mottram,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
4,H2H 3-2,Jose Higueras,QF,6-4 6-3,Z. Franulovic,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
5,H2H 1-0,Angel Gimenez,QF,6-1 6-4,Jun Kuki,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
6,H2H 2-0,J. Velasco,QF,6-2 6-7 6-3,Ricardo Cano,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
7,H2H 3-3,Paolo Bertolucci,R16,6-4 7-6,Christopher Mottram,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
8,H2H 1-1,Kjell Johansson,R16,2-6 6-1 6-2,Mark Edmondson,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
9,H2H 2-2,Colin Dibley,R16,4-6 7-6 9-7,Jose Higueras,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
10,H2H 1-0,R. Taylor,R16,7-5 7-5,Z. Franulovic,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
11,H2H 2-0,Ivan Molina,R16,6-3 2-6 6-3,Jun Kuki,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
12,H2H 1-0,Henry Bunis,R16,6-3 6-2,Angel Gimenez,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
13,H2H 1-0,N. Spear,R16,7-5 7-6,J. Velasco,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
14,H2H 1-1,Werner Zirngibl,R16,6-2 6-3,Ricardo Cano,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
15,H2H 1-0,Sashi Menon,R32,6-1 6-1,Paolo Bertolucci,1976-04-12,https://matchstat.com/tennis/tournaments/m/Palma/1976,Palma
