,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-0,J. Fillol,F,5-7 6-4 6-4 7-6,Eddie Dibbs,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
1,H2H 1-0,M. Cox,SF,6-0 6-3 7-6,J. Fillol,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
2,H2H 2-1,S. Smith,SF,2-6 6-2 6-4 6-3,Eddie Dibbs,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
3,H2H 1-0,Erik Van Dillen,QF,6-4 1-6 6-2,M. Cox,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
4,H2H 2-3,Tom Okker,QF,6-4 6-3,J. Fillol,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
5,H2H 2-0,Sherwood Stewart,QF,6-4 6-2,S. Smith,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
6,H2H 2-1,Paolo Bertolucci,QF,7-6 7-6,Eddie Dibbs,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
7,H2H 1-2,Harold Solomon,R16,3-6 6-4 6-4,Erik Van Dillen,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
8,H2H 1-1,Fred McNair,R16,6-4 7-5,M. Cox,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
9,H2H 2-1,Z. Franulovic,R16,6-1 6-1,Tom Okker,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
10,H2H 1-1,John Lloyd,R16,6-1 6-7 6-2,J. Fillol,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
11,H2H 1-0,Patrick Proisy,R16,6-3 6-3,Sherwood Stewart,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
12,H2H 3-0,Bernie Mitton,R16,6-4 1-6 6-3,S. Smith,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
13,H2H 1-0,D. Palm,R16,3-6 6-4 6-4,Paolo Bertolucci,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
14,H2H 7-0,Nick Saviano,R16,4-6 6-2 6-3,Eddie Dibbs,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
15,H2H 4-0,Byron Bertram,R32,4-6 6-2 6-2,Harold Solomon,1976-10-25,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/1976,Paris Masters
