,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 7-0,Milos Raonic,9.0,2.0,6140452.0,220314.0,,4.55,Milos Raonic,46.0,4.0,0.0,56.0,15.0,56.0,37.0,24.0,19.0,7.0,,,,,,2.0,112.0,,,4.55,1.25,F,6-2 6-3,Novak Djokovic,4.0,0.0,6140452.0,220313.0,,1.25,Novak Djokovic,66.0,9.0,3.0,56.0,25.0,56.0,42.0,34.0,14.0,7.0,,,,,,1.0,112.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
1,H2H 9-2,Kei Nishikori,1.0,4.0,6140454.0,220224.0,,4.25,Kei Nishikori,36.0,4.0,1.0,48.0,13.0,48.0,32.0,21.0,16.0,2.0,,,,,,2.0,96.0,,,4.25,1.29,SF,6-2 6-3,Novak Djokovic,8.0,0.0,6140454.0,220223.0,,1.285,Novak Djokovic,60.0,7.0,4.0,48.0,25.0,48.0,36.0,29.0,12.0,6.0,,,,,,1.0,96.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
2,H2H 4-2,Tomas Berdych,7.0,4.0,6140453.0,220203.0,,1.833,Tomas Berdych,85.0,4.0,1.0,90.0,27.0,88.0,51.0,37.0,37.0,21.0,,,,,,1.0,178.0,,,1.83,2.11,SF,6-3 3-6 7-5,Milos Raonic,12.0,3.0,6140453.0,220204.0,,2.11,Milos Raonic,93.0,3.0,2.0,88.0,30.0,90.0,51.0,46.0,39.0,17.0,,,,,,2.0,178.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
3,H2H 24-10,Andy Murray,5.0,3.0,6140458.0,219186.0,,3.35,Andy Murray,52.0,2.0,1.0,55.0,15.0,67.0,34.0,23.0,33.0,14.0,,,,,,2.0,122.0,,,3.35,1.40,QF,7-5 6-2,Novak Djokovic,1.0,1.0,6140458.0,219185.0,,1.4,Novak Djokovic,70.0,13.0,4.0,67.0,30.0,55.0,35.0,28.0,20.0,12.0,,,,,,1.0,122.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
4,H2H 8-4,David Ferrer,1.0,4.0,6140457.0,786280.0,,2.16,David Ferrer,113.0,9.0,6.0,105.0,49.0,116.0,59.0,40.0,57.0,24.0,,,,,,1.0,221.0,,,2.16,1.79,QF,3-6 7-6(5) 6-4,Kei Nishikori,3.0,3.0,6140457.0,786281.0,,1.794,Kei Nishikori,108.0,16.0,6.0,116.0,52.0,105.0,63.0,43.0,42.0,13.0,,,,,,2.0,221.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
5,H2H 12-0,Kevin Anderson,12.0,2.0,6140456.0,220124.0,,4.4,Kevin Anderson,98.0,2.0,2.0,103.0,33.0,101.0,69.0,52.0,32.0,13.0,,,,,,2.0,204.0,,,4.40,1.27,QF,6-7(4) 6-4 6-4,Tomas Berdych,16.0,7.0,6140456.0,220123.0,,1.27,Tomas Berdych,106.0,9.0,4.0,101.0,36.0,103.0,54.0,48.0,49.0,22.0,,,,,,1.0,204.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
6,H2H 2-9,Roger Federer,8.0,1.0,6140455.0,220130.0,,1.333,Roger Federer,67.0,1.0,0.0,70.0,15.0,69.0,43.0,38.0,26.0,14.0,,,,,,2.0,139.0,,,1.33,3.75,QF,7-6(5) 7-5,Milos Raonic,21.0,1.0,6140455.0,220129.0,,3.75,Milos Raonic,72.0,2.0,1.0,69.0,17.0,70.0,47.0,40.0,23.0,15.0,,,,,,1.0,139.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
7,H2H 11-1,Gael Monfils,12.0,4.0,6140466.0,220106.0,,5.9,Gael Monfils,59.0,3.0,1.0,70.0,22.0,60.0,38.0,27.0,22.0,10.0,,,,,,2.0,130.0,,,5.90,1.18,R16,6-3 7-6(2),Novak Djokovic,1.0,5.0,6140466.0,220105.0,,1.181,Novak Djokovic,71.0,6.0,2.0,60.0,23.0,70.0,39.0,32.0,31.0,16.0,,,,,,1.0,130.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
8,H2H 6-3,Grigor Dimitrov,0.0,2.0,6140465.0,220083.0,,2.68,Grigor Dimitrov,39.0,0.0,0.0,44.0,8.0,53.0,33.0,21.0,20.0,10.0,,,,,,1.0,97.0,,,2.68,1.56,R16,6-3 6-3,Andy Murray,7.0,2.0,6140465.0,220084.0,,1.56,Andy Murray,58.0,4.0,3.0,53.0,22.0,44.0,29.0,27.0,15.0,9.0,,,,,,2.0,97.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
9,H2H 14-7,Fernando Verdasco,1.0,5.0,6140464.0,786273.0,,4.18,Fernando Verdasco,26.0,1.0,1.0,42.0,12.0,39.0,22.0,10.0,17.0,4.0,,,,,,2.0,81.0,,,4.18,1.28,R16,6-1 6-2,David Ferrer,0.0,0.0,6140464.0,786272.0,,1.282,David Ferrer,55.0,7.0,5.0,39.0,25.0,42.0,28.0,21.0,14.0,9.0,,,,,,1.0,81.0,,,2014-10-27,https://matchstat.com/tennis/tournaments/m/Paris%20Masters/2014,Paris Masters
