,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Geoff Masters,F,6-3 6-4 6-2,Vitas Gerulaitis,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
1,H2H 2-2,Hank Pfister,SF,3-6 6-0 7-5,Geoff Masters,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
2,H2H 4-1,T. Roche,SF,6-2 6-1,Vitas Gerulaitis,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
3,H2H 2-0,Richard Lewis,QF,6-3 7-6,Geoff Masters,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
4,H2H 3-2,Tim Wilkison,QF,6-3 6-4,Hank Pfister,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
5,H2H 1-0,Harold Solomon,QF,6-4 6-1,T. Roche,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
6,H2H 1-0,Jiri Hrebec,QF,6-1 6-0,Vitas Gerulaitis,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
7,H2H 0-2,Jimmy Connors,R16,WO,Richard Lewis,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
8,H2H 5-4,Kim Warwick,R16,6-1 2-0 Retired,Geoff Masters,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
9,H2H 2-1,P. Dent,R16,6-2 5-7 6-3,Tim Wilkison,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
10,H2H 3-1,R. Ruffels,R16,6-3 5-7 6-2,Hank Pfister,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
11,H2H 3-1,Nick Saviano,R16,6-2 6-2,T. Roche,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
12,H2H 4-0,Ross Case,R16,6-4 6-2,Harold Solomon,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
13,H2H 1-0,Bill Scanlon,R16,6-4 7-6,Jiri Hrebec,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
14,H2H 1-0,Marcelo Lara,R16,6-3 6-2,Vitas Gerulaitis,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
15,H2H 1-0,Sashi Menon,R32,6-1 6-1,Jimmy Connors,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
16,H2H 1-0,Jurgen Fassbender,R32,7-6 4-6 6-1,Richard Lewis,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
17,H2H 1-1,Karl Meiler,R32,7-6 2-6 6-4,Geoff Masters,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
18,H2H 3-1,Butch Walts,R32,6-3 2-6 6-0,Kim Warwick,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
19,H2H 1-0,Bradley Rowe,R32,6-7 6-3 6-4,P. Dent,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
20,H2H 1-1,B. Fairlie,R32,6-1 6-1,Tim Wilkison,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
21,H2H 3-0,Russell Simpson,R32,7-5 6-3,R. Ruffels,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
22,H2H 1-0,Crealy,R32,6-3 7-5,Hank Pfister,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
23,H2H 1-0,Rod Frawley,R32,7-5 6-2,T. Roche,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
24,H2H 1-1,Stone,R32,6-4 6-3,Nick Saviano,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
25,H2H 1-0,Chris Kachel,R32,6-1 6-3,Ross Case,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
26,H2H 1-0,John Whitlinger,R32,6-0 6-3,Harold Solomon,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
27,H2H 6-0,Brad Drewett,R32,3-6 6-4 7-6,Bill Scanlon,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
28,H2H 2-0,Pat Du Pre,R32,6-3 6-7 6-4,Jiri Hrebec,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
29,H2H 1-0,Mark Edmondson,R32,1-6 6-2 6-1,Marcelo Lara,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
30,H2H 2-0,Michael Wayman,R32,6-0 6-3,Vitas Gerulaitis,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
31,,N Saviano / J Whitlinger,F,6-2 6-1,R Ruffels / S Stone,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
32,,B Fairlie / T Roche,SF,6-4 6-3,N Saviano / J Whitlinger,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
33,,J Fassbender / K Meiler,SF,6-2 6-4,R Ruffels / S Stone,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
34,,R Frawley / K Warwick,QF,6-4 3-6 7-5,B Fairlie / T Roche,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
35,,H Pfister / B Walts,QF,6-2 6-3,N Saviano / J Whitlinger,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
36,,P Du Pre / T Wilkison,QF,6-3 3-6 6-1,J Fassbender / K Meiler,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
37,,R Case / G Masters,QF,4-6 7-5 7-6,R Ruffels / S Stone,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
38,,V Gerulaitis / B Scanlon,R16,4-6 6-3 6-2,B Fairlie / T Roche,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
39,,M Lara / S Menon,R16,6-4 6-3,R Frawley / K Warwick,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
40,,C Kachel / C Letcher,R16,6-4 6-4,N Saviano / J Whitlinger,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
41,,C Crealy / P Dent,R16,WO,H Pfister / B Walts,1977-10-24,https://matchstat.com/tennis/tournaments/m/Perth/1977,Perth
