,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,John Fitzgerald,F,4-6 6-2 6-2 6-3,Tim Mayotte,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
1,H2H 1-0,Jorge Lozano,SF,6-1 6-4,John Fitzgerald,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
2,H2H 3-1,Christo Van Rensburg,SF,6-2 7-5,Tim Mayotte,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
3,H2H 2-1,Kevin Curren,QF,5-7 6-4 6-3,John Fitzgerald,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
4,H2H 1-0,Dan Goldie,QF,4-6 6-1 6-4,Jorge Lozano,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
5,H2H 4-1,Sammy Giammalva,QF,7-6 6-2,Christo Van Rensburg,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
6,H2H 1-2,Jim Grabb,QF,7-5 3-6 6-4,Tim Mayotte,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
7,H2H 1-3,Ivan Lendl,R16,7-6 6-4,John Fitzgerald,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
8,H2H 2-1,Marty Davis,R16,6-3 6-3,Kevin Curren,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
9,H2H 2-0,Joey Rive,R16,3-6 6-3 6-2,Dan Goldie,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
10,H2H 1-0,Jim Pugh,R16,6-3 6-7 6-4,Jorge Lozano,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
11,H2H 3-5,Paul Annacone,R16,6-1 5-7 6-4,Christo Van Rensburg,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
12,H2H 1-0,Peter Lindgren,R16,6-3 6-3,Sammy Giammalva,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
13,H2H 1-0,Ken Flach,R16,6-2 2-6 7-5,Jim Grabb,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
14,H2H 3-4,Johan Kriek,R16,5-7 6-2 7-5,Tim Mayotte,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
15,H2H 4-0,Richey Reneberg,R32,6-2 6-2,Ivan Lendl,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
16,H2H 2-0,Damir Keretic,R32,6-1 7-6,John Fitzgerald,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
17,H2H 1-0,Chris Pridham,R32,7-6 6-3,Kevin Curren,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
18,H2H 1-1,Peter Lundgren,R32,7-6 5-7 7-6,Marty Davis,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
19,H2H 1-1,Eliot Teltscher,R32,4-6 6-2 6-3,Joey Rive,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
20,H2H 1-2,Grant Connell,R32,3-6 7-5 6-4,Dan Goldie,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
21,H2H 1-1,Broderick Dyke,R32,6-4 6-2,Jim Pugh,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
22,H2H 1-0,Amos Mansdorf,R32,7-6 7-6,Jorge Lozano,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
23,H2H 1-2,Aaron Krickstein,R32,7-6 6-2,Christo Van Rensburg,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
24,H2H 1-0,Jimmy Brown,R32,6-1 3-6 6-2,Paul Annacone,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
25,H2H 1-0,Mark Woodforde,R32,2-6 6-3 7-6,Sammy Giammalva,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
26,H2H 1-0,Eduardo Bengoechea,R32,6-1 6-0,Peter Lindgren,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
27,H2H 1-0,Tomas Smid,R32,6-4 6-7 6-3,Jim Grabb,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
28,H2H 1-0,Kelly Evernden,R32,7-5 0-6 6-3,Ken Flach,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
29,H2H 2-1,Gary Muller,R32,6-2 6-2,Johan Kriek,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
30,H2H 1-1,Leif Shiras,R32,6-4 6-4,Tim Mayotte,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
31,H2H 1-0,John Ross,R64,6-3 7-5,Richey Reneberg,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
32,H2H 1-0,David Macpherson,R64,6-3 6-2,Damir Keretic,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
33,H2H 1-0,Larry Scott,R64,7-5 6-3,Chris Pridham,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
34,H2H 3-0,Greg Holmes,R64,7-5 6-2,Marty Davis,1988-02-22,https://matchstat.com/tennis/tournaments/m/Philadelphia/1988,Philadelphia
