,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-2,Franco Davin,F,6-1 6-1,Karel Novacek,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
1,H2H 1-0,David Rikl,SF,6-2 3-6 6-2,Karel Novacek,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
2,H2H 2-1,Guillermo Perez-Roldan,SF,6-3 6-2,Franco Davin,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
3,H2H 2-0,Diego Perez,QF,6-3 6-2,Karel Novacek,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
4,H2H 2-0,Richard Fromberg,QF,6-0 6-3,David Rikl,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
5,H2H 1-0,Vladimir Gabrichidze,QF,6-3 6-0,Guillermo Perez-Roldan,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
6,H2H 1-2,Jonas B. Svensson,QF,6-2 2-6 6-3,Franco Davin,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
7,H2H 1-0,Martin Strelba,R16,7-5 6-1,Karel Novacek,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
8,H2H 3-4,Horst Skoff,R16,6-1 2-6 6-2,Diego Perez,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
9,H2H 1-0,Marcelo Filippini,R16,6-4 6-4,David Rikl,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
10,H2H 2-0,Jan Apell,R16,4-6 6-1 6-3,Richard Fromberg,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
11,H2H 1-0,Renzo Furlan,R16,6-3 6-2,Vladimir Gabrichidze,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
12,H2H 1-0,Florian Krumrey,R16,2-6 7-6 6-2,Guillermo Perez-Roldan,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
13,H2H 1-1,Massimo Cierro,R16,6-4 6-3,Jonas B. Svensson,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
14,H2H 1-1,Jordi Arrese,R16,6-2 6-2,Franco Davin,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
15,H2H 2-0,Karol Kucera,R32,6-1 7-6,Karel Novacek,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
16,H2H 2-1,Martin Damm,R32,7-6 6-1,Martin Strelba,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
17,H2H 3-0,Roberto Azar,R32,6-3 3-6 6-2,Diego Perez,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
18,H2H 3-2,Ronald Agenor,R32,7-6 6-3,Horst Skoff,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
19,H2H 2-0,Cyril Suk,R32,6-3 6-4,Marcelo Filippini,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
20,H2H 1-2,Frederic Fontang,R32,3-6 6-2 6-2,David Rikl,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
21,H2H 2-0,Claudio Mezzadri,R32,6-3 4-6 6-1,Jan Apell,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
22,H2H 1-1,Goran Prpic,R32,6-1 7-5,Richard Fromberg,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
23,H2H 3-0,Bart Wuyts,R32,6-3 6-1,Renzo Furlan,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
24,H2H 1-0,Thierry Guardiola,R32,6-1 1-6 7-5,Vladimir Gabrichidze,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
25,H2H 1-0,Raul Viver,R32,6-4 2-6 7-6,Florian Krumrey,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
26,H2H 1-0,Carsten Arriens,R32,6-1 7-6,Guillermo Perez-Roldan,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
27,H2H 2-1,Marcos-Aurelio Gorriz-Bonhora,R32,7-6 6-4,Jonas B. Svensson,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
28,H2H 2-1,Vaclav Roubicek,R32,6-4 6-7 7-6,Massimo Cierro,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
29,H2H 4-0,Marian Vajda,R32,6-7 6-2 7-6,Franco Davin,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
30,H2H 1-0,Markus Zillner,R32,6-3 6-7 6-2,Jordi Arrese,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
31,,J Bjorkman / J Ireland,F,7-5 6-1,K Novacek / B Stankovic,1992-08-10,https://matchstat.com/tennis/tournaments/m/Prague/1992,Prague
