,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-18,Pete Sampras,F,7-6 7-6,Todd Martin,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
1,H2H 2-0,Jan Apell,SF,3-6 7-6 6-2,Pete Sampras,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
2,H2H 1-0,Christo Van Rensburg,SF,6-1 6-4,Todd Martin,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
3,H2H 7-6,Wayne Ferreira,QF,6-1 6-4,Pete Sampras,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
4,H2H 1-0,Jeremy Bates,QF,6-3 7-5,Jan Apell,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
5,H2H 4-3,Stefan Edberg,QF,6-3 6-4,Todd Martin,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
6,H2H 2-1,Jamie Morgan,QF,4-6 6-2 6-4,Christo Van Rensburg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
7,H2H 4-1,Shuzo Matsuoka,R16,7-6 6-2,Pete Sampras,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
8,H2H 4-2,Brett Steven,R16,6-3 6-3,Wayne Ferreira,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
9,H2H 1-1,Goran Ivanisevic,R16,7-6 7-6,Jan Apell,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
10,H2H 1-1,Daniel Nestor,R16,6-4 3-6 6-4,Jeremy Bates,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
11,H2H 8-2,Greg Rusedski,R16,4-6 6-3 6-4,Todd Martin,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
12,H2H 6-1,Jason Stoltenberg,R16,1-6 6-3 6-4,Stefan Edberg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
13,H2H 1-2,MaliVai Washington,R16,2-6 6-2 6-4,Christo Van Rensburg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
14,H2H 1-1,Michael Stich,R16,7-6 6-2,Jamie Morgan,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
15,H2H 9-1,Jonas Bjorkman,R32,6-4 2-6 6-3,Pete Sampras,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
16,H2H 1-1,Jakob Hlasek,R32,6-2 6-4,Shuzo Matsuoka,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
17,H2H 2-2,Patrick Rafter,R32,2-6 6-4 6-3,Brett Steven,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
18,H2H 1-0,David Witt,R32,6-3 6-4,Wayne Ferreira,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
19,H2H 6-1,David Wheaton,R32,6-4 7-5,Goran Ivanisevic,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
20,H2H 1-2,David Engel,R32,6-3 6-7 6-4,Jan Apell,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
21,H2H 3-3,David Prinosil,R32,6-1 4-6 6-3,Daniel Nestor,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
22,H2H 1-4,Boris Becker,R32,7-5 7-6,Jeremy Bates,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
23,H2H 3-5,Tim Henman,R32,6-4 6-4,Todd Martin,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
24,H2H 1-0,Chris Bailey,R32,6-4 6-7 6-3,Greg Rusedski,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
25,H2H 3-0,Alex O'Brien,R32,6-7 6-2 6-2,Jason Stoltenberg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
26,H2H 1-0,Brent Larkham,R32,6-2 6-4,Stefan Edberg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
27,H2H 1-0,Cedric Pioline,R32,5-7 7-5 6-4,Christo Van Rensburg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
28,H2H 1-0,Mark Petchey,R32,6-7 6-4 6-1,MaliVai Washington,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
29,H2H 1-0,Bryan Shelton,R32,6-3 6-2,Jamie Morgan,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
30,H2H 2-1,Byron Black,R32,6-2 6-3,Michael Stich,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
31,H2H 5-0,Grant Stafford,R64,2-6 6-2 6-1,Jonas Bjorkman,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
32,H2H 1-0,Karim Alami,R64,6-4 6-4,Shuzo Matsuoka,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
33,H2H 2-0,Olivier Delaitre,R64,6-2 6-3,Jakob Hlasek,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
34,H2H 1-0,Jose-Francisco Altur,R64,7-6 6-4,Patrick Rafter,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
35,H2H 2-1,Javier Frana,R64,6-2 6-3,Brett Steven,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
36,H2H 1-2,Steve Bryan,R64,6-2 7-5,David Witt,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
37,H2H 2-1,Michael Joyce,R64,6-4 6-4,David Wheaton,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
38,H2H 1-1,Stephane Simian,R64,7-6 6-3,David Engel,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
39,H2H 1-1,Mark Woodforde,R64,6-4 7-6,Jan Apell,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
40,H2H 1-0,Richey Reneberg,R64,6-3 7-5,Daniel Nestor,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
41,H2H 2-0,Christian Bergstrom,R64,6-2 6-2,David Prinosil,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
42,H2H 2-3,Guillaume Raoux,R64,7-5 6-3,Jeremy Bates,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
43,H2H 1-0,Peter Lundgren,R64,7-5 7-6,Tim Henman,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
44,H2H 1-0,Doug Flach,R64,6-3 6-4,Chris Bailey,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
45,H2H 1-1,Andrea Gaudenzi,R64,7-6 6-2,Greg Rusedski,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
46,H2H 1-0,Joshua Eagle,R64,6-1 6-1,Jason Stoltenberg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
47,H2H 2-0,Chris Wilkinson,R64,6-3 6-2,Alex O'Brien,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
48,H2H 1-0,Patrick McEnroe,R64,7-5 6-1,Brent Larkham,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
49,H2H 1-1,Todd Woodbridge,R64,6-4 4-6 6-0,Christo Van Rensburg,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
50,H2H 2-0,Maurice Ruah,R64,6-2 7-5,Mark Petchey,1994-06-06,https://matchstat.com/tennis/tournaments/m/Queen%27s/1994,Queen's
