,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 11-2,Marin Cilic,4.0,6.0,6150034.0,193936.0,,4.96,Marin Cilic,97.0,8.0,2.0,101.0,30.0,105.0,61.0,49.0,44.0,18.0,,,,,,2.0,206.0,,,4.96,1.22,F,5-7 7-5 6-3,Andy Murray,4.0,0.0,6150034.0,193935.0,,1.222,Andy Murray,109.0,16.0,3.0,105.0,38.0,101.0,62.0,47.0,39.0,24.0,,,,,,1.0,206.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
1,H2H 12-3,Jo-Wilfried Tsonga,10.0,2.0,6150036.0,193868.0,,2.9,Jo-Wilfried Tsonga,77.0,6.0,1.0,82.0,25.0,85.0,55.0,37.0,30.0,15.0,,,,,,2.0,167.0,,,2.90,1.49,SF,4-6 6-3 6-2,Andy Murray,5.0,3.0,6150036.0,193867.0,,1.49,Andy Murray,90.0,11.0,3.0,85.0,33.0,82.0,50.0,40.0,32.0,17.0,,,,,,1.0,167.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
2,H2H 1-1,Lleyton Hewitt,7.0,8.0,6150035.0,193869.0,,2.1,Lleyton Hewitt,91.0,10.0,3.0,85.0,31.0,109.0,57.0,39.0,52.0,21.0,,,,,,1.0,194.0,,,2.10,1.85,SF,6-4 4-6 6-2,Marin Cilic,11.0,5.0,6150035.0,193870.0,,1.85,Marin Cilic,103.0,14.0,5.0,109.0,49.0,85.0,50.0,38.0,35.0,16.0,,,,,,2.0,194.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
3,H2H 2-0,Benjamin Becker,2.0,2.0,6150040.0,193728.0,,10.5,Benjamin Becker,63.0,6.0,3.0,65.0,23.0,71.0,57.0,35.0,14.0,5.0,,,,,,2.0,136.0,,,10.50,1.08,QF,6-4 7-6(3),Andy Murray,8.0,0.0,6150040.0,193727.0,,1.08,Andy Murray,73.0,8.0,4.0,71.0,31.0,65.0,41.0,31.0,24.0,11.0,,,,,,1.0,136.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
4,H2H 1-0,Denis Kudla,1.0,2.0,6150039.0,193730.0,,9.0,Denis Kudla,37.0,1.0,0.0,51.0,12.0,41.0,23.0,16.0,18.0,9.0,,,,,,2.0,92.0,,,9.00,1.10,QF,6-3 6-2,Jo-Wilfried Tsonga,13.0,2.0,6150039.0,193729.0,,1.1,Jo-Wilfried Tsonga,55.0,4.0,3.0,41.0,16.0,51.0,35.0,30.0,16.0,9.0,,,,,,1.0,92.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
5,H2H 3-2,Juan Martin Del Potro,10.0,3.0,6150038.0,193718.0,,1.45,Juan Martin Del Potro,69.0,6.0,2.0,81.0,30.0,66.0,44.0,30.0,22.0,9.0,,,,,,2.0,147.0,,,1.45,3.05,QF,6-2 2-6 6-2,Lleyton Hewitt,8.0,4.0,6150038.0,193717.0,,3.05,Lleyton Hewitt,78.0,5.0,4.0,66.0,27.0,81.0,46.0,33.0,35.0,18.0,,,,,,1.0,147.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
6,H2H 4-6,Tomas Berdych,5.0,2.0,6150037.0,193708.0,,1.4,Tomas Berdych,75.0,3.0,0.0,86.0,25.0,71.0,49.0,37.0,22.0,13.0,,,,,,2.0,157.0,,,1.40,3.25,QF,7-5 7-6(4),Marin Cilic,8.0,2.0,6150037.0,193707.0,,3.25,Marin Cilic,82.0,3.0,1.0,71.0,21.0,86.0,54.0,43.0,32.0,18.0,,,,,,1.0,157.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
7,H2H 3-0,Marinko Matosevic,2.0,1.0,6150048.0,193688.0,,10.75,Marinko Matosevic,39.0,2.0,1.0,45.0,14.0,52.0,33.0,19.0,19.0,6.0,,,,,,2.0,97.0,,,10.75,1.07,R16,6-2 6-2,Andy Murray,3.0,2.0,6150048.0,193687.0,,1.071,Andy Murray,58.0,10.0,5.0,52.0,27.0,45.0,32.0,23.0,13.0,8.0,,,,,,1.0,97.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
8,H2H 2-2,Alexandr Dolgopolov,9.0,4.0,6150047.0,193676.0,,1.75,Alexandr Dolgopolov,75.0,3.0,2.0,75.0,24.0,83.0,45.0,32.0,38.0,19.0,,,,,,2.0,158.0,,,1.75,2.18,R16,7-6(5) 7-5,Benjamin Becker,5.0,1.0,6150047.0,193675.0,,2.18,Benjamin Becker,83.0,6.0,3.0,83.0,32.0,75.0,46.0,33.0,29.0,18.0,,,,,,1.0,158.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
9,H2H 1-1,Igor Sijsling,4.0,4.0,6150046.0,193678.0,,5.23,Igor Sijsling,91.0,3.0,1.0,101.0,28.0,90.0,53.0,44.0,37.0,19.0,,,,,,2.0,191.0,,,5.23,1.20,R16,7-5 5-7 6-3,Jo-Wilfried Tsonga,7.0,1.0,6150046.0,193677.0,,1.2,Jo-Wilfried Tsonga,100.0,5.0,2.0,90.0,27.0,101.0,69.0,53.0,32.0,20.0,,,,,,1.0,191.0,,,2013-06-03,https://matchstat.com/tennis/tournaments/m/Queen%27s/2013,Queen's
