,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-2,I. Nastase,F,6-3 6-4 6-2,Bjorn Borg,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
1,H2H 14-1,G. Vilas,SF,2-6 3-6 6-3 6-4 7-5,Bjorn Borg,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
2,H2H 6-3,S. Smith,SF,6-2 6-2 6-4,I. Nastase,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
3,H2H 5-0,Steve Krulevitz,QF,6-0 6-1,G. Vilas,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
4,H2H 8-2,Orantes,QF,6-2 7-5,Bjorn Borg,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
5,H2H 7-7,Brian Gottfried,QF,6-3 6-4,S. Smith,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
6,H2H 2-0,Alex Metreveli,QF,6-1 7-5,I. Nastase,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
7,H2H 1-3,Antonio Zugarelli,R16,6-2 7-6,Steve Krulevitz,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
8,H2H 4-1,Karl Meiler,R16,6-2 6-1,G. Vilas,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
9,H2H 6-0,M. Riessen,R16,6-1 7-6,Bjorn Borg,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
10,H2H 1-0,Roger Dowdeswell,R16,6-1 6-1,Orantes,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
11,H2H 2-0,Ismail El Shafei,R16,7-5 6-0,Brian Gottfried,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
12,H2H 1-2,Eddie Dibbs,R16,7-5 6-0,S. Smith,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
13,H2H 2-1,Jiri Hrebec,R16,6-2 6-1,Alex Metreveli,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
14,H2H 5-4,Roscoe Tanner,R16,3-6 6-1 6-3,I. Nastase,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
15,H2H 2-1,J. Kodes,R32,7-6 3-6 5-4 Retired,Antonio Zugarelli,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
16,H2H 1-2,Raul Ramirez,R32,6-0 6-2,Steve Krulevitz,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
17,H2H 1-0,Hans-Jurgen Pohmann,R32,2-6 7-5 6-3,Karl Meiler,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
18,H2H 5-0,Crealy,R32,6-0 6-1,G. Vilas,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
19,H2H 2-0,Jaime Rene Pinto Bravo,R32,6-7 6-2 6-1,Bjorn Borg,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
20,H2H 3-2,B. Lutz,R32,6-2 6-3,M. Riessen,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
21,H2H 3-0,Erik Van Dillen,R32,6-0 6-0,Orantes,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
22,H2H 1-0,Tom Gorman,R32,6-3 7-6,Roger Dowdeswell,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
23,H2H 2-0,Boro Jovanovic,R32,7-5 6-0,Brian Gottfried,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
24,H2H 1-1,Z. Franulovic,R32,6-1 3-6 6-4,Ismail El Shafei,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
25,H2H 2-0,B. Phillips-Moore,R32,7-6 6-2,Eddie Dibbs,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
26,H2H 1-0,Attila Korpas,R32,6-3 6-2,S. Smith,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
27,H2H 2-2,Onny Parun,R32,6-2 6-7 6-1,Jiri Hrebec,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
28,H2H 1-0,C. Pasarell,R32,6-3 6-4,Alex Metreveli,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
29,H2H 3-1,Corrado Barazzutti,R32,6-2 6-4,Roscoe Tanner,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
30,H2H 2-1,Vijay Amritraj,R32,6-2 3-6 7-5,I. Nastase,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
31,H2H 2-0,Wanaro N'Godrella,R64,6-1 6-2,J. Kodes,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
32,H2H 1-0,Ivan Molina,R64,7-5 6-2,Antonio Zugarelli,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
33,H2H 1-0,Francisco Mastelli,R64,6-2 6-4,Raul Ramirez,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
34,H2H 1-2,Juan Gisbert,R64,7-5 6-2,Steve Krulevitz,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
35,H2H 2-0,Paolo Bertolucci,R64,7-5 7-5,Karl Meiler,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
36,H2H 1-0,Jeff Borowiak,R64,6-3 6-3,Hans-Jurgen Pohmann,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
37,H2H 1-3,J. Fillol,R64,7-6 4-6 6-4,Crealy,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
38,H2H 11-3,Victor Pecci,R64,6-2 6-2,G. Vilas,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
39,H2H 3-0,Patrice Dominguez,R64,6-2 7-5,Bjorn Borg,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
40,H2H 1-0,Piero Toci,R64,6-4 7-6,Jaime Rene Pinto Bravo,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
41,H2H 3-3,Colin Dibley,R64,7-5 6-4,M. Riessen,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
42,H2H 3-0,Vladimir Zednik,R64,6-2 6-4,B. Lutz,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
43,H2H 6-0,Georges Goven,R64,6-0 6-3,Orantes,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
44,H2H 1-0,Vladimir Korotkov,R64,7-6 7-6,Erik Van Dillen,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
45,H2H 2-4,Harold Solomon,R64,6-4 3-6 6-2,Tom Gorman,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
46,H2H 1-0,Pierre Barthes,R64,7-6 6-3,Roger Dowdeswell,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
47,H2H 1-0,Jurgen Fassbender,R64,7-5 0-6 6-4,Boro Jovanovic,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
48,H2H 5-0,Sherwood Stewart,R64,6-2 6-0,Brian Gottfried,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
49,H2H 1-0,Leif Johansson,R64,6-3 6-2,Z. Franulovic,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
50,H2H 1-3,Adriano Panatta,R64,3-6 6-2 6-1,Ismail El Shafei,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
51,H2H 1-0,Dimitru Haradau,R64,7-6 6-7 6-4,B. Phillips-Moore,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
52,H2H 1-0,Vincenzo Franchitti,R64,6-7 6-2 7-6,Eddie Dibbs,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
53,H2H 1-0,Hans Kary,R64,6-4 6-4,Attila Korpas,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
54,H2H 1-0,Jun Kuki,R64,7-5 7-5,S. Smith,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
55,H2H 3-1,Patrick Proisy,R64,6-2 6-4,Onny Parun,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
56,H2H 1-0,T. Koch,R64,6-4 6-4,Jiri Hrebec,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
57,H2H 2-0,Paul Gerken,R64,6-2 2-6 6-3,C. Pasarell,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
58,H2H 1-0,Balazs Taroczy,R64,6-3 6-4,Alex Metreveli,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
59,H2H 2-1,Kjell Johansson,R64,7-5 6-3,Corrado Barazzutti,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
60,H2H 2-0,Bengtson,R64,6-3 6-0,Roscoe Tanner,1974-05-27,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/1974,Rome Masters
