,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 10-24,Novak Djokovic,5.0,1.0,8387622.0,3549965.0,,1.4,Novak Djokovic,50.0,3.0,0.0,59.0,18.0,55.0,32.0,20.0,23.0,12.0,9.0,,,,,1.0,115.0,,,1.40,3.00,F,6-3 6-3,Clay,Andy Murray,5.0,1.0,8387622.0,3549966.0,,3.0,Andy Murray,65.0,6.0,3.0,56.0,24.0,58.0,38.0,31.0,20.0,10.0,9.0,,,,,2.0,115.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
1,H2H 10-2,Kei Nishikori,4.0,2.0,8386743.0,3549558.0,,6.0,Kei Nishikori,111.0,8.0,3.0,99.0,36.0,122.0,77.0,48.0,45.0,27.0,15.0,,,,,2.0,223.0,,,6.00,1.12,SF,2-6 6-4 7-6(5),Clay,Novak Djokovic,5.0,2.0,8386743.0,3549557.0,,1.12,Novak Djokovic,112.0,14.0,2.0,124.0,49.0,97.0,70.0,49.0,27.0,14.0,15.0,,,,,1.0,223.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
2,H2H 3-0,Lucas Pouille,4.0,3.0,8386744.0,3549507.0,,7.0,Lucas Pouille,31.0,0.0,0.0,37.0,5.0,49.0,28.0,18.0,21.0,8.0,7.0,,,,,1.0,89.0,,,7.00,1.08,SF,6-2 6-1,Clay,Andy Murray,5.0,1.0,8386744.0,3549508.0,,1.083,Andy Murray,58.0,8.0,4.0,52.0,26.0,36.0,22.0,20.0,14.0,12.0,8.0,,,,,2.0,89.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
3,H2H 26-23,Rafael Nadal,2.0,1.0,8386329.0,3549186.0,,3.25,Rafael Nadal,84.0,3.0,2.0,79.0,28.0,91.0,76.0,45.0,15.0,11.0,12.0,,,,,2.0,171.0,,,3.25,1.36,QF,7-5 7-6(4),Clay,Novak Djokovic,3.0,2.0,8386329.0,3549185.0,,1.36,Novak Djokovic,87.0,9.0,3.0,92.0,36.0,77.0,56.0,36.0,21.0,15.0,12.0,,,,,1.0,171.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
4,H2H 2-0,Dominic Thiem,1.0,1.0,8386330.0,3549169.0,,2.62,Dominic Thiem,62.0,5.0,1.0,73.0,23.0,68.0,44.0,27.0,24.0,12.0,10.0,,,,,1.0,142.0,,,2.62,1.50,QF,6-3 7-5,Clay,Kei Nishikori,1.0,0.0,8386330.0,3549170.0,,1.5,Kei Nishikori,80.0,10.0,3.0,69.0,30.0,73.0,52.0,37.0,21.0,13.0,11.0,,,,,2.0,142.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
5,H2H 1-1,Juan Monaco,0.0,0.0,8386331.0,3549172.0,,1.66,Juan Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,,,1.66,2.20,QF,WO,Clay,Lucas Pouille,0.0,0.0,8386331.0,3549171.0,,2.2,Lucas Pouille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
6,H2H 5-0,David Goffin,1.0,1.0,8386362.0,3549187.0,,3.75,David Goffin,48.0,7.0,4.0,56.0,23.0,59.0,41.0,19.0,18.0,6.0,9.0,,,,,1.0,116.0,,,3.75,1.25,QF,6-1 7-5,Clay,Andy Murray,3.0,3.0,8386362.0,3549188.0,,1.25,Andy Murray,68.0,14.0,7.0,60.0,35.0,53.0,32.0,21.0,21.0,12.0,10.0,,,,,2.0,116.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
7,H2H 6-0,Thomaz Bellucci,1.0,3.0,8386147.0,3548764.0,,10.0,Thomaz Bellucci,63.0,3.0,3.0,71.0,27.0,56.0,34.0,21.0,22.0,15.0,11.0,,,,,2.0,130.0,,,10.00,1.03,R16,0-6 6-3 6-2,Clay,Novak Djokovic,1.0,0.0,8386147.0,3548763.0,,1.03,Novak Djokovic,67.0,3.0,3.0,59.0,23.0,71.0,54.0,37.0,17.0,7.0,12.0,,,,,1.0,130.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
8,H2H 1-1,Nick Kyrgios,9.0,0.0,8386148.0,3548809.0,,3.4,Nick Kyrgios,99.0,4.0,1.0,93.0,30.0,118.0,80.0,52.0,38.0,17.0,15.0,,,,,1.0,211.0,,,3.40,1.29,R16,6-7(3) 6-2 6-4,Clay,Rafael Nadal,1.0,4.0,8386148.0,3548810.0,,1.285,Rafael Nadal,112.0,15.0,4.0,118.0,49.0,89.0,78.0,55.0,11.0,8.0,15.0,,,,,2.0,211.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
9,H2H 2-1,Roger Federer,5.0,1.0,8386149.0,3548767.0,,1.55,Roger Federer,63.0,3.0,1.0,63.0,16.0,74.0,47.0,30.0,27.0,17.0,11.0,,,,,1.0,138.0,,,1.55,2.35,R16,7-6(2) 6-4,Clay,Dominic Thiem,5.0,2.0,8386149.0,3548768.0,,2.35,Dominic Thiem,75.0,5.0,2.0,75.0,28.0,61.0,39.0,31.0,22.0,16.0,11.0,,,,,2.0,138.0,,,2016-05-09,https://matchstat.com/tennis/tournaments/m/Rome%20Masters/2016,Rome Masters
