,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Guillaume Raoux,F,6-4 7-6,Richard Krajicek,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
1,H2H 7-3,Michael Chang,SF,6-7 6-3 6-4,Richard Krajicek,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
2,H2H 2-1,Jonas Bjorkman,SF,6-0 6-1,Guillaume Raoux,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
3,H2H 4-2,Francisco Clavet,QF,6-7 7-6 6-1,Michael Chang,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
4,H2H 3-2,Martin Damm,QF,7-6 7-6,Richard Krajicek,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
5,H2H 2-0,Fernon Wibier,QF,6-2 6-4,Jonas Bjorkman,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
6,H2H 1-3,Sjeng Schalken,QF,7-6 6-4,Guillaume Raoux,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
7,H2H 3-0,Alexandru Radulescu,R16,7-6 6-1,Michael Chang,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
8,H2H 2-2,Hicham Arazi,R16,6-3 0-6 6-1,Francisco Clavet,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
9,H2H 1-2,Hendrik Dreekmann,R16,6-0 6-3,Richard Krajicek,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
10,H2H 1-2,Chris Woodruff,R16,6-1 6-7 6-1,Martin Damm,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
11,H2H 1-0,Magnus Gustafsson,R16,7-6 7-6,Fernon Wibier,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
12,H2H 3-0,Daniel Vacek,R16,6-1 6-2,Jonas Bjorkman,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
13,H2H 2-0,Leander Paes,R16,6-2 6-2,Sjeng Schalken,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
14,H2H 1-0,Karim Alami,R16,6-4 2-6 7-6,Guillaume Raoux,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
15,H2H 2-2,Fabrice Santoro,R32,4-6 6-4 6-3,Michael Chang,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
16,H2H 1-0,Cedric Pioline,R32,6-3 3-6 7-5,Alexandru Radulescu,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
17,H2H 2-2,Vince Spadea,R32,2-6 7-5 6-3,Hicham Arazi,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
18,H2H 2-1,Jacco Eltingh,R32,7-6 6-3,Francisco Clavet,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
19,H2H 7-2,Paul Haarhuis,R32,7-5 7-6,Richard Krajicek,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
20,H2H 2-1,Slava Dosedel,R32,5-7 7-6 7-5,Hendrik Dreekmann,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
21,H2H 1-0,Dennis van Scheppingen,R32,6-4 6-0,Chris Woodruff,1997-06-16,https://matchstat.com/tennis/tournaments/m/Rosmalen/1997,Rosmalen
