,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 9-5,Yevgeny Kafelnikov,F,6-4 3-6 6-3,Goran Ivanisevic,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
1,H2H 8-5,Tim Henman,SF,7-6 6-3,Yevgeny Kafelnikov,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
2,H2H 2-1,Guillaume Raoux,SF,6-4 6-4,Goran Ivanisevic,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
3,H2H 1-6,Pete Sampras,QF,WO,Tim Henman,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
4,H2H 11-2,Cedric Pioline,QF,3-6 7-6 6-4,Yevgeny Kafelnikov,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
5,H2H 2-2,Marc Rosset,QF,7-6 6-4,Guillaume Raoux,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
6,H2H 4-0,Martin Damm,QF,7-5 6-2,Goran Ivanisevic,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
7,H2H 6-1,Jakob Hlasek,R16,6-7 6-4 6-4,Pete Sampras,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
8,H2H 6-3,Carlos Moya,R16,7-6 6-4,Tim Henman,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
9,H2H 3-0,Jacco Eltingh,R16,6-4 6-2,Yevgeny Kafelnikov,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
10,H2H 6-2,Richard Krajicek,R16,7-6 6-3,Cedric Pioline,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
11,H2H 5-0,Arnaud Boetsch,R16,6-4 6-2,Guillaume Raoux,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
12,H2H 11-1,David Prinosil,R16,7-5 6-7 6-1,Marc Rosset,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
13,H2H 2-1,Carl-Uwe Steeb,R16,6-7 6-4 7-6,Martin Damm,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
14,H2H 2-2,Omar Camporese,R16,6-3 6-1,Goran Ivanisevic,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
15,H2H 3-0,Tomas Carbonell,R32,6-1 3-6 7-5,Pete Sampras,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
16,H2H 1-0,Daniel Vacek,R32,7-6 6-4,Jakob Hlasek,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
17,H2H 1-0,Martin Sinner,R32,6-3 7-6,Carlos Moya,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
18,H2H 5-1,Jan Siemerink,R32,7-6 7-6,Tim Henman,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
19,H2H 4-1,Guy Forget,R32,6-3 7-6,Yevgeny Kafelnikov,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
20,H2H 3-0,Andrei Olhovskiy,R32,7-6 7-6,Jacco Eltingh,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
21,H2H 2-0,Karim Alami,R32,6-3 6-4,Cedric Pioline,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
22,H2H 7-2,Paul Haarhuis,R32,6-3 7-6,Richard Krajicek,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
23,H2H 1-0,Dennis van Scheppingen,R32,7-6 7-5,Arnaud Boetsch,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
24,H2H 1-0,Slava Dosedel,R32,6-3 6-3,Guillaume Raoux,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
25,H2H 2-1,Hendrik-Jan Davids,R32,6-7 6-3 6-3,David Prinosil,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
26,H2H 4-0,John van Lottum,R32,6-2 6-3,Marc Rosset,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
27,H2H 1-1,Bohdan Ulihrach,R32,7-6 7-6,Martin Damm,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
28,H2H 1-0,Patrick Baur,R32,7-5 7-6,Carl-Uwe Steeb,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
29,H2H 2-1,Jeff Tarango,R32,7-6 6-3,Omar Camporese,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
30,H2H 3-1,Filip De Wulf,R32,7-6 7-5,Goran Ivanisevic,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
31,,H Davids / C Suk,F,6-3 5-7 7-6,D Adams / M Barnard,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
32,,W Arthurs / A Kratzmann,SF,4-6 6-2 6-3,H Davids / C Suk,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
33,,P Nyborg / L Pimek,SF,6-4 4-6 6-4,D Adams / M Barnard,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
34,,M Keil / J Tarango,QF,6-4 6-4,W Arthurs / A Kratzmann,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
35,,N Broad / P Norval,QF,6-4 1-6 6-3,H Davids / C Suk,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
36,,M Damm / A Jarryd,QF,6-4 6-4,P Nyborg / L Pimek,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
37,,T Carbonell / F Roig,QF,6-4 6-7 6-3,D Adams / M Barnard,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
38,,J Eltingh / P Haarhuis,R16,6-4 7-6,W Arthurs / A Kratzmann,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
39,,D Prinosil / B Talbot,R16,WO,M Keil / J Tarango,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
40,,T Kempers / J van Lottum,R16,6-2 7-5,H Davids / C Suk,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
41,,J de Jager / E Ferreira,R16,7-6 7-6,N Broad / P Norval,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
42,,R Gilbert / G Raoux,R16,6-2 6-2,P Nyborg / L Pimek,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
43,,M Oosting / D Vacek,R16,7-6 6-2,M Damm / A Jarryd,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
44,,R Sluiter / P Wessels,R16,6-3 6-2,D Adams / M Barnard,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
45,,Y Kafelnikov / A Olhovskiy,R16,4-6 6-4 7-6,T Carbonell / F Roig,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
46,H2H 1-0,Carsten Arriens,FQ,6-1 6-1,Tim Henman,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
47,H2H 1-0,Petr Luxa,FQ,5-7 7-6 6-2,Andrei Olhovskiy,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
48,H2H 1-0,Davide Sanguinetti,FQ,6-3 6-2,Patrick Baur,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
49,H2H 2-0,Gianluca Pozzi,FQ,6-4 7-6,Omar Camporese,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
50,H2H 1-1,Sander Groen,SFQ,6-1 6-2,Tim Henman,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
51,H2H 1-0,Colin Beecher,SFQ,6-2 4-6 6-3,Carsten Arriens,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
52,H2H 1-1,Ofer Sela,SFQ,5-7 7-6 6-3,Andrei Olhovskiy,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
53,H2H 1-0,Olivier Delaitre,SFQ,6-4 6-3,Petr Luxa,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
54,H2H 4-1,Oleg Ogorodov,SFQ,4-6 6-2 7-5,Davide Sanguinetti,1996-03-04,https://matchstat.com/tennis/tournaments/m/Rotterdam/1996,Rotterdam
