,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 13-3,Ivan Ljubicic,,,5593240.0,243946.0,,11.75,Ivan Ljubicic,,,,,,,,,,,,,,,,2.0,,,,11.75,1.07,F,5-7 7-5 7-6(5),Roger Federer,,,5593240.0,243945.0,,1.069,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
1,H2H 6-1,Mario Ancic,,,5593238.0,243944.0,,8.75,Mario Ancic,,,,,,,,,,,,,,,,2.0,,,,8.75,1.10,SF,7-5 6-3,Roger Federer,,,5593238.0,243943.0,,1.095,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
2,H2H 6-3,Thomas Johansson,,,5593239.0,243941.0,,1.629,Thomas Johansson,,,,,,,,,,,,,,,,1.0,,,,1.63,2.39,SF,7-6(4) 7-5,Ivan Ljubicic,,,5593239.0,243942.0,,2.39,Ivan Ljubicic,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
3,H2H 19-2,Nikolay Davydenko,,,5593234.0,243938.0,,15.0,Nikolay Davydenko,,,,,,,,,,,,,,,,2.0,,,,15.00,1.05,QF,7-5 7-5,Roger Federer,,,5593234.0,243937.0,,1.05,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
4,H2H 2-1,Tim Henman,,,5593235.0,243939.0,,1.637,Tim Henman,,,,,,,,,,,,,,,,1.0,,,,1.64,2.37,QF,7-6(5) 7-6(4),Mario Ancic,,,5593235.0,243940.0,,2.37,Mario Ancic,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
5,H2H 1-1,Radek Stepanek,,,5593236.0,243934.0,,2.03,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,2.03,1.81,QF,6-2 7-6(5),Thomas Johansson,,,5593236.0,243933.0,,1.813,Thomas Johansson,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
6,H2H 5-2,Paradorn Srichaphan,,,5593237.0,243936.0,,2.39,Paradorn Srichaphan,,,,,,,,,,,,,,,,2.0,,,,2.39,1.63,QF,3-6 6-4 6-2,Ivan Ljubicic,,,5593237.0,243935.0,,1.629,Ivan Ljubicic,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
7,H2H 18-3,Stan Wawrinka,,,5593226.0,409636.0,,30.5,Stan Wawrinka,,,,,,,,,,,,,,,,2.0,,,,30.50,1.02,R16,6-1 6-4,Roger Federer,,,5593226.0,409635.0,,1.022,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
8,H2H 9-3,Tomas Berdych,,,5593227.0,243921.0,,2.02,Tomas Berdych,,,,,,,,,,,,,,,,1.0,,,,2.02,1.82,R16,7-6(8) 6-0,Nikolay Davydenko,,,5593227.0,243922.0,,1.82,Nikolay Davydenko,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
9,H2H 3-0,Michael Llodra,,,5593228.0,243932.0,,3.95,Michael Llodra,,,,,,,,,,,,,,,,2.0,,,,3.95,1.29,R16,6-4 6-1,Tim Henman,,,5593228.0,243931.0,,1.286,Tim Henman,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
10,H2H 3-2,Olivier Rochus,,,5593229.0,243926.0,,1.98,Olivier Rochus,,,,,,,,,,,,,,,,2.0,,,,1.98,1.85,R16,6-4 6-3,Mario Ancic,,,5593229.0,243925.0,,1.847,Mario Ancic,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
11,H2H 2-0,Joachim Johansson,,,5593230.0,243927.0,,1.37,Joachim Johansson,,,,,,,,,,,,,,,,1.0,,,,1.37,3.30,R16,6-4 6-4,Thomas Johansson,,,5593230.0,243928.0,,3.3,Thomas Johansson,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
12,H2H 3-2,Juan Carlos Ferrero,,,5593231.0,243923.0,,1.901,Juan Carlos Ferrero,,,,,,,,,,,,,,,,1.0,,,,1.90,1.92,R16,6-4 6-7(6) 6-3,Radek Stepanek,,,5593231.0,243924.0,,1.917,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
13,H2H 3-1,Sjeng Schalken,,,5593232.0,243930.0,,3.15,Sjeng Schalken,,,,,,,,,,,,,,,,2.0,,,,3.15,1.40,R16,6-4 5-7 6-3,Ivan Ljubicic,,,5593232.0,243929.0,,1.4,Ivan Ljubicic,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
14,H2H 1-2,Guillermo Coria,,,5593233.0,243920.0,,1.408,Guillermo Coria,,,,,,,,,,,,,,,,2.0,,,,1.41,3.10,R16,2-6 7-6(2) 6-3,Paradorn Srichaphan,,,5593233.0,243919.0,,3.1,Paradorn Srichaphan,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
15,H2H 4-0,Bohdan Ulihrach,,,5593210.0,243918.0,,29.75,Bohdan Ulihrach,,,,,,,,,,,,,,,,2.0,,,,29.75,1.02,R32,6-3 6-4,Roger Federer,,,5593210.0,243917.0,,1.022,Roger Federer,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
16,H2H 2-0,Sebastien Grosjean,,,5593211.0,409633.0,,1.25,Sebastien Grosjean,,,,,,,,,,,,,,,,1.0,,,,1.25,4.35,R32,7-6(5) 6-2,Stan Wawrinka,,,5593211.0,409634.0,,4.35,Stan Wawrinka,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
17,H2H 4-7,Robin Soderling,,,5593212.0,243462.0,,1.439,Robin Soderling,,,,,,,,,,,,,,,,2.0,,,,1.44,2.98,R32,7-5 6-2,Tomas Berdych,,,5593212.0,243461.0,,2.98,Tomas Berdych,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
18,H2H 7-2,Fernando Verdasco,,,5593213.0,243901.0,,2.48,Fernando Verdasco,,,,,,,,,,,,,,,,1.0,,,,2.48,1.60,R32,7-5 2-6 6-4,Nikolay Davydenko,,,5593213.0,243902.0,,1.595,Nikolay Davydenko,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
19,H2H 6-3,Nicolas Kiefer,,,5593214.0,243908.0,,2.77,Nicolas Kiefer,,,,,,,,,,,,,,,,2.0,,,,2.77,1.50,R32,7-5 6-4,Tim Henman,,,5593214.0,243907.0,,1.5,Tim Henman,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
20,H2H 1-0,Peter Wessels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-7(4) 6-4 6-2,Michael Llodra,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
21,H2H 3-2,Taylor Dent,,,5593216.0,243910.0,,1.714,Taylor Dent,,,,,,,,,,,,,,,,2.0,,,,1.71,2.20,R32,7-6(5) 7-5,Mario Ancic,,,5593216.0,243909.0,,2.2,Mario Ancic,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
22,H2H 3-1,Feliciano Lopez,,,5593217.0,243906.0,,1.606,Feliciano Lopez,,,,,,,,,,,,,,,,2.0,,,,1.61,2.45,R32,6-4 7-6(4),Olivier Rochus,,,5593217.0,243905.0,,2.45,Olivier Rochus,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
23,H2H 1-1,Jimmy Wang,,,5593218.0,243912.0,,18.75,Jimmy Wang,,,,,,,,,,,,,,,,2.0,,,,18.75,1.04,R32,6-2 6-7(2) 6-3,Joachim Johansson,,,5593218.0,243911.0,,1.038,Joachim Johansson,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
24,H2H 1-0,Karol Beck,,,5593219.0,243897.0,,1.699,Karol Beck,,,,,,,,,,,,,,,,1.0,,,,1.70,2.23,R32,6-2 3-6 6-1,Thomas Johansson,,,5593219.0,243898.0,,2.23,Thomas Johansson,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
25,H2H 5-2,Rainer Schuettler,,,5593220.0,243899.0,,1.98,Rainer Schuettler,,,,,,,,,,,,,,,,1.0,,,,1.98,1.85,R32,6-4 6-2,Juan Carlos Ferrero,,,5593220.0,243900.0,,1.847,Juan Carlos Ferrero,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
26,H2H 1-2,David Nalbandian,,,5593221.0,243904.0,,1.435,David Nalbandian,,,,,,,,,,,,,,,,2.0,,,,1.44,3.00,R32,6-2 4-6 6-1,Radek Stepanek,,,5593221.0,243903.0,,3.0,Radek Stepanek,,,,,,,,,,,,,,,,1.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
27,H2H 7-2,Dominik Hrbaty,,,5593222.0,243913.0,,1.926,Dominik Hrbaty,,,,,,,,,,,,,,,,1.0,,,,1.93,1.89,R32,6-4 1-6 6-2,Ivan Ljubicic,,,5593222.0,243914.0,,1.893,Ivan Ljubicic,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
28,H2H 3-2,Andrei Pavel,,,5593223.0,243915.0,,3.15,Andrei Pavel,,,,,,,,,,,,,,,,1.0,,,,3.15,1.39,R32,4-6 7-5 6-4,Sjeng Schalken,,,5593223.0,243916.0,,1.392,Sjeng Schalken,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
29,H2H 2-1,Igor Andreev,,,5593224.0,243463.0,,2.03,Igor Andreev,,,,,,,,,,,,,,,,1.0,,,,2.03,1.81,R32,7-6(4) 1-6 7-5,Paradorn Srichaphan,,,5593224.0,243464.0,,1.813,Paradorn Srichaphan,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
30,H2H 1-0,Raemon Sluiter,,,5593225.0,243895.0,,2.82,Raemon Sluiter,,,,,,,,,,,,,,,,1.0,,,,2.82,1.48,R32,6-2 6-4,Guillermo Coria,,,5593225.0,243896.0,,1.481,Guillermo Coria,,,,,,,,,,,,,,,,2.0,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
31,,C Suk / P Vizner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,6-4 4-6 6-3,J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
32,,M Knowles / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-5 6-4,C Suk / P Vizner,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
33,,W Black / K Ullyett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-3 7-6(9),J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
34,,R Schuettler / P Srichaphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-3 6-4,M Knowles / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
35,,K Beck / M Damm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,5-7 7-6(7) 6-4,C Suk / P Vizner,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
36,,F Lopez / F Verdasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,4-6 7-6(2) 6-4,J Erlich / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
37,,R Sluiter / P Wessels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-3 6-2,W Black / K Ullyett,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
38,,D Hrbaty / T Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-1 6-2,M Knowles / D Nestor,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
39,,R Koenig / J Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-0 6-3,R Schuettler / P Srichaphan,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
40,,S Grosjean / M Llodra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(10) 6-3,C Suk / P Vizner,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
41,,M Van Gemerden / D van Scheppingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-7(2) 6-3 6-4,K Beck / M Damm,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-14,https://matchstat.com/tennis/tournaments/m/Rotterdam/2005,Rotterdam
