,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-1,Juan Aguilera,F,6-2 6-2,Franco Davin,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
1,H2H 3-1,Claudio Pistolesi,SF,6-1 6-1,Juan Aguilera,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
2,H2H 1-3,Tomas Carbonell,SF,7-6 6-2,Franco Davin,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
3,H2H 1-0,Roberto Arguello,QF,6-3 7-5,Claudio Pistolesi,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
4,H2H 1-0,Gustavo Giussani,QF,6-3 6-1,Juan Aguilera,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
5,H2H 2-6,Marcelo Filippini,QF,6-3 6-2,Tomas Carbonell,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
6,H2H 1-0,Andres Vysand,QF,6-2 6-1,Franco Davin,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
7,H2H 1-0,Marko Ostoja,R16,2-6 1-2 Retired,Roberto Arguello,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
8,H2H 2-1,Francesco Cancellotti,R16,6-4 6-1,Claudio Pistolesi,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
9,H2H 2-2,Eduardo Bengoechea,R16,6-1 6-4,Juan Aguilera,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
10,H2H 1-0,Guillermo Rivas,R16,6-1 6-1,Gustavo Giussani,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
11,H2H 1-0,Christer Allgardh,R16,6-2 6-1,Tomas Carbonell,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
12,H2H 2-0,Jaroslav Bulant,R16,6-3 3-6 6-3,Marcelo Filippini,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
13,H2H 2-0,Massimiliano Narducci,R16,6-3 6-3,Franco Davin,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
14,H2H 1-0,Nicklas Kulti,R16,6-4 0-6 7-5,Andres Vysand,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
15,H2H 1-0,Jordi Arrese,R32,7-6 6-1,Roberto Arguello,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
16,H2H 1-0,Arnaud Boetsch,R32,6-3 6-4,Marko Ostoja,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
17,H2H 1-0,Josef Cihak,R32,6-3 3-6 6-4,Claudio Pistolesi,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
18,H2H 2-2,Raul Viver,R32,4-6 6-4 6-3,Francesco Cancellotti,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
19,H2H 1-0,Alejandro Aramburu Acuna,R32,6-2 5-7 6-3,Eduardo Bengoechea,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
20,H2H 3-0,Roberto Azar,R32,6-1 6-0,Juan Aguilera,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
21,H2H 1-0,Cyril Suk,R32,6-3 7-6,Guillermo Rivas,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
22,H2H 2-1,Lawson Duncan,R32,6-3 6-0,Gustavo Giussani,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
23,H2H 2-5,Carlos Costa,R32,5-7 6-3 6-2,Tomas Carbonell,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
24,H2H 1-0,Jose Luis Clerc,R32,6-3 6-1,Christer Allgardh,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
25,H2H 1-0,Claudio Mezzadri,R32,6-3 6-4,Jaroslav Bulant,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
26,H2H 2-0,Simone Colombo,R32,6-3 6-0,Marcelo Filippini,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
27,H2H 1-0,Francisco Yunis,R32,6-0 6-0,Franco Davin,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
28,H2H 2-0,Diego Perez,R32,6-3 4-6 6-2,Massimiliano Narducci,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
29,H2H 2-0,Jose-Luis Aparisi,R32,6-2 6-4,Nicklas Kulti,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
30,H2H 2-1,Renzo Furlan,R32,7-6 6-2,Andres Vysand,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
31,,M Cierro / A De Minicis,F,6-4 6-2,J Cihak / C Suk,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
32,,S Colombo / C Mezzadri,SF,6-4 6-4,J Cihak / C Suk,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
33,,U Colombini / F Nilsson,SF,6-4 7-5,M Cierro / A De Minicis,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
34,,C Caratti / F Mordegan,QF,6-2 6-4,J Cihak / C Suk,1989-08-14,https://matchstat.com/tennis/tournaments/m/Saint%20Vincent/1989,Saint Vincent
