,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-2,Rainer Schuettler,F,6-2 6-4,Sjeng Schalken,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
1,H2H 3-2,Gustavo Kuerten,SF,6-4 2-6 7-5,Rainer Schuettler,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
2,H2H 3-0,Gaston Etlis,SF,6-1 2-0 Retired,Sjeng Schalken,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
3,H2H 1-2,Ramon Delgado,QF,6-1 6-3,Rainer Schuettler,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
4,H2H 2-0,Ricardo Mello,QF,6-2 6-2,Gustavo Kuerten,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
5,H2H 1-1,Kenneth Carlsen,QF,6-4 6-7(2) 6-3,Gaston Etlis,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
6,H2H 4-3,Vince Spadea,QF,7-6(0) 6-2,Sjeng Schalken,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
7,H2H 2-0,Paul Goldstein,R16,6-0 6-1,Rainer Schuettler,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
8,H2H 1-4,Flavio Saretta,R16,2-6 6-3 6-4,Ramon Delgado,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
9,H2H 1-0,Werner Eschauer,R16,6-2 6-1,Gustavo Kuerten,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
10,H2H 3-2,Juan Ignacio Chela,R16,2-6 6-2 6-4,Ricardo Mello,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
11,H2H 1-3,Wesley Moodie,R16,7-5 6-7(5) 6-3,Kenneth Carlsen,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
12,H2H 1-1,Eric Taino,R16,7-5 4-6 7-6(5),Gaston Etlis,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
13,H2H 1-0,Hermes Gamonal,R16,6-1 2-6 3-1 Retired,Vince Spadea,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
14,H2H 2-1,Gregory Carraz,R16,7-5 6-4,Sjeng Schalken,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
15,H2H 2-0,Andre Sa,R32,6-2 6-0,Rainer Schuettler,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
16,H2H 1-1,Federico Browne,R32,6-2 6-0,Paul Goldstein,2003-09-08,https://matchstat.com/tennis/tournaments/m/Salvador/2003,Salvador
