,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 20-14,Jimmy Connors,F,7-6 6-3,John McEnroe,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
1,H2H 7-6,Stefan Edberg,SF,7-6 6-2,John McEnroe,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
2,H2H 4-0,Anders Jarryd,SF,6-7 6-1 2-0 Retired,Jimmy Connors,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
3,H2H 7-1,Jim Grabb,QF,7-6 6-4,Stefan Edberg,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
4,H2H 12-0,John Sadri,QF,6-1 6-4,John McEnroe,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
5,H2H 1-0,David Pate,QF,7-5 6-2,Anders Jarryd,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
6,H2H 2-0,Peter Lundgren,QF,6-3 6-4,Jimmy Connors,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
7,H2H 2-0,Bud Schultz,R16,6-3 6-2,Stefan Edberg,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
8,H2H 2-0,Christo Steyn,R16,6-4 6-4,Jim Grabb,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
9,H2H 1-0,John Letts,R16,6-2 6-2,John McEnroe,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
10,H2H 1-0,Jaime Yzaga,R16,7-5 3-6 6-0,John Sadri,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
11,H2H 3-0,Mike Leach,R16,6-2 7-6,David Pate,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
12,H2H 1-0,Todd Nelson,R16,6-3 6-4,Anders Jarryd,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
13,H2H 5-2,Ramesh Krishnan,R16,6-4 6-1,Peter Lundgren,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
14,H2H 5-0,Peter Fleming,R16,6-3 3-6 6-3,Jimmy Connors,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
15,H2H 3-1,Leonardo Lavalle,R32,6-3 3-6 6-3,Stefan Edberg,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
16,H2H 1-0,Christo Van Rensburg,R32,7-6 6-4,Bud Schultz,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
17,H2H 2-3,Jim Pugh,R32,6-1 6-4,Jim Grabb,1986-09-22,https://matchstat.com/tennis/tournaments/m/San%20Francisco/1986,San Francisco
