,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 10-2,Peter Fleming,F,7-6 7-6,John McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
1,H2H 6-2,Butch Walts,SF,6-4 6-4,John McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
2,H2H 1-2,Nick Saviano,SF,6-4 6-3,Peter Fleming,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
3,H2H 9-3,Bill Scanlon,QF,6-7 7-5 6-4,John McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
4,H2H 4-1,Bruce Manson,QF,7-6 6-7 6-4,Butch Walts,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
5,H2H 3-4,Hank Pfister,QF,1-6 7-5 6-4,Nick Saviano,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
6,H2H 2-2,Ferdi Taygan,QF,6-0 6-7 6-2,Peter Fleming,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
7,H2H 5-0,Terry Moor,R16,6-2 6-2,John McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
8,H2H 3-0,Mark Edmondson,R16,6-1 6-3,Bill Scanlon,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
9,H2H 1-2,J. Fillol,R16,6-3 6-1,Bruce Manson,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
10,H2H 1-0,John James,R16,6-1 6-2,Butch Walts,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
11,H2H 1-1,M. Riessen,R16,6-0 6-4,Nick Saviano,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
12,H2H 2-0,Billy Martin,R16,6-1 6-4,Hank Pfister,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
13,H2H 1-1,John Austin,R16,6-4 7-5,Ferdi Taygan,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
14,H2H 4-2,Vincent Van Patten,R16,6-2 5-7 7-6,Peter Fleming,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
15,H2H 12-0,John Sadri,R32,6-3 7-6,John McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
16,H2H 2-1,Erick Iskersky,R32,6-3 6-2,Terry Moor,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
17,H2H 1-0,Bengtson,R32,4-6 6-3 6-4,Bill Scanlon,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
18,H2H 1-1,Bernie Mitton,R32,3-6 7-5 6-2,Mark Edmondson,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
19,H2H 3-0,Erik Van Dillen,R32,6-3 6-3,Bruce Manson,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
20,H2H 2-1,Jeff Borowiak,R32,6-2 6-4,J. Fillol,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
21,H2H 1-0,John Lucas,R32,6-3 6-2,John James,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
22,H2H 1-0,Bruce Kleege,R32,6-7 6-4 6-1,Butch Walts,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
23,H2H 1-0,Matt Mitchell,R32,7-6 7-5,M. Riessen,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
24,H2H 3-0,John Marks,R32,6-0 7-6,Nick Saviano,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
25,H2H 1-0,Rick Fisher,R32,7-5 6-3,Billy Martin,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
26,H2H 1-0,William Maze,R32,4-6 6-3 6-2,Hank Pfister,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
27,H2H 1-0,Tom Gorman,R32,6-3 7-6,John Austin,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
28,H2H 2-0,Russell Simpson,R32,1-6 6-1 6-0,Ferdi Taygan,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
29,H2H 1-1,Trey Waltke,R32,6-4 6-4,Vincent Van Patten,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
30,H2H 2-0,George Hardie,R32,6-2 7-5,Peter Fleming,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
31,,H Pfister / B Rowe,F,6-3 6-4,P Fleming / J McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
32,,B Bengtson / S Menon,SF,6-2 6-4,P Fleming / J McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
33,,B Mitton / E Van Dillen,SF,7-5 6-3,H Pfister / B Rowe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
34,,G Hardie / M Shore,QF,6-2 6-3,P Fleming / J McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
35,,M Mitchell / V Winitsky,QF,6-3 7-6,B Bengtson / S Menon,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
36,,T Leonard / J Van Linge,QF,6-4 7-6,B Mitton / E Van Dillen,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
37,,M Edmondson / J Marks,QF,6-3 7-6,H Pfister / B Rowe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
38,,J James / T Svensson,R16,6-2 6-2,P Fleming / J McEnroe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
39,,M Friedman / V Van Patten,R16,3-6 6-4 7-6,G Hardie / M Shore,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
40,,J Austin / R Simpson,R16,6-7 7-6 6-3,M Mitchell / V Winitsky,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
41,,W Maze / F Taygan,R16,WO,B Bengtson / S Menon,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
42,,T Graham / J Sadri,R16,6-4 6-7 7-6,T Leonard / J Van Linge,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
43,,R Fisher / T Waltke,R16,6-2 6-4,B Mitton / E Van Dillen,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
44,,B Kleege / P Pearson,R16,6-3 7-5,H Pfister / B Rowe,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
45,,E Alvarez / J Borowiak,R16,6-3 6-3,M Edmondson / J Marks,1979-04-16,https://matchstat.com/tennis/tournaments/m/San%20Jose/1979,San Jose
