,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 7-1,Radek Stepanek,,,5786623.0,260424.0,,3.7,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,3.70,1.25,F,6-4 7-5,Andy Roddick,,,5786623.0,260423.0,,1.25,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
1,H2H 2-1,Guillermo Garcia-Lopez,,,5786621.0,260392.0,,5.0,Guillermo Garcia-Lopez,,,,,,,,,,,,,,,,2.0,,,,5.00,1.15,SF,7-6(2) 6-1,Andy Roddick,,,5786621.0,260391.0,,1.15,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
2,H2H 2-1,Robby Ginepri,,,5786622.0,260388.0,,2.3,Robby Ginepri,,,,,,,,,,,,,,,,2.0,,,,2.30,1.71,SF,6-7(5) 6-4 6-1,Radek Stepanek,,,5786622.0,260387.0,,1.714,Radek Stepanek,,,,,,,,,,,,,,,,1.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
3,H2H 9-3,Mardy Fish,,,5786617.0,260376.0,,5.2,Mardy Fish,,,,,,,,,,,,,,,,2.0,,,,5.20,1.22,QF,7-6(6) 1-6 7-5,Andy Roddick,,,5786617.0,260375.0,,1.217,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
4,H2H 1-2,John Isner,,,5786618.0,260373.0,,1.58,John Isner,,,,,,,,,,,,,,,,1.0,,,,1.58,2.30,QF,7-6(4) 6-7(1) 7-6(11),Guillermo Garcia-Lopez,,,5786618.0,260374.0,,2.3,Guillermo Garcia-Lopez,,,,,,,,,,,,,,,,2.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
5,H2H 2-0,Yen-Hsun Lu,,,5786619.0,260369.0,,4.1,Yen-Hsun Lu,,,,,,,,,,,,,,,,1.0,,,,4.10,1.29,QF,6-2 7-6(5),Radek Stepanek,,,5786619.0,260370.0,,1.294,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
6,H2H 4-6,James Blake,,,5786620.0,260372.0,,1.267,James Blake,,,,,,,,,,,,,,,,2.0,,,,1.27,4.45,QF,6-2 6-2,Robby Ginepri,,,5786620.0,260371.0,,4.45,Robby Ginepri,,,,,,,,,,,,,,,,1.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
7,H2H 1-0,Kei Nishikori,,,5786609.0,260344.0,,4.9,Kei Nishikori,,,,,,,,,,,,,,,,2.0,,,,4.90,1.23,R16,6-2 6-4,Andy Roddick,,,5786609.0,260343.0,,1.233,Andy Roddick,,,,,,,,,,,,,,,,1.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
8,H2H 1-0,Denis Gremelmayr,7.0,2.0,5786610.0,123442.0,,4.0,Denis Gremelmayr,78.0,2.0,0.0,81.0,16.0,98.0,62.0,46.0,36.0,16.0,,,,,,2.0,179.0,,,4.00,1.30,R16,6-7(4) 6-3 6-3,Mardy Fish,19.0,2.0,5786610.0,123441.0,,1.303,Mardy Fish,101.0,12.0,3.0,98.0,36.0,81.0,51.0,43.0,30.0,22.0,,,,,,1.0,179.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
9,H2H 3-3,Tommy Haas,9.0,3.0,5786611.0,123443.0,,1.625,Tommy Haas,93.0,4.0,2.0,97.0,27.0,98.0,67.0,46.0,31.0,20.0,,,,,,1.0,195.0,,,1.63,2.50,R16,4-6 7-6(6) 6-3,John Isner,22.0,5.0,5786611.0,123444.0,,2.5,John Isner,102.0,10.0,2.0,98.0,32.0,97.0,69.0,54.0,28.0,16.0,,,,,,2.0,195.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
10,H2H 1-1,Benjamin Becker,16.0,4.0,5786612.0,123415.0,,1.714,Benjamin Becker,105.0,3.0,3.0,86.0,32.0,123.0,65.0,48.0,58.0,25.0,,,,,,1.0,209.0,,,1.71,2.30,R16,3-6 7-6(3) 6-4,Guillermo Garcia-Lopez,7.0,5.0,5786612.0,123416.0,,2.3,Guillermo Garcia-Lopez,104.0,12.0,3.0,123.0,50.0,86.0,56.0,43.0,30.0,11.0,,,,,,2.0,209.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
11,H2H 1-2,Wayne Odesnik,6.0,2.0,5786613.0,123445.0,,2.1,Wayne Odesnik,57.0,5.0,1.0,66.0,21.0,57.0,35.0,26.0,22.0,10.0,,,,,,1.0,123.0,,,2.10,1.83,R16,6-4 6-4,Yen-Hsun Lu,5.0,3.0,5786613.0,123446.0,,1.833,Yen-Hsun Lu,66.0,8.0,3.0,57.0,21.0,66.0,42.0,31.0,24.0,14.0,,,,,,2.0,123.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
12,H2H 4-0,Bobby Reynolds,6.0,2.0,5786614.0,123417.0,,5.0,Bobby Reynolds,67.0,3.0,1.0,68.0,14.0,77.0,48.0,39.0,29.0,14.0,,,,,,1.0,145.0,,,5.00,1.23,R16,7-5 7-6(5),Radek Stepanek,16.0,1.0,5786614.0,123418.0,,1.227,Radek Stepanek,78.0,3.0,2.0,77.0,24.0,68.0,44.0,38.0,24.0,16.0,,,,,,2.0,145.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
13,H2H 2-0,Kristof Vliegen,6.0,2.0,5786615.0,123419.0,,2.15,Kristof Vliegen,47.0,3.0,0.0,54.0,15.0,61.0,40.0,24.0,21.0,8.0,,,,,,1.0,115.0,,,2.15,1.80,R16,6-2 6-3,Robby Ginepri,3.0,1.0,5786615.0,123420.0,,1.8,Robby Ginepri,68.0,11.0,4.0,61.0,29.0,54.0,28.0,25.0,26.0,14.0,,,,,,2.0,115.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
14,H2H 2-0,Jesse Levine,4.0,1.0,5786616.0,780744.0,,6.9,Jesse Levine,51.0,5.0,0.0,64.0,19.0,49.0,26.0,17.0,23.0,15.0,,,,,,1.0,113.0,,,6.90,1.15,R16,6-3 6-4,James Blake,9.0,2.0,5786616.0,780745.0,,1.154,James Blake,62.0,3.0,2.0,49.0,17.0,64.0,36.0,28.0,28.0,17.0,,,,,,2.0,113.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
15,H2H 1-0,Chris Guccione,20.0,2.0,5786593.0,123412.0,,8.0,Chris Guccione,87.0,0.0,0.0,91.0,16.0,94.0,62.0,52.0,32.0,19.0,,,,,,2.0,185.0,,,8.00,1.13,R32,6-3 6-7(3) 7-6(5),Andy Roddick,9.0,3.0,5786593.0,123411.0,,1.13,Andy Roddick,98.0,2.0,1.0,94.0,23.0,91.0,65.0,55.0,26.0,20.0,,,,,,1.0,185.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
16,H2H 1-0,Diego Hartfield,0.0,3.0,5786594.0,123414.0,,2.8,Diego Hartfield,52.0,5.0,3.0,56.0,23.0,60.0,38.0,19.0,22.0,10.0,,,,,,2.0,116.0,,,2.80,1.40,R32,7-5 6-3,Kei Nishikori,2.0,3.0,5786594.0,123413.0,,1.4,Kei Nishikori,64.0,8.0,6.0,60.0,31.0,56.0,29.0,24.0,27.0,9.0,,,,,,1.0,116.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
17,H2H 1-0,Tim Smyczek,1.0,2.0,5786595.0,123382.0,,8.75,Tim Smyczek,58.0,5.0,2.0,63.0,24.0,67.0,42.0,22.0,25.0,12.0,,,,,,2.0,130.0,,,8.75,1.11,R32,6-3 6-4,Mardy Fish,8.0,3.0,5786595.0,123381.0,,1.111,Mardy Fish,72.0,12.0,4.0,67.0,33.0,63.0,33.0,24.0,30.0,15.0,,,,,,1.0,130.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
18,H2H 1-2,Sam Querrey,7.0,3.0,5786596.0,123384.0,,1.357,Sam Querrey,89.0,7.0,4.0,92.0,32.0,89.0,51.0,37.0,38.0,20.0,,,,,,2.0,181.0,,,1.36,3.60,R32,5-7 7-6(1) 6-3,Denis Gremelmayr,5.0,2.0,5786596.0,123383.0,,3.6,Denis Gremelmayr,92.0,5.0,4.0,89.0,32.0,92.0,51.0,38.0,41.0,22.0,,,,,,1.0,181.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
19,H2H 2-0,Robert Kendrick,11.0,4.0,5786597.0,123422.0,,3.3,Robert Kendrick,81.0,7.0,2.0,89.0,29.0,91.0,54.0,39.0,37.0,13.0,,,,,,2.0,180.0,,,3.30,1.40,R32,6-3 4-6 6-2,Tommy Haas,6.0,4.0,5786597.0,123421.0,,1.4,Tommy Haas,99.0,9.0,4.0,91.0,39.0,89.0,55.0,41.0,34.0,19.0,,,,,,1.0,180.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
20,H2H 2-0,Florent Serra,,,5786598.0,260309.0,,2.6,Florent Serra,,,,,,,,,,,,,,,,1.0,,,,2.60,1.59,R32,7-6(5) 6-4,John Isner,,,5786598.0,260310.0,,1.588,John Isner,,,,,,,,,,,,,,,,2.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
21,H2H 2-0,Marcos Daniel,1.0,2.0,5786599.0,123386.0,,3.6,Marcos Daniel,26.0,2.0,0.0,33.0,10.0,36.0,18.0,10.0,18.0,6.0,,,,,,2.0,69.0,,,3.60,1.36,R32,6-1 3-0 Retired,Benjamin Becker,1.0,3.0,5786599.0,123385.0,,1.357,Benjamin Becker,43.0,8.0,4.0,36.0,20.0,33.0,13.0,10.0,20.0,13.0,,,,,,1.0,69.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
22,H2H 1-3,Jurgen Melzer,,,5786600.0,260308.0,,1.625,Jurgen Melzer,,,,,,,,,,,,,,,,2.0,,,,1.63,2.50,R32,6-2 6-7(5) 7-6(6),Guillermo Garcia-Lopez,,,5786600.0,260307.0,,2.5,Guillermo Garcia-Lopez,,,,,,,,,,,,,,,,1.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
23,H2H 2-2,Donald Young,5.0,6.0,5786601.0,123344.0,,,Donald Young,69.0,3.0,2.0,68.0,18.0,87.0,48.0,34.0,39.0,17.0,,,,,,2.0,155.0,,,,,R32,6-1 5-7 6-4,Wayne Odesnik,1.0,0.0,5786601.0,123343.0,,,Wayne Odesnik,86.0,5.0,5.0,87.0,36.0,68.0,54.0,41.0,14.0,9.0,,,,,,1.0,155.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
24,H2H 1-1,Max Mirnyi,,,5786602.0,260367.0,,1.909,Max Mirnyi,,,,,,,,,,,,,,,,1.0,,,,1.91,2.00,R32,7-6(4) 5-7 6-2,Yen-Hsun Lu,,,5786602.0,260368.0,,2.0,Yen-Hsun Lu,,,,,,,,,,,,,,,,2.0,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
25,H2H 3-1,Benedikt Dorsch,3.0,1.0,5786603.0,123346.0,,2.22,Benedikt Dorsch,57.0,1.0,0.0,61.0,15.0,66.0,41.0,28.0,25.0,14.0,,,,,,2.0,127.0,,,2.22,1.76,R32,7-5 6-4,Bobby Reynolds,13.0,2.0,5786603.0,123345.0,,1.758,Bobby Reynolds,70.0,3.0,2.0,66.0,24.0,61.0,40.0,30.0,21.0,16.0,,,,,,1.0,127.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
26,H2H 1-0,Paul Capdeville,2.0,5.0,5786604.0,123347.0,,4.15,Paul Capdeville,50.0,0.0,0.0,60.0,15.0,59.0,26.0,17.0,33.0,18.0,,,,,,1.0,119.0,,,4.15,1.29,R32,7-6(2) 6-1,Radek Stepanek,12.0,3.0,5786604.0,123348.0,,1.29,Radek Stepanek,69.0,2.0,2.0,59.0,24.0,60.0,43.0,35.0,17.0,10.0,,,,,,2.0,119.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
27,H2H 3-1,Victor Hanescu,6.0,4.0,5786605.0,123350.0,,2.7,Victor Hanescu,63.0,1.0,1.0,61.0,15.0,74.0,52.0,36.0,22.0,12.0,,,,,,2.0,135.0,,,2.70,1.56,R32,6-4 7-6(4),Kristof Vliegen,14.0,0.0,5786605.0,123349.0,,1.556,Kristof Vliegen,72.0,7.0,2.0,74.0,26.0,61.0,40.0,34.0,21.0,12.0,,,,,,1.0,135.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
28,H2H 1-0,Jesse Witten,4.0,4.0,5786606.0,123387.0,,,Jesse Witten,80.0,6.0,3.0,87.0,31.0,85.0,46.0,30.0,39.0,19.0,,,,,,1.0,172.0,,,,,R32,6-2 5-7 6-4,Robby Ginepri,6.0,2.0,5786606.0,123388.0,,,Robby Ginepri,92.0,5.0,5.0,85.0,36.0,87.0,63.0,44.0,24.0,12.0,,,,,,2.0,172.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
29,H2H 3-0,Steve Darcis,12.0,7.0,5786607.0,780738.0,,1.658,Steve Darcis,99.0,11.0,4.0,90.0,38.0,112.0,62.0,42.0,50.0,19.0,,,,,,1.0,202.0,,,1.66,2.42,R32,6-3 2-6 6-4,Jesse Levine,9.0,5.0,5786607.0,780739.0,,2.42,Jesse Levine,103.0,16.0,5.0,112.0,51.0,90.0,49.0,34.0,41.0,18.0,,,,,,2.0,202.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
30,H2H 1-0,Sam Warburg,3.0,4.0,5786608.0,123389.0,,6.9,Sam Warburg,35.0,0.0,0.0,44.0,12.0,44.0,27.0,18.0,17.0,5.0,,,,,,1.0,88.0,,,6.90,1.15,R32,6-3 6-1,James Blake,9.0,6.0,5786608.0,123390.0,,1.154,James Blake,53.0,5.0,4.0,44.0,21.0,44.0,23.0,20.0,21.0,12.0,,,,,,2.0,88.0,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
31,,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,7-6(4) 7-5,S Lipsky / D Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
32,,S Darcis / K Vliegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-2 7-6(2),B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
33,,S Ratiwatana / S Ratiwatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,7-6(3) 6-4,S Lipsky / D Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-18,https://matchstat.com/tennis/tournaments/m/San%20Jose/2008,San Jose
