,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-7,Albert Portas,F,4-6 6-4 6-3,Galo Blanco,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
1,H2H 9-7,Juan-Antonio Marin,SF,6-2 6-4,Albert Portas,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
2,H2H 1-5,Andrea Gaudenzi,SF,6-2 6-2,Galo Blanco,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
3,H2H 2-2,Stefan Koubek,QF,6-4 6-2,Albert Portas,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
4,H2H 3-1,Hernan Gumy,QF,4-6 6-3 6-2,Juan-Antonio Marin,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
5,H2H 4-1,Markus Hipfl,QF,7-6 7-6,Galo Blanco,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
6,H2H 3-3,Julian Alonso,QF,6-1 6-3,Andrea Gaudenzi,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
7,H2H 2-1,Marcelo Filippini,R16,7-5 7-6,Albert Portas,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
8,H2H 3-2,Adrian Voinea,R16,6-3 6-3,Stefan Koubek,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
9,H2H 1-0,Younes El Aynaoui,R16,7-6 4-6 4-0 Retired,Juan-Antonio Marin,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
10,H2H 5-3,Gaston Gaudio,R16,6-3 4-6 6-3,Hernan Gumy,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
11,H2H 1-2,Karim Alami,R16,6-4 6-2,Galo Blanco,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
12,H2H 1-0,Diego Nargiso,R16,7-5 6-3,Markus Hipfl,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
13,H2H 1-1,Franco Squillari,R16,6-2 2-6 7-6,Julian Alonso,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
14,H2H 1-2,Sargis Sargsian,R16,6-4 6-2,Andrea Gaudenzi,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
15,H2H 3-0,Dominik Hrbaty,R32,7-6 1-1 Retired,Marcelo Filippini,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
16,H2H 1-0,Igor Gaudi,R32,6-3 0-6 6-1,Albert Portas,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
17,H2H 2-0,Guillermo Canas,R32,4-6 6-3 6-4,Adrian Voinea,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
18,H2H 1-0,Vincenzo Santopadre,R32,6-4 6-1,Stefan Koubek,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
19,H2H 2-3,Mariano Puerta,R32,3-6 6-3 6-2,Younes El Aynaoui,1999-08-09,https://matchstat.com/tennis/tournaments/m/San%20Marino/1999,San Marino
