,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-4,Francisco Clavet,F,6-3 6-4,Alberto Berasategui,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
1,H2H 7-3,Slava Dosedel,SF,6-4 3-6 6-1,Alberto Berasategui,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
2,H2H 3-6,Alex Corretja,SF,2-6 7-5 6-4,Francisco Clavet,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
3,H2H 3-1,Javier Frana,QF,6-4 7-5,Alberto Berasategui,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
4,H2H 5-1,Jordi Arrese,QF,7-6 6-1,Slava Dosedel,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
5,H2H 6-3,Fernando Meligeni,QF,6-4 6-4,Francisco Clavet,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
6,H2H 1-1,Franco Davin,QF,7-5 6-4,Alex Corretja,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
7,H2H 7-1,Jordi Burillo,R16,6-2 6-1,Alberto Berasategui,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
8,H2H 1-1,Tomas Carbonell,R16,5-7 6-2 6-4,Javier Frana,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
9,H2H 2-0,Cristian Miniussi,R16,6-4 6-4,Slava Dosedel,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
10,H2H 3-1,Gilbert Schaller,R16,6-4 6-3,Jordi Arrese,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
11,H2H 5-1,Gabriel Markus,R16,6-4 6-3,Francisco Clavet,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
12,H2H 1-0,Karel Novacek,R16,4-6 6-4 6-2,Fernando Meligeni,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
13,H2H 3-1,Marcelo Filippini,R16,6-3 6-1,Franco Davin,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
14,H2H 3-1,Emilio Sanchez,R16,1-6 7-6 6-3,Alex Corretja,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
15,H2H 4-6,Marcelo Rios,R32,6-4 3-6 6-1,Alberto Berasategui,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
16,H2H 4-1,Adrian Voinea,R32,6-2 6-0,Jordi Burillo,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
17,H2H 1-0,Oliver Gross,R32,6-2 6-4,Javier Frana,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
18,H2H 1-2,Mats Wilander,R32,6-2 3-6 6-0,Tomas Carbonell,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
19,H2H 3-0,Oscar Martinez Dieguez,R32,6-2 6-4,Slava Dosedel,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
20,H2H 2-0,Martin Rodriguez,R32,6-4 7-6,Cristian Miniussi,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
21,H2H 1-0,Alejo Mancisidor,R32,6-2 6-4,Jordi Arrese,1994-10-24,https://matchstat.com/tennis/tournaments/m/Santiago/1994,Santiago
