,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-2,Juan Monaco,6.0,3.0,5920063.0,140646.0,,1.5,Juan Monaco,87.0,13.0,4.0,93.0,42.0,80.0,51.0,35.0,29.0,10.0,,,,,,2.0,173.0,,,1.50,2.50,F,6-2 0-6 6-4,Thomaz Bellucci,5.0,4.0,5920063.0,140645.0,,2.5,Thomaz Bellucci,86.0,10.0,4.0,80.0,35.0,93.0,61.0,36.0,32.0,15.0,,,,,,1.0,173.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
1,H2H 1-1,Fernando Gonzalez,4.0,8.0,5920061.0,140537.0,,1.22,Fernando Gonzalez,79.0,6.0,2.0,77.0,24.0,90.0,55.0,42.0,35.0,13.0,,,,,,1.0,167.0,,,1.22,4.00,SF,3-6 6-4 6-3,Thomaz Bellucci,2.0,2.0,5920061.0,140538.0,,4.0,Thomaz Bellucci,88.0,7.0,3.0,90.0,35.0,77.0,55.0,41.0,22.0,12.0,,,,,,2.0,167.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
2,H2H 1-0,Joao Souza,2.0,1.0,5920062.0,781428.0,,6.0,Joao Souza,44.0,2.0,1.0,57.0,18.0,47.0,28.0,14.0,19.0,12.0,,,,,,1.0,104.0,,,6.00,1.10,SF,6-1 6-4,Juan Monaco,5.0,3.0,5920062.0,781429.0,,1.1,Juan Monaco,60.0,5.0,4.0,47.0,21.0,57.0,26.0,20.0,31.0,19.0,,,,,,2.0,104.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
3,H2H 1-0,Marcel Granollers,2.0,5.0,5920057.0,140500.0,,6.5,Marcel Granollers,97.0,9.0,3.0,101.0,37.0,102.0,68.0,43.0,34.0,17.0,,,,,,2.0,203.0,,,6.50,1.10,QF,7-6(8) 7-6(9),Fernando Gonzalez,4.0,6.0,5920057.0,140499.0,,1.1,Fernando Gonzalez,106.0,10.0,3.0,102.0,42.0,101.0,66.0,51.0,35.0,13.0,,,,,,1.0,203.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
4,H2H 2-1,Eduardo Schwank,4.0,3.0,5920058.0,140502.0,,2.22,Eduardo Schwank,48.0,0.0,0.0,50.0,10.0,58.0,34.0,28.0,24.0,10.0,,,,,,2.0,108.0,,,2.22,1.65,QF,6-4 6-4,Thomaz Bellucci,6.0,1.0,5920058.0,140501.0,,1.65,Thomaz Bellucci,60.0,6.0,2.0,58.0,20.0,50.0,39.0,33.0,11.0,7.0,,,,,,1.0,108.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
5,H2H 1-2,Alberto Martin,0.0,2.0,5920059.0,781425.0,,1.55,Alberto Martin,45.0,2.0,1.0,55.0,19.0,53.0,31.0,15.0,22.0,11.0,,,,,,2.0,108.0,,,1.55,2.40,QF,6-2 6-4,Joao Souza,5.0,1.0,5920059.0,781424.0,,2.4,Joao Souza,63.0,6.0,4.0,53.0,27.0,55.0,40.0,29.0,15.0,7.0,,,,,,1.0,108.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
6,H2H 1-0,Peter Luczak,5.0,1.0,5920060.0,140503.0,,4.2,Peter Luczak,80.0,10.0,2.0,85.0,28.0,80.0,52.0,37.0,28.0,15.0,,,,,,1.0,165.0,,,4.20,1.20,QF,6-4 3-6 6-3,Juan Monaco,11.0,5.0,5920060.0,140504.0,,1.2,Juan Monaco,85.0,7.0,3.0,80.0,28.0,85.0,54.0,43.0,31.0,14.0,,,,,,2.0,165.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
7,H2H 2-0,Ruben Ramirez Hidalgo,1.0,1.0,5920049.0,781391.0,,9.0,Ruben Ramirez Hidalgo,44.0,3.0,1.0,47.0,12.0,58.0,32.0,20.0,26.0,12.0,,,,,,2.0,105.0,,,9.00,1.05,R16,6-4 6-3,Fernando Gonzalez,8.0,3.0,5920049.0,781390.0,,1.05,Fernando Gonzalez,61.0,7.0,4.0,58.0,26.0,47.0,29.0,25.0,18.0,10.0,,,,,,1.0,105.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
8,H2H 2-1,Lukasz Kubot,2.0,4.0,5920050.0,140158.0,,1.75,Lukasz Kubot,46.0,4.0,1.0,53.0,17.0,55.0,33.0,20.0,22.0,9.0,,,,,,2.0,108.0,,,1.75,2.00,R16,6-4 6-2,Marcel Granollers,4.0,2.0,5920050.0,140157.0,,2.0,Marcel Granollers,62.0,9.0,4.0,55.0,26.0,53.0,40.0,28.0,13.0,8.0,,,,,,1.0,108.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
9,H2H 4-0,Paul Capdeville,4.0,7.0,5920051.0,140480.0,,4.0,Paul Capdeville,118.0,9.0,5.0,107.0,44.0,136.0,95.0,62.0,41.0,12.0,,,,,,2.0,243.0,,,4.00,1.22,R16,5-7 6-4 7-5,Thomaz Bellucci,8.0,4.0,5920051.0,140479.0,,1.22,Thomaz Bellucci,125.0,12.0,6.0,136.0,62.0,107.0,57.0,42.0,50.0,21.0,,,,,,1.0,243.0,,,2010-02-01,https://matchstat.com/tennis/tournaments/m/Santiago/2010,Santiago
