,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Jacco Eltingh,SF,7-6 6-4 7-6,Robbie Weiss,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
1,H2H 1-1,Danilo Marcelino,SF,6-4 3-6 7-6,Jaime Yzaga,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
2,H2H 2-0,Miguel Nido,QF,6-4 6-3,Robbie Weiss,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
3,H2H 2-2,Joao Cunha-Silva,QF,7-5 7-6,Jacco Eltingh,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
4,H2H 3-0,Chris Garner,QF,7-5 7-5,Jaime Yzaga,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
5,H2H 3-4,Luiz Mattar,QF,6-7 6-2 7-6,Danilo Marcelino,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
6,H2H 2-0,Jonathan Canter,R16,7-6 0-6 7-6,Miguel Nido,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
7,H2H 1-0,Eduardo Bengoechea,R16,6-4 6-4,Robbie Weiss,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
8,H2H 1-0,M. Koevermans,R16,6-7 7-5 7-5,Jacco Eltingh,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
9,H2H 3-1,Pedro Rebolledo,R16,6-4 6-2,Joao Cunha-Silva,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
10,H2H 1-0,Cassio Motta,R16,7-5 7-6,Chris Garner,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
11,H2H 1-0,Marcelo Saliola,R16,6-2 7-5,Jaime Yzaga,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
12,H2H 2-4,Javier Frana,R16,7-6 6-4,Danilo Marcelino,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
13,H2H 2-0,Bruno Oresar,R16,7-5 2-6 6-4,Luiz Mattar,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
14,H2H 1-0,Franco Davin,R32,6-2 6-3 6-1,Jonathan Canter,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
15,H2H 1-0,German Lopez-Montoya,R32,6-3 6-7 1-6,Miguel Nido,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
16,H2H 2-1,Martin Wostenholme,R32,6-0 6-1,Eduardo Bengoechea,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
17,H2H 2-0,Xavier Daufresne,R32,6-0 4-6 6-4,Robbie Weiss,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
18,H2H 1-1,Jaime Oncins,R32,6-4 7-5,M. Koevermans,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
19,H2H 2-2,Bart Wuyts,R32,6-3 6-3,Jacco Eltingh,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
20,H2H 1-0,Andrew Sznajder,R32,6-1 6-2,Pedro Rebolledo,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
21,H2H 1-1,Roberto Azar,R32,6-3 7-6,Joao Cunha-Silva,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
22,H2H 5-0,Fernando Roese,R32,6-3 3-6 6-2,Cassio Motta,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
23,H2H 1-1,Mikael Pernfors,R32,6-3 6-0,Chris Garner,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
24,H2H 1-0,Paul Vojtischek,R32,4-6 6-1 6-2,Marcelo Saliola,1990-10-22,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/1990,Sao Paulo
