,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Luca Vanni,13.0,2.0,6404252.0,449714.0,,5.33,Luca Vanni,85.0,4.0,2.0,85.0,25.0,93.0,62.0,41.0,31.0,19.0,16.0,,,,,1.0,178.0,,,5.33,1.20,F,6-4 3-6 7-6(4),Pablo Cuevas,6.0,3.0,6404252.0,449715.0,,1.202,Pablo Cuevas,93.0,4.0,2.0,93.0,33.0,85.0,51.0,37.0,34.0,23.0,15.0,,,,,2.0,178.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
1,H2H 2-0,Joao Souza,4.0,1.0,6404250.0,449711.0,,1.444,Joao Souza,102.0,7.0,2.0,110.0,37.0,103.0,71.0,51.0,32.0,14.0,16.0,,,,,2.0,213.0,,,1.44,3.10,SF,6-4 6-7(5) 6-4,Luca Vanni,10.0,5.0,6404250.0,449710.0,,3.1,Luca Vanni,111.0,6.0,4.0,103.0,38.0,110.0,65.0,49.0,45.0,24.0,16.0,,,,,1.0,213.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
2,H2H 3-1,Santiago Giraldo,1.0,0.0,6404251.0,449712.0,,2.25,Santiago Giraldo,48.0,6.0,1.0,53.0,16.0,55.0,44.0,28.0,11.0,4.0,10.0,,,,,1.0,108.0,,,2.25,1.75,SF,6-4 6-3,Pablo Cuevas,7.0,0.0,6404251.0,449713.0,,1.75,Pablo Cuevas,60.0,6.0,4.0,55.0,23.0,53.0,32.0,26.0,21.0,11.0,9.0,,,,,2.0,108.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
3,H2H 2-3,Dusan Lajovic,3.0,2.0,6404246.0,449703.0,,1.37,Dusan Lajovic,85.0,2.0,1.0,83.0,24.0,88.0,64.0,50.0,24.0,11.0,12.0,,,,,2.0,171.0,,,1.37,3.50,QF,7-6(5) 7-6(4),Luca Vanni,10.0,2.0,6404246.0,449702.0,,3.5,Luca Vanni,86.0,6.0,1.0,88.0,27.0,83.0,54.0,40.0,29.0,19.0,12.0,,,,,1.0,171.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
4,H2H 1-5,Leonardo Mayer,13.0,1.0,6404247.0,449704.0,,1.444,Leonardo Mayer,89.0,9.0,1.0,101.0,35.0,74.0,52.0,41.0,22.0,13.0,14.0,,,,,1.0,175.0,,,1.44,3.10,QF,6-4 3-6 6-3,Joao Souza,0.0,4.0,6404247.0,449705.0,,3.1,Joao Souza,86.0,5.0,2.0,74.0,20.0,101.0,68.0,52.0,33.0,14.0,14.0,,,,,2.0,175.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
5,H2H 3-5,Fabio Fognini,4.0,2.0,6404248.0,449707.0,,1.63,Fabio Fognini,73.0,8.0,2.0,76.0,25.0,80.0,53.0,36.0,27.0,12.0,12.0,,,,,2.0,156.0,,,1.63,2.50,QF,7-6(4) 7-5,Santiago Giraldo,0.0,0.0,6404248.0,449706.0,,2.5,Santiago Giraldo,83.0,5.0,3.0,80.0,32.0,76.0,53.0,40.0,23.0,11.0,12.0,,,,,1.0,156.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
6,H2H 4-0,Nicolas Almagro,7.0,2.0,6404249.0,449709.0,,1.9,Nicolas Almagro,85.0,7.0,2.0,92.0,28.0,84.0,48.0,38.0,36.0,19.0,14.0,,,,,2.0,176.0,,,1.90,2.05,QF,7-6(6) 3-6 6-2,Pablo Cuevas,9.0,0.0,6404249.0,449708.0,,2.05,Pablo Cuevas,91.0,3.0,2.0,84.0,27.0,92.0,58.0,44.0,34.0,20.0,15.0,,,,,1.0,176.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
7,H2H 1-1,Thiemo de Bakker,8.0,2.0,6404238.0,449687.0,,1.37,Thiemo de Bakker,94.0,8.0,3.0,106.0,40.0,77.0,47.0,39.0,30.0,15.0,15.0,,,,,2.0,183.0,,,1.37,3.45,R16,7-6(5) 3-6 6-3,Luca Vanni,14.0,3.0,6404238.0,449686.0,,3.45,Luca Vanni,89.0,3.0,3.0,77.0,23.0,106.0,60.0,42.0,46.0,24.0,15.0,,,,,1.0,183.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
8,H2H 1-0,Fernando Verdasco,8.0,5.0,6404239.0,449689.0,,1.37,Fernando Verdasco,101.0,4.0,0.0,115.0,37.0,90.0,53.0,42.0,37.0,22.0,15.0,,,,,2.0,205.0,,,1.37,3.45,R16,6-7(6) 6-3 6-4,Dusan Lajovic,9.0,2.0,6404239.0,449688.0,,3.45,Dusan Lajovic,104.0,6.0,2.0,90.0,26.0,115.0,79.0,62.0,36.0,16.0,16.0,,,,,1.0,205.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
9,H2H 2-3,Albert Ramos-Vinolas,3.0,2.0,6404240.0,449691.0,,2.6,Albert Ramos-Vinolas,81.0,10.0,2.0,86.0,31.0,82.0,55.0,38.0,27.0,12.0,13.0,,,,,2.0,168.0,,,2.60,1.57,R16,6-4 3-6 6-1,Leonardo Mayer,9.0,1.0,6404240.0,449690.0,,1.571,Leonardo Mayer,87.0,11.0,4.0,82.0,32.0,86.0,48.0,35.0,38.0,20.0,13.0,,,,,1.0,168.0,,,2015-02-09,https://matchstat.com/tennis/tournaments/m/Sao%20Paulo/2015,Sao Paulo
