,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Nick Saviano,F,7-6 0-6 7-5,Tomas Smid,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
1,H2H 3-0,Pat Du Pre,SF,6-7 6-4 6-4,Nick Saviano,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
2,H2H 2-0,John Yuill,SF,6-3 6-2,Tomas Smid,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
3,H2H 1-0,R. Laver,QF,6-0 6-4,Pat Du Pre,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
4,H2H 2-2,Bernie Mitton,QF,6-2 7-6,Nick Saviano,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
5,H2H 1-0,Bengtson,QF,6-7 6-4 6-3,Tomas Smid,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
6,H2H 1-0,Jiri Granat,QF,5-7 6-2 6-4,John Yuill,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
7,H2H 2-3,J. Fillol,R16,6-3 3-6 6-4,Pat Du Pre,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
8,H2H 2-0,C. Pasarell,R16,6-2 7-6,R. Laver,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
9,H2H 1-0,Hubertus Hoyt,R16,6-1 6-2,Bernie Mitton,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
10,H2H 1-0,Christophe Roger-Vasselin,R16,6-0 6-3,Nick Saviano,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
11,H2H 1-0,Eliot Teltscher,R16,5-7 7-6 6-2,Bengtson,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
12,H2H 1-0,D. Palm,R16,6-0 6-2,Tomas Smid,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
13,H2H 2-0,Geoff Masters,R16,6-4 4-6 7-6,John Yuill,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
14,H2H 1-0,Byron Bertram,R16,6-2 2-6 6-4,Jiri Granat,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
15,H2H 2-2,R. Taylor,R32,2-6 6-3 7-6,J. Fillol,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
16,H2H 1-0,Rick Fagel,R32,6-3 6-2,Pat Du Pre,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
17,H2H 1-1,Cliff Richey,R32,7-5 7-6,C. Pasarell,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
18,H2H 1-0,Howard Schoenfield,R32,6-0 3-6 6-4,R. Laver,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
19,H2H 1-0,Marcelo Lara,R32,6-7 6-4 6-3,Hubertus Hoyt,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
20,H2H 1-1,Paul McNamee,R32,7-6 6-1,Bernie Mitton,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
21,H2H 1-1,Carlos Kirmayr,R32,7-6 3-6 6-2,Christophe Roger-Vasselin,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
22,H2H 1-3,George Hardie,R32,6-3 6-4,Nick Saviano,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
23,H2H 1-0,Billy Martin,R32,6-7 7-6 7-6,Bengtson,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
24,H2H 2-0,Erik Van Dillen,R32,3-6 6-2 6-1,Eliot Teltscher,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
25,H2H 1-0,Zan Guerry,R32,6-2 6-3,D. Palm,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
26,H2H 1-0,Ismail El Shafei,R32,6-0 6-4,Tomas Smid,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
27,H2H 1-0,Keith Richardson,R32,6-3 6-4,Geoff Masters,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
28,H2H 1-0,Colin Dowdeswell,R32,6-3 6-3,John Yuill,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
29,H2H 1-0,John James,R32,6-4 6-2,Jiri Granat,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
30,H2H 1-0,Ian Fletcher,R32,6-1 3-6 6-1,Byron Bertram,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
31,,B Bertram / B Mitton,F,2-6 6-3 6-2,C Dowdeswell / G Masters,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
32,,J James / P McNamee,SF,6-3 6-7 7-6,C Dowdeswell / G Masters,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
33,,R Fagel / R Laver,SF,6-4 6-4,B Bertram / B Mitton,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
34,,J Norback / D Palm,QF,7-6 6-1,C Dowdeswell / G Masters,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
35,,A Fillol / J Fillol,QF,6-2 6-4,J James / P McNamee,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
36,,R Benavides Saravia / C Roger-Vasselin,QF,WO,R Fagel / R Laver,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
37,,J Bailey / M Lara,QF,6-3 6-2,B Bertram / B Mitton,1978-01-23,https://matchstat.com/tennis/tournaments/m/Sarasota/1978,Sarasota
