,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Jamie Morgan,F,6-2 6-7 6-2,Wayne Ferreira,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
1,H2H 2-2,Andrei Chesnokov,SF,6-4 6-2,Wayne Ferreira,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
2,H2H 1-1,Emilio Sanchez,SF,6-4 7-6,Jamie Morgan,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
3,H2H 4-0,Andrei Olhovskiy,QF,6-1 7-6,Andrei Chesnokov,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
4,H2H 7-1,Richard Fromberg,QF,6-7 6-3 6-3,Wayne Ferreira,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
5,H2H 3-3,Francisco Clavet,QF,6-1 6-2,Emilio Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
6,H2H 2-0,Paul Haarhuis,QF,6-3 3-6 7-6,Jamie Morgan,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
7,H2H 1-2,Michael Stich,R16,6-2 7-6,Andrei Olhovskiy,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
8,H2H 2-2,Luiz Mattar,R16,6-4 6-3,Andrei Chesnokov,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
9,H2H 2-0,Leonardo Lavalle,R16,6-4 6-0,Wayne Ferreira,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
10,H2H 6-3,Javier Sanchez,R16,6-1 6-2,Richard Fromberg,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
11,H2H 4-0,Jacco Eltingh,R16,4-6 6-4 6-1,Emilio Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
12,H2H 3-1,Thierry Champion,R16,4-6 6-2 6-2,Francisco Clavet,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
13,H2H 1-0,Luis-Enrique Herrera,R16,7-5 6-4,Paul Haarhuis,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
14,H2H 2-0,Mark Woodforde,R16,6-2 6-4,Jamie Morgan,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
15,H2H 1-0,Martin Blackman,R32,6-3 7-6,Michael Stich,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
16,H2H 2-1,Francisco Roig,R32,6-1 6-3,Andrei Olhovskiy,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
17,H2H 3-0,Todd Witsken,R32,6-4 6-3,Luiz Mattar,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
18,H2H 1-1,Michiel Schapers,R32,6-4 7-6,Andrei Chesnokov,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
19,H2H 1-0,Grant Doyle,R32,7-5 6-2,Wayne Ferreira,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
20,H2H 1-0,Diego Nargiso,R32,5-7 6-1 6-1,Leonardo Lavalle,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
21,H2H 1-3,Simon Youl,R32,7-5 6-3,Richard Fromberg,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
22,H2H 1-3,Yevgeny Kafelnikov,R32,6-4 6-4,Javier Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
23,H2H 1-0,Markus Naewie,R32,6-3 7-5,Emilio Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
24,H2H 1-0,Sergio Casal,R32,6-4 7-6,Jacco Eltingh,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
25,H2H 1-0,Todd Woodbridge,R32,6-4 6-2,Thierry Champion,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
26,H2H 2-1,Jaime Yzaga,R32,6-4 6-2,Francisco Clavet,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
27,H2H 1-0,German Lopez-Montoya,R32,3-3 Retired,Paul Haarhuis,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
28,H2H 1-0,Rodolphe Gilbert,R32,6-3 6-3,Luis-Enrique Herrera,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
29,H2H 1-0,Brian Dunn,R32,6-2 6-4,Jamie Morgan,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
30,H2H 2-0,Carlos Costa,R32,6-2 6-3,Mark Woodforde,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
31,,S Casal / E Sanchez,F,6-3 6-4,J Eltingh / P Haarhuis,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
32,,B Joelson / R Matuszewski,SF,6-2 6-7 6-3,S Casal / E Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
33,,L Lavalle / J Yzaga,SF,6-4 6-2,J Eltingh / P Haarhuis,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
34,,D Eisenman / T Scherman,QF,6-3 3-6 7-5,S Casal / E Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
35,,D Nargiso / J Sanchez,QF,6-3 6-4,B Joelson / R Matuszewski,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
36,,L Mattar / C Motta,QF,6-3 7-6,J Eltingh / P Haarhuis,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
37,,F Clavet / C Costa,QF,6-3 6-1,L Lavalle / J Yzaga,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
38,,R Fromberg / S Youl,R16,7-6 6-3,S Casal / E Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
39,,T Carbonell / F Roig,R16,4-1 Retired,D Eisenman / T Scherman,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
40,,A Kratzmann / J Morgan,R16,6-4 6-4,D Nargiso / J Sanchez,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
41,,M Lucena / B Pedersen,R16,6-2 6-3,B Joelson / R Matuszewski,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
42,,T Mercer / D Nainkin,R16,7-6 7-5,L Mattar / C Motta,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
43,,L Herrera / T Svantesson,R16,4-6 7-6 6-4,J Eltingh / P Haarhuis,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
44,,B Dunn / Y Kafelnikov,R16,6-4 6-4,L Lavalle / J Yzaga,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
45,,D Adams / A Olhovskiy,R16,7-5 6-0,F Clavet / C Costa,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
46,H2H 2-0,Grant Doyle,FQ,6-2 6-2,Richard Fromberg,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
47,H2H 1-0,Mikael Stadling,FQ,4-6 7-5 7-6,Yevgeny Kafelnikov,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
48,H2H 1-0,Jamie Morgan,FQ,7-6 6-7 7-5,Martin Blackman,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
49,H2H 1-0,David Nainkin,FQ,6-3 7-5,Sergio Casal,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
50,H2H 1-0,Keith Evans,SFQ,6-3 6-1,Richard Fromberg,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
51,H2H 1-0,Juan-Albert Viloca-Puig,SFQ,6-2 0-6 6-1,Grant Doyle,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
52,H2H 1-0,Marten Renstrom,SFQ,6-3 3-6 6-3,Mikael Stadling,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
53,H2H 1-0,Leander Paes,SFQ,6-3 7-6,Yevgeny Kafelnikov,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
54,H2H 1-0,Paolo Pambianco,SFQ,6-3 6-3,Jamie Morgan,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
55,H2H 1-0,Paul Koscielski,SFQ,6-1 6-2,Martin Blackman,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
56,H2H 2-1,Lionel Roux,SFQ,7-6 7-6,David Nainkin,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
57,H2H 1-0,Stephane Sansoni,SFQ,6-2 3-1 Retired,Sergio Casal,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
58,H2H 1-0,Ivan Baron,QFQ,4-6 6-2 6-3,Richard Fromberg,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
59,H2H 1-0,Derek Farren,QFQ,6-1 6-4,Keith Evans,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
60,H2H 1-0,Otis Smith,QFQ,6-1 3-6 6-4,Juan-Albert Viloca-Puig,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
61,H2H 2-3,Mark Petchey,QFQ,6-1 2-6 6-3,Grant Doyle,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
62,H2H 1-0,Jordi Burillo,QFQ,6-4 6-3,Mikael Stadling,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
63,H2H 1-0,Travis Boyd,QFQ,6-1 4-6 6-3,Marten Renstrom,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
64,H2H 1-0,Doug Eisenman,QFQ,6-3 6-2,Yevgeny Kafelnikov,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
65,H2H 1-0,Ryuso Tsujino,QFQ,7-5 6-3,Leander Paes,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
66,H2H 1-0,Dick Bosse,QFQ,6-2 7-5,Jamie Morgan,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
67,H2H 1-0,Paul Kilderry,QFQ,6-4 3-6 6-2,Paolo Pambianco,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
68,H2H 1-1,Louis Gloria,QFQ,6-2 6-2,Paul Koscielski,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
69,H2H 2-0,Chris Bailey,QFQ,6-2 6-4,Martin Blackman,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
70,H2H 2-2,Slava Dosedel,QFQ,7-5 6-3,Lionel Roux,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
71,H2H 1-0,Kevin Werwie,QFQ,3-6 6-1 6-4,David Nainkin,1992-08-24,https://matchstat.com/tennis/tournaments/m/Schenectady/1992,Schenectady
