,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Richey Reneberg,F,6-4 7-6,Mark Philippoussis,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
1,H2H 5-3,Chris Woodruff,SF,4-6 7-6 6-2,Mark Philippoussis,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
2,H2H 2-1,Jonas Bjorkman,SF,6-3 6-3,Richey Reneberg,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
3,H2H 5-1,Byron Black,QF,7-5 6-3,Mark Philippoussis,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
4,H2H 1-1,Carlos Moya,QF,7-6 5-7 6-3,Chris Woodruff,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
5,H2H 3-1,Albert Costa,QF,6-4 2-6 6-4,Jonas Bjorkman,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
6,H2H 2-0,Jerome Golmard,QF,6-4 6-2,Richey Reneberg,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
7,H2H 1-1,Sandon Stolle,R16,6-4 5-7 7-5,Byron Black,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
8,H2H 1-0,Bryan Shelton,R16,6-4 6-1,Mark Philippoussis,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
9,H2H 3-0,Christian Ruud,R16,4-6 6-4 7-6,Carlos Moya,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
10,H2H 1-0,Javier Sanchez,R16,4-6 6-3 7-6,Chris Woodruff,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
11,H2H 5-6,Patrick Rafter,R16,3-6 6-1 7-6,Jonas Bjorkman,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
12,H2H 3-3,Sergio Bruguera,R16,6-4 6-7 7-5,Albert Costa,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
13,H2H 2-1,Hernan Gumy,R16,2-6 6-1 6-2,Richey Reneberg,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
14,H2H 1-0,Andrei Medvedev,R16,7-6 3-6 6-4,Jerome Golmard,1997-03-03,https://matchstat.com/tennis/tournaments/m/Scottsdale/1997,Scottsdale
