,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,M. Mulligan,F,6-3 7-5 6-1,Adriano Panatta,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
1,H2H 1-0,Paolo Bertolucci,SF,6-2 6-7 6-4,M. Mulligan,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
2,H2H 2-1,F. Pala,SF,1-6 6-4 6-4,Adriano Panatta,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
3,H2H 1-0,Sergio Palmieri,QF,6-4 6-3,M. Mulligan,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
4,H2H 1-0,Giordano Majoli,QF,2-6 6-1 6-4,Paolo Bertolucci,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
5,H2H 1-0,Ezio Di Matteo,QF,4-6 6-3 7-5,F. Pala,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
6,H2H 1-0,Atet Wijono,QF,6-3 6-3,Adriano Panatta,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
7,H2H 1-0,Piero Toci,R16,6-4 7-6,M. Mulligan,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
8,H2H 1-0,Antonio Zugarelli,R16,7-5 6-3,Sergio Palmieri,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
9,H2H 1-0,Petre Marmureanu,R16,6-0 6-3,Paolo Bertolucci,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
10,H2H 1-0,Massimo Di Domenico,R16,6-3 6-3,Giordano Majoli,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
11,H2H 1-0,Franco Bartoni,R16,6-0 3-6 6-1,Ezio Di Matteo,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
12,H2H 1-0,Vittorio Crotta,R16,6-3 6-4,F. Pala,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
13,H2H 1-0,Maurizio Aracri,R16,6-4 6-7 6-4,Atet Wijono,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
14,H2H 2-0,Vincenzo Franchitti,R16,6-4 5-7 6-2,Adriano Panatta,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
15,H2H 1-0,Giuseppe Belli,R32,6-3 6-4,M. Mulligan,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
16,H2H 2-0,Gondo Widjojo,R32,7-5 6-1,Piero Toci,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
17,H2H 1-0,Mauro Rezzonico,R32,6-3 7-5,Antonio Zugarelli,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
18,H2H 1-0,Giovanni Capozza,R32,6-2 6-4,Sergio Palmieri,1971-08-02,https://matchstat.com/tennis/tournaments/m/Senigallia/1971,Senigallia
