,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-1,Jeff Tarango,F,6-4 1-6 7-6,Patrick Baur,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
1,H2H 2-0,Shuzo Matsuoka,SF,7-6 6-2,Patrick Baur,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
2,H2H 1-0,Luis-Enrique Herrera,SF,2-6 7-5 6-2,Jeff Tarango,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
3,H2H 1-3,Jan Siemerink,QF,4-6 6-2 6-4,Shuzo Matsuoka,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
4,H2H 1-0,Richard Krajicek,QF,7-5 6-7 6-2,Patrick Baur,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
5,H2H 1-0,Gilad Bloom,QF,6-1 7-6,Jeff Tarango,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
6,H2H 1-0,Alex Antonitsch,QF,6-1 6-2,Luis-Enrique Herrera,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
7,H2H 2-0,Karsten Braasch,R16,3-6 7-6 6-3,Jan Siemerink,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
8,H2H 1-0,Girts Dzelde,R16,6-2 6-1,Shuzo Matsuoka,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
9,H2H 1-0,Dan Goldie,R16,7-6 6-0,Richard Krajicek,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
10,H2H 1-0,Scott Melville,R16,6-2 6-1,Patrick Baur,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
11,H2H 1-0,Eui-Jong Chang,R16,6-4 6-1,Gilad Bloom,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
12,H2H 1-0,Seung-Ho Ji,R16,2-6 6-2 6-1,Jeff Tarango,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
13,H2H 4-2,Bryan Shelton,R16,6-3 6-3,Luis-Enrique Herrera,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
14,H2H 1-0,Menno Oosting,R16,6-0 6-2,Alex Antonitsch,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
15,H2H 1-0,Nick Brown,R32,6-4 2-6 6-2,Jan Siemerink,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
16,H2H 1-1,Andrew Sznajder,R32,6-1 6-1,Karsten Braasch,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
17,H2H 1-0,Paul Wekesa,R32,6-4 6-4,Girts Dzelde,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
18,H2H 1-1,Patrik Kuhnen,R32,7-5 4-6 6-2,Shuzo Matsuoka,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
19,H2H 2-0,Jan Apell,R32,6-1 6-4,Richard Krajicek,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
20,H2H 1-0,Eduardo Masso,R32,2-6 6-1 6-3,Dan Goldie,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
21,H2H 1-0,Sandon Stolle,R32,6-1 7-5,Scott Melville,1991-04-15,https://matchstat.com/tennis/tournaments/m/Seoul/1991,Seoul
