,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Sjeng Schalken,F,6-4 4-6 6-3,Magnus Norman,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
1,H2H 4-0,Michael Chang,SF,6-3 6-1,Magnus Norman,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
2,H2H 2-0,Alex Calatrava,SF,6-4 3-6 6-3,Sjeng Schalken,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
3,H2H 6-1,Jonas Bjorkman,QF,7-6(8) 0-6 6-2,Magnus Norman,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
4,H2H 1-0,Nicolas Massu,QF,7-5 6-3,Michael Chang,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
5,H2H 0-0,Byron Black,QF,WO,Alex Calatrava,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
6,H2H 6-2,Nicolas Lapentti,QF,6-3 6-4,Sjeng Schalken,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
7,H2H 1-0,Andre Sa,R16,6-4 6-2,Magnus Norman,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
8,H2H 5-2,Wayne Arthurs,R16,6-4 7-6(5),Jonas Bjorkman,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
9,H2H 1-0,Paul Goldstein,R16,6-3 6-4,Michael Chang,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
10,H2H 2-2,Mikhail Youzhny,R16,7-6(14) 6-1,Nicolas Massu,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
11,H2H 4-1,Andrei Stoliarov,R16,7-6(5) 7-6(3),Alex Calatrava,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
12,H2H 0-2,Laurence Tieleman,R16,WO,Byron Black,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
13,H2H 2-1,Jason Stoltenberg,R16,1-6 6-3 6-4,Sjeng Schalken,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
14,H2H 1-2,George Bastl,R16,6-3 6-2,Nicolas Lapentti,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
15,H2H 2-0,Andrea Gaudenzi,R32,6-3 6-7(4) 6-4,Magnus Norman,2000-10-16,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2000,Shanghai Masters
