,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 6-5,Rafael Nadal,1.0,0.0,5906195.0,138161.0,,1.5,Rafael Nadal,63.0,4.0,1.0,76.0,25.0,61.0,42.0,29.0,19.0,9.0,,,,,,1.0,137.0,,,1.50,2.50,F,7-6(3) 6-3,Nikolay Davydenko,4.0,1.0,5906195.0,138162.0,,2.5,Nikolay Davydenko,74.0,7.0,2.0,61.0,23.0,76.0,53.0,39.0,23.0,12.0,,,,,,2.0,137.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
1,H2H 9-4,Feliciano Lopez,1.0,0.0,5906193.0,138154.0,,6.5,Feliciano Lopez,14.0,0.0,0.0,24.0,4.0,31.0,12.0,5.0,19.0,5.0,,,,,,2.0,55.0,,,6.50,1.10,SF,6-1 3-0 Retired,Rafael Nadal,1.0,0.0,5906193.0,138153.0,,1.1,Rafael Nadal,41.0,6.0,4.0,31.0,21.0,24.0,14.0,12.0,10.0,8.0,,,,,,1.0,55.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
2,H2H 2-6,Novak Djokovic,5.0,2.0,5906194.0,138156.0,,1.45,Novak Djokovic,108.0,7.0,1.0,99.0,32.0,120.0,77.0,50.0,43.0,26.0,,,,,,2.0,219.0,,,1.45,2.65,SF,4-6 6-4 7-6(1),Nikolay Davydenko,5.0,1.0,5906194.0,138155.0,,2.65,Nikolay Davydenko,111.0,9.0,1.0,120.0,44.0,99.0,66.0,49.0,33.0,18.0,,,,,,1.0,219.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
3,H2H 7-2,Ivan Ljubicic,12.0,3.0,5906189.0,138140.0,,7.0,Ivan Ljubicic,55.0,6.0,1.0,55.0,17.0,60.0,38.0,27.0,22.0,11.0,,,,,,2.0,115.0,,,7.00,1.08,QF,3-6 6-3 0-0 Retired,Rafael Nadal,2.0,2.0,5906189.0,138139.0,,1.08,Rafael Nadal,60.0,6.0,1.0,60.0,22.0,55.0,41.0,28.0,14.0,10.0,,,,,,1.0,115.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
4,H2H 4-5,Robin Soderling,11.0,3.0,5906190.0,138126.0,,1.18,Robin Soderling,63.0,4.0,1.0,75.0,23.0,58.0,37.0,29.0,21.0,11.0,,,,,,2.0,133.0,,,1.18,4.60,QF,7-6(4) 6-3,Feliciano Lopez,10.0,1.0,5906190.0,138125.0,,4.6,Feliciano Lopez,70.0,5.0,2.0,58.0,18.0,75.0,41.0,28.0,34.0,24.0,,,,,,1.0,133.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
5,H2H 7-4,Radek Stepanek,7.0,2.0,5906191.0,138128.0,,3.3,Radek Stepanek,81.0,9.0,2.0,87.0,34.0,92.0,51.0,33.0,41.0,14.0,,,,,,2.0,179.0,,,3.30,1.32,QF,6-1 4-6 6-1,Nikolay Davydenko,5.0,2.0,5906191.0,138127.0,,1.32,Nikolay Davydenko,98.0,14.0,6.0,92.0,45.0,87.0,60.0,40.0,27.0,13.0,,,,,,1.0,179.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
6,H2H 10-1,Gilles Simon,4.0,1.0,5906192.0,138141.0,,3.7,Gilles Simon,88.0,9.0,5.0,84.0,38.0,97.0,51.0,31.0,46.0,19.0,,,,,,1.0,181.0,,,3.70,1.27,QF,6-3 2-6 6-2,Novak Djokovic,1.0,5.0,5906192.0,138142.0,,1.27,Novak Djokovic,93.0,14.0,6.0,97.0,47.0,84.0,52.0,32.0,32.0,14.0,,,,,,2.0,181.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
7,H2H 7-0,Tommy Robredo,2.0,2.0,5906181.0,138108.0,,8.0,Tommy Robredo,48.0,2.0,1.0,57.0,19.0,57.0,33.0,20.0,24.0,9.0,,,,,,2.0,114.0,,,8.00,1.05,R16,6-1 6-4,Rafael Nadal,0.0,2.0,5906181.0,138107.0,,1.05,Rafael Nadal,66.0,10.0,4.0,57.0,28.0,57.0,42.0,29.0,15.0,9.0,,,,,,1.0,114.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
8,H2H 4-3,Gael Monfils,0.0,2.0,5906182.0,138103.0,,1.32,Gael Monfils,23.0,0.0,0.0,25.0,5.0,39.0,33.0,16.0,6.0,2.0,,,,,,1.0,64.0,,,1.32,3.30,R16,6-2 3-0 Retired,Ivan Ljubicic,5.0,0.0,5906182.0,138104.0,,3.3,Ivan Ljubicic,41.0,5.0,4.0,39.0,21.0,25.0,19.0,17.0,6.0,3.0,,,,,,2.0,64.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
9,H2H 2-5,Jurgen Melzer,17.0,4.0,5906183.0,138109.0,,1.65,Jurgen Melzer,92.0,6.0,2.0,100.0,32.0,94.0,52.0,40.0,42.0,20.0,,,,,,1.0,194.0,,,1.65,2.25,R16,5-7 7-6(3) 6-1,Feliciano Lopez,15.0,3.0,5906183.0,138110.0,,2.25,Feliciano Lopez,102.0,4.0,3.0,94.0,34.0,100.0,57.0,44.0,43.0,24.0,,,,,,2.0,194.0,,,2009-10-12,https://matchstat.com/tennis/tournaments/m/Shanghai%20Masters/2009,Shanghai Masters
