,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Mikael Tillstrom,F,6-2 7-6,Marcelo Rios,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
1,H2H 2-2,Lleyton Hewitt,SF,7-5 6-3,Marcelo Rios,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
2,H2H 1-0,Paradorn Srichaphan,SF,6-4 3-6 6-3,Mikael Tillstrom,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
3,H2H 3-1,Jan-Michael Gambill,QF,6-4 6-4,Marcelo Rios,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
4,H2H 1-0,John van Lottum,QF,6-4 6-2,Lleyton Hewitt,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
5,H2H 1-0,Andrew Ilie,QF,7-5 3-6 7-6,Paradorn Srichaphan,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
6,H2H 1-0,Ivan Ljubicic,QF,7-6 4-6 6-3,Mikael Tillstrom,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
7,H2H 4-0,Daniel Nestor,R16,6-4 6-1,Marcelo Rios,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
8,H2H 4-3,Michael Chang,R16,6-2 7-6,Jan-Michael Gambill,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
9,H2H 3-0,Kenneth Carlsen,R16,6-1 6-2,Lleyton Hewitt,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
10,H2H 4-1,Todd Woodbridge,R16,6-4 6-0,John van Lottum,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
11,H2H 3-0,Stephane Huet,R16,7-6 5-7 6-3,Andrew Ilie,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
12,H2H 4-0,Antony Dupuis,R16,6-4 6-1,Paradorn Srichaphan,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
13,H2H 2-1,Jonas Bjorkman,R16,3-6 6-4 6-3,Mikael Tillstrom,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
14,H2H 1-0,Mark Philippoussis,R16,3-6 7-5 7-6,Ivan Ljubicic,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
15,H2H 1-0,Fredrik Jonsson,R32,6-4 6-2,Marcelo Rios,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
16,H2H 1-0,Cecil Mamiit,R32,6-3 4-6 6-4,Daniel Nestor,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
17,H2H 1-0,Leander Paes,R32,6-1 6-3,Michael Chang,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
18,H2H 4-6,Justin Gimelstob,R32,7-6 6-4,Jan-Michael Gambill,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
19,H2H 4-1,Paul Goldstein,R32,4-6 6-2 6-4,Lleyton Hewitt,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
20,H2H 6-2,Sebastien Lareau,R32,6-4 3-6 6-2,Kenneth Carlsen,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
21,H2H 1-1,Wayne Arthurs,R32,7-6 7-6,John van Lottum,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
22,H2H 1-1,Sjeng Schalken,R32,4-6 7-5 6-3,Todd Woodbridge,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
23,H2H 2-0,Ramon Delgado,R32,6-2 6-2,Andrew Ilie,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
24,H2H 1-0,Nicklas Kulti,R32,7-5 6-4,Stephane Huet,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
25,H2H 1-0,Mark Woodforde,R32,3-6 6-4 7-6,Antony Dupuis,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
26,H2H 1-2,Magnus Norman,R32,6-3 1-6 6-3,Paradorn Srichaphan,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
27,H2H 3-0,Richard Fromberg,R32,7-5 6-2,Jonas Bjorkman,1999-10-11,https://matchstat.com/tennis/tournaments/m/Singapore/1999,Singapore
