,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Viktor Troicki,4.0,1.0,8353979.0,3516764.0,,,Viktor Troicki,52.0,1.0,1.0,53.0,16.0,64.0,38.0,20.0,26.0,16.0,9.0,,,,,2.0,118.0,,,,,F,6-3 6-4,Roberto Bautista Agut,1.0,0.0,8353979.0,3516763.0,,,Roberto Bautista Agut,66.0,4.0,3.0,65.0,29.0,53.0,32.0,24.0,21.0,13.0,10.0,,,,,1.0,118.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
1,H2H 3-2,Gilles Muller,9.0,2.0,8353297.0,3516520.0,,,Gilles Muller,70.0,1.0,0.0,68.0,17.0,75.0,47.0,39.0,28.0,14.0,11.0,,,,,2.0,145.0,,,,,SF,7-6(5) 6-4,Roberto Bautista Agut,3.0,2.0,8353297.0,3516519.0,,,Roberto Bautista Agut,75.0,7.0,1.0,77.0,24.0,66.0,48.0,37.0,18.0,14.0,11.0,,,,,1.0,145.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
2,H2H 5-1,Martin Klizan,4.0,9.0,8353574.0,3516223.0,,2.75,Martin Klizan,92.0,8.0,4.0,90.0,33.0,99.0,64.0,46.0,35.0,13.0,15.0,,,,,1.0,198.0,,,2.75,1.44,SF,4-6 6-3 7-5,Viktor Troicki,6.0,3.0,8353574.0,3516224.0,,1.44,Viktor Troicki,106.0,21.0,5.0,108.0,49.0,87.0,53.0,38.0,34.0,19.0,16.0,,,,,2.0,198.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
3,H2H 3-2,Adrian Mannarino,3.0,2.0,8353166.0,3516156.0,,,Adrian Mannarino,46.0,0.0,0.0,53.0,12.0,49.0,31.0,22.0,18.0,12.0,9.0,,,,,2.0,104.0,,,,,QF,6-4 6-3,Roberto Bautista Agut,1.0,2.0,8353166.0,3516155.0,,,Roberto Bautista Agut,58.0,5.0,2.0,51.0,17.0,51.0,28.0,21.0,23.0,20.0,10.0,,,,,1.0,104.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
4,H2H 2-4,Guillermo Garcia-Lopez,3.0,4.0,8353111.0,3515971.0,,1.91,Guillermo Garcia-Lopez,66.0,4.0,2.0,68.0,22.0,73.0,35.0,22.0,38.0,22.0,11.0,,,,,1.0,145.0,,,1.91,1.91,QF,7-6(6) 6-4,Gilles Muller,14.0,4.0,8353111.0,3515972.0,,1.91,Gilles Muller,79.0,9.0,3.0,77.0,33.0,64.0,45.0,35.0,19.0,11.0,11.0,,,,,2.0,145.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
5,H2H 1-3,Andreas Seppi,4.0,4.0,8353098.0,3515956.0,,1.42,Andreas Seppi,56.0,6.0,1.0,69.0,24.0,49.0,28.0,22.0,21.0,10.0,9.0,,,,,2.0,122.0,,,1.42,2.85,QF,6-4 6-3,Martin Klizan,3.0,4.0,8353098.0,3515955.0,,2.85,Martin Klizan,66.0,3.0,3.0,53.0,21.0,65.0,41.0,33.0,24.0,12.0,10.0,,,,,1.0,122.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
6,H2H 2-3,Philipp Kohlschreiber,2.0,2.0,8353167.0,3515981.0,,1.77,Philipp Kohlschreiber,54.0,4.0,0.0,61.0,16.0,58.0,40.0,28.0,18.0,10.0,9.0,,,,,1.0,121.0,,,1.77,2.05,QF,6-3 6-4,Viktor Troicki,15.0,0.0,8353167.0,3515982.0,,2.05,Viktor Troicki,67.0,8.0,2.0,60.0,22.0,61.0,36.0,29.0,25.0,16.0,10.0,,,,,2.0,121.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
7,H2H 1-0,Filip Krajinovic,0.0,0.0,8352090.0,3515954.0,,,Filip Krajinovic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,,,,,R16,WO,Roberto Bautista Agut,0.0,0.0,8352090.0,3515953.0,,,Roberto Bautista Agut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
8,H2H 1-1,Marius Copil,11.0,8.0,8352939.0,3515693.0,,2.4,Marius Copil,86.0,0.0,0.0,94.0,24.0,83.0,48.0,41.0,35.0,21.0,15.0,,,,,1.0,185.0,,,2.40,1.54,R16,6-4 6-7(5) 6-3,Adrian Mannarino,7.0,1.0,8352939.0,3515694.0,,1.54,Adrian Mannarino,99.0,2.0,2.0,91.0,29.0,93.0,61.0,52.0,32.0,18.0,16.0,,,,,2.0,185.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
9,H2H 1-0,Mirza Basic,3.0,1.0,8352091.0,3515076.0,,2.9,Mirza Basic,58.0,2.0,0.0,61.0,18.0,65.0,35.0,25.0,30.0,15.0,9.0,,,,,2.0,127.0,,,2.90,1.39,R16,6-3 6-4,Guillermo Garcia-Lopez,5.0,6.0,8352091.0,3515075.0,,1.39,Guillermo Garcia-Lopez,69.0,7.0,2.0,66.0,26.0,55.0,25.0,21.0,30.0,22.0,10.0,,,,,1.0,127.0,,,2016-02-01,https://matchstat.com/tennis/tournaments/m/Sofia/2016,Sofia
